業種番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1200,食料品製造業,33,1479630.0,0.0,0.0,42328.0,42328.0,0.0,0.0,5700.0,5550.0,150.0
1300,飲料・たばこ・飼料製造業(下の業種を除く）,8,426010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,酒類製造業,3,591000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,たばこ製造業,3,2630.0,0.0,0.0,295.0,295.0,0.0,0.0,2320.0,2300.0,29.4
1400,繊維工業（衣服その他の繊維製品を除く）,6,18850.0,0.0,0.0,3400.0,3400.0,0.0,0.0,1480.0,1480.0,0.0
1500,衣服・その他の繊維製品製造業,3,7260.0,0.0,0.0,900.0,900.0,0.0,0.0,4000.0,4000.0,0.0
1600,木材・木製品製造業（家具を除く）,10,2553010.0,0.0,6000.0,187579.0,187579.0,0.0,0.0,1880.0,1880.0,0.0
1700,家具・装備品製造業,30,19695.0,0.0,0.0,17935.0,17935.0,0.0,0.0,1705.0,1705.0,0.0
1800,パルプ・紙・紙加工品製造業,13,139281.0,0.0,87060.0,3931.0,3931.0,0.0,0.0,328.0,320.0,8.0
1900,出版・印刷・同関連産業（下の業種を除く）,3,610.0,0.0,0.0,300.0,300.0,0.0,0.0,16.0,16.0,0.0
1931,印刷業,152,486473.0,0.0,539.0,441332.1,441332.1,0.0,0.0,31170.5,30186.5,984.0
1941,製版業,6,8340.0,0.0,0.0,330.0,330.0,0.0,0.0,8006.0,8006.0,0.0
1951,製本業,,,,,,,,,,,
1952,印刷物加工業,34,79410.0,0.0,0.0,79300.0,79300.0,0.0,0.0,110.0,110.0,0.0
2000,化学工業（下の業種を除く）,433,66512948.0,51000.0,33793165.0,142621.0,142621.0,0.0,0.0,490606.1,489849.1,776.9
2060,医薬品製造業,71,402940.0,0.0,12749.0,902.1,902.1,0.0,0.0,296203.9,296142.8,186.5
2100,石油製品・石炭製品製造業,15,37650.0,0.0,33908.0,33.0,33.0,0.0,0.0,3615.2,3615.2,0.0
2200,プラスチック製品製造業,62,339480.0,0.0,8882.0,145170.0,145170.0,0.0,0.0,116690.0,116685.0,5.0
2300,ゴム製品製造業,34,91830.0,0.0,32720.0,34733.0,34733.0,0.0,0.0,1956.0,1936.0,14.0
2400,なめし革・同製品・毛皮製造業,13,6241.0,0.0,720.0,3343.0,3343.0,0.0,0.0,478.0,478.0,0.0
2500,窯業・土石製品製造業,64,3012860.0,0.0,302900.0,21340.5,21340.5,0.0,0.0,1425184.1,1420814.1,4332.5
2600,鉄鋼業,35,3843840.0,0.0,2027726.0,9650.0,9650.0,0.0,0.0,983730.0,983610.0,120.0
2700,非鉄金属製造業,40,1076463.0,0.0,355096.0,6506.6,6506.6,0.0,0.0,12020.0,12020.0,0.0
2800,金属製品製造業（下の業種を除く）,195,457474.0,0.0,36610.0,136064.0,136064.0,0.0,0.0,76019.4,75188.5,944.5
2861,金属製品塗装業,241,430660.0,0.0,7230.0,196294.5,196294.5,0.0,0.0,198686.0,198666.0,20.0
2862,溶触めっき業（表面処理鋼材製造業を除く）,7,62310.0,0.0,0.0,860.0,860.0,0.0,0.0,26750.0,26750.0,0.0
2864,電気めっき業（表面処理鋼材製造業を除く）,1079,2189783.5,0.0,195769.4,282750.1,278449.1,1.0,0.0,226224.0,221195.6,4943.3
2865,金属熱処理業,19,116660.0,0.0,5600.0,10261.0,10261.0,0.0,0.0,19410.0,19410.0,0.0
2900,一般機械器具製造業,85,118310.0,0.0,16450.0,77871.0,77871.0,0.0,0.0,10430.6,10378.6,67.0
3000,電気機械器具製造業（下の業種を除く）,219,1058884.1,0.0,349759.1,86680.0,86680.0,0.0,0.0,159902.7,151724.7,8051.3
