年度(平成),定員,応募者数,入校者数,修了者数,就職者数,就職率(%)
16前期,30,75,30,26,21,80.8
16後期,30,63,30,29,16,55.2
17前期,30,69,30,29,24,82.8
17後期,30,74,30,30,23,76.7
18前期,30,66,30,29,18,62.1
18後期,30,39,30,25,6,24.0
19前期,30,48,30,29,21,72.4
19後期,30,43,30,28,11,39.3
