,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
施設,5,12,6,12,13,12,4
施設（回答者割合）(%),17.9,52.2,27.3,50.0,46.4,52.2,21.1
交通の便,22,18,17,0,21,17,15
交通の便（回答者割合）(%),78.6,78.3,77.3,0.0,75.0,73.9,78.9
講師,24,16,10,9,17,12,3
講師（回答者割合）(%),85.7,69.6,45.5,37.5,60.7,52.2,15.8
教材,4,3,2,1,3,7,4
教材（回答者割合）(%),14.3,13.0,9.1,4.2,10.7,30.4,21.1
その他,1,1,2,0,1,1,1
その他（回答者割合）(%),3.6,4.3,9.1,0.0,3.6,4.3,5.3
無回答,0,0,0,1,0,1,3
無回答（回答者割合）(%),0.0,0.0,0.0,4.2,0.0,4.3,15.8
