,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
常用(件),23,11,11,11,15,14,13
常用（回答者割合）(%),82.1,47.8,50.0,52.4,53.6,60.9,68.4
パート・バイト(件),0,1,1,8,8,6,5
パート・バイト（回答者割合）(%),0.0,4.3,4.5,38.1,28.6,26.1,26.3
派遣(件),6,14,8,0,2,3,2
派遣（回答者割合）(%),21.4,60.9,36.4,0.0,7.1,13.0,10.5
契約(件),2,3,1,0,7,0,3
契約（回答者割合）(%),7.1,13.0,4.5,0.0,25.0,0.0,15.8
未定(件),1,0,1,0,0,0,1
未定（回答者割合）(%),3.6,0.0,4.5,0.0,0.0,0.0,5.3
無回答(件),1,0,1,2,2,2,1
無回答（回答者割合）(%),3.6,0.0,4.5,9.5,7.1,8.7,5.3
