,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
施設,14,0,1,0,5,2,3
施設（回答者割合）(%),50.0,0.0,4.5,0.0,17.9,8.7,15.8
交通の便,1,0,0,15,0,0,0
交通の便（回答者割合）(%),3.6,0.0,0.0,71.4,0.0,0.0,0.0
講師,1,10,8,4,3,11,10
講師（回答者割合）(%),3.6,43.5,36.4,19.0,10.7,47.8,52.6
教材,5,15,11,9,11,7,9
教材（回答者割合）(%),17.9,65.2,50.0,42.9,39.3,30.4,47.4
その他,2,1,5,0,5,0,3
その他（回答者割合）(%),7.1,4.3,22.7,0.0,17.9,0.0,15.8
無回答,9,3,3,0,11,8,4
無回答（回答者割合）(%),32.1,13.0,13.6,0.0,39.3,34.8,21.1
