訓練科名（管轄校）,ネットワーク構築科（中央・城北センター有明分校）,貿易実務科（中央・城北センター有明分校）,医療事務科（中央・城北センター）,医療事務科（多摩センター八王子校）,ビジネス経理科（中央・城北センター高年齢者校）,経営管理実務科（中央・城北センター高年齢者校）,経営管理実務科（多摩センター府中校）
委託先（事業者）名,ヒートウェーブ株式会社,株式会社東京リーガルマインド,ヒューマンアカデミー株式会社,東京都立多摩職業能力開発センター八王子校,株式会社東京リーガルマインド,株式会社東京リーガルマインド,株式会社東京リーガルマインド
提案書記載目標就職率,目標就職率 70%,目標就職率 100%（必達目標 70%）,目標就職率 80%,目標就職率 95%,目標就職率 100% （必達目標 70%）,目標就職率 100% （必達目標 70%）,目標就職率 100% （必達目標 70%）
入校者数(名),30,29,30,40,30,27,29
修了者数(名),29,23,22,22,28,24,20
修了者率(%),96.7,79.3,73.3,55.0,93.3,88.9,69.0
退校者数(名),1,6,6,18,2,3,9
就職した退校者数(名),1,2,2,11,1,2,7
修了後3ヶ月の修了生就職者数(名),25,19,12,18,11,14,17
修了後3ヶ月の修了生就職率〔就職者数/修了者数〕(%),86.2,82.6,54.5,81.8,39.3,58.3,85.0
参考：就職率（就職退校含む）〔就職による退校者を含む就職者数/就職退校を含む修了者数〕(%),86.7,84.0,58.3,87.9,41.4,61.5,88.9
事業計画書及び事務処理マニュアルに基づく対象業務の実施状況,概ね事業計画書及び事務処理マニュアルに基づいた運営状況である。,概ね事業計画書及び事務処理マニュアルに基づいた運営状況である。,概ね事業計画書及び事務処理マニュアルに基づいた運営状況である。,概ね事業計画書及び事務処理マニュアルに基づいた運営状況である。,概ね事業計画書及び事務処理マニュアルに基づいた運営状況である。,概ね事業計画書及び事務処理マニュアルに基づいた運営状況である。,概ね事業計画書及び事務処理マニュアルに基づいた運営状況である。
レベルアップに向けた取り組み内容等及び改善指導の状況（必要な場合）,・放課後の自習に対応。・グループディスカッションによる就労意識向上。面接対策として、毎朝のスピーチを実施。・就職面接に就職支援員がオブザーバーとして同行。,・登録（無料）にて自習室を自由に使用できる。（土日可）・会社独自のアンケート調査（5段階評価・自由意見欄）及び結果に基づいた対応。・志望動機の書き方を添削することにより、自己ＰＲのポイントを指導。,・放課後の自習に対応。・会社独自のアンケート調査（5段階評価・自由意見欄）及び結果に基づいた対応。・希望者に対して医療現場見学（職場体験）を実施。・就職のために資格取得を励行し、資格取得に寄与。,・放課後や休日に、要望があれば職員の対応可能な範囲で教室等を開放。・自己紹介やＯＡ操作に関するアンケートを実施、生徒の詳細を把握。・専任指導員を中心に、ハローワークOBである就職担当等と連携し支援を展開。・就職のために資格取得を励行し、資格取得に寄与。,・登録（無料）にて自習室を自由に使用できる。（土日可）・会社独自のアンケート調査（5段階評価・自由意見欄）及び結果に基づいた対応。・志望動機の書き方を添削することにより、自己ＰＲのポイントを指導。,・登録（無料）にて自習室を自由に使用できる。（土日可）・会社独自のアンケート調査（5段階評価・自由意見欄）及び結果に基づいた対応。・志望動機の書き方を添削することにより、自己ＰＲのポイントを指導。,・登録（無料）にて自習室を自由に使用できる。（土日可）・会社独自のアンケート調査（5段階評価・自由意見欄）及び結果に基づいた対応。・志望動機の書き方を添削することにより、自己ＰＲのポイントを指導。
アンケート調査結果等,〇訓練生が「良い」と評価した項目・・・実技･実習（86％）、講師（86％）、学科（79％）、交通の便（79％）など〇訓練生が「不満」とした項目・・・施設（50％）など〇「訓練が役に立った」・・・89％,〇訓練生が「良い」と評価した項目・・・学科、実技･実習（83 ％）、就業支援（52％）、交通の便（78％）、講師（70％）など〇訓練生が「不満」とした項目・・・教材（65％）など〇「訓練が役に立った」･･･100％,〇訓練生が「良い」と評価した項目・・・学科（86％）、実技･実習（64％）、交通の便（77％）など〇訓練生が「不満」とした項目・・・教材（50％）など〇「訓練が役に立った」・・・96％,〇訓練生が「良い」と評価した項目・・・学科（86％）、施設（50％）など〇訓練生が「不満」とした項目・・・交通の便（71％）など〇「訓練が役に立った」・・・95％,〇訓練生が「良い」と評価した項目・・・学科、実技･実習（82％）、交通の便（75％）、講師（61％）など〇訓練生が「不満」とした項目・・・教材（39％）など〇「訓練が役に立った」・・・89％,〇訓練生が「良い」と評価した項目・・・実技･実習（87％）、学科、交通の便（74％）など〇訓練生が「不満」とした項目・・・講師（48％）など〇「訓練が役に立った」・・・96％,〇訓練生が「良い」と評価した項目・・・実技･実習（68％）、交通の便（79％）、学科（58％）など〇訓練生が「不満」とした項目・・・講師（53％）など〇「訓練が役に立った」・・・74％
