年度(平成),定員,応募者数,入校者数,修了者数,就職者数,就職率(%)
16前期,30,128,30,30,26,86.7
16後期,30,79,30,28,26,92.9
17前期,30,153,30,29,29,100.0
17後期,30,98,28,26,18,69.2
18前期,30,120,29,26,23,88.5
18後期,30,57,30,30,17,56.7
19前期,30,120,30,30,21,70.0
19後期,30,89,29,23,19,82.6
