年度(平成),定員,応募者数,入校者数,修了者数,就職者数,就職率(%)
16前期,30,54,29,29,24,82.8
16後期,30,58,30,30,16,53.3
17前期,30,63,30,27,11,40.7
17後期,30,42,29,26,13,50.0
18前期,30,46,25,21,16,76.2
18後期,30,42,29,25,13,52.0
19前期,30,36,27,21,10,47.6
19後期,30,32,27,24,14,58.3
