名称,ふりがな,所在地,電話番号,FAX,URL,解説,連絡先,開場時間,定休日,料金,アクセス,駐車場,大分類__,中分類__,小分類__,経度,緯度
三鷹市大沢の里古民家,みたかしおおさわのさとこみんか,三鷹市大沢二丁目17-3,0422-29-9862,0422-29-9040,,"明治35（1902）年に創建された「四ツ間取り」の典型的な農家で、かつて、わさび栽培や養蚕などの生業を営んでいました。
平成21（2009）年に三鷹市指定有形文化財に指定されました。",三鷹市スポーツと文化部  生涯学習課,10:00～17:00（11月～3月は16:00まで）,火曜日（火曜日が祝日にあたる場合は、翌日以降の最初の平日）。年末年始（12月28日～１月４日）,200円（大沢の里水車経営農家との共通券。中学生以下は無料）10名以上の団体は予約が必要です。,JR中央線三鷹駅南口より小田急バス「榊原記念病院」「朝日町三丁目」「車返団地」行きバス、「竜源寺」下車徒歩約5分,なし,歴史的建造物,歴史的建造物,歴史的建造物,139.5313134,35.67902814
三鷹市星と森と絵本の家,みたかしほしともりとえほんのいえ,三鷹市大沢二丁目21-3（国立天文台内）,0422-39-3401,0422-39-3402,https://www.city.mitaka.lg.jp/ehon/,国立天文台の協力のもとに、三鷹市が設置・運営する施設です。天文台の森の中にある大正時代の建物を保存活用し、広い庭を使って、絵本の展示や絵本を楽しむ場の提供、自然や科学への関心につながるさまざまな活動を行っています。平成21年三鷹市登録有形文化財。,三鷹市星と森と絵本の家,10:00～17:00,火曜日、年末年始（12月28日～１月４日）、他にメンテナンス休館あり,無料,"・JR三鷹駅から小田急バス（「調布駅北口」行き）
・JR武蔵境駅から小田急バス（「狛江駅北口」行き）
・京王線調布駅から小田急バス（「三鷹駅」行き、「武蔵境南口」行き）又は京王バス（「武蔵小金井駅南口」行き）
いずれも「天文台裏」又は「天文台前」下車",有料駐車場あり,美術館・博物館・研究所,美術館・博物館・研究所,美術館・博物館・研究所,139.5386596,35.67692249
太宰治展示室　三鷹の此の小さい家,だざいおさむてんじしつ　みたかのこのちいさいいえ,三鷹市下連雀三丁目35-1コラル５階,0422-79-0033,,https://mitaka-sportsandculture.or.jp/gallery/dazaihouse/,三鷹市美術ギャラリー内に、太宰治の自宅の一部を再現しており、貴重な資料などを展示・公開しています（展覧会開催時は閉室の場合あり）。,三鷹市美術ギャラリー,10:00～20:00（入館は19:30まで）,月曜日（月曜日が祝日にあたる場合は、その翌日と翌々日）、年末年始（12月29日～1月4日）,無料,JR中央線三鷹駅南口より徒歩1分（駅前デッキ接続）,あり,美術館・博物館・研究所,美術館・博物館・研究所,美術館・博物館・研究所,139.5607843,35.70161223
三鷹市桜井浜江記念市民ギャラリー,みたかしさくらいはまえきねんしみんぎゃらりー,三鷹市下連雀三丁目42-3,0422-29-9868（三鷹市公会堂）,,https://mitaka-sportsandculture.or.jp/shg/,長年三鷹市に居住し、女流画家の草分け的存在としても知られる桜井浜江氏のアトリエ跡地にあるギャラリーで、市民の作品発表の場としても利用できます。,三鷹市公会堂,10:00～18:00,月曜日、年末年始（12月29日～1月4日）、祝日等により変更あり、臨時休館あり,"1日　6,000円
引き続き6日　30,000円",JR中央線三鷹駅南口より徒歩5分,なし,美術館・博物館・研究所,美術館・博物館・研究所,美術館・博物館・研究所,139.5597131,35.69965616
明治六年銘石造馬頭観音供養塔,めいじろくねんめいせきぞうばとうかんのんくようとう,三鷹市新川二丁目１-17,0422-29-9862,0422-29-9040,,"この石造馬頭観音供養塔は、江戸幕府の崩壊から明治新政府への政権交代期の政情が不安定な中で起きた盗賊殺害という不幸な事件に関連して建立されました。
令和４年に威?院に移設され、同年７月に三鷹市指定有形文化財に指定されました。",三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線三鷹駅南口より小田急バス（杏林大学井の頭キャンパス行き）、「天神前」下車徒歩すぐ
京王井の頭線三鷹台駅より小田急バス（仙川駅行き）、「六中前」下車、徒歩2分",あり,石碑,石碑,石碑,139.5776263,35.68121461
三鷹歴史文化財展示室「みたかえる」,みたかれきしぶんかざいてんじしつ「みたかえる」,三鷹市下連雀九丁目11-７（三鷹市教育センター２階）,0422-29-9862,0422-29-9040,,３万５千年前から近代までの、主に発掘調査による出土品から、三鷹の歴史を常設展示しています。,,"平日　9：00～17：00
第１，３，５土曜日　10：00～16：30",第２、４土曜日、日曜日、祝日、年末年始,無料,小田急バス「三鷹市役所前」下車徒歩すぐ,あり（三鷹市役所）,ホール・展示室,ホール・展示室,ホール・展示室,139.5600866,35.6842104
"鷹場標石（大沢)
",たかばひょうせき（おおさわ）,"三鷹市大沢二丁目2-16
長久寺境内",0422-29-9862,0422-29-9040,,長久寺は、元は現在の天文台敷地にありました。戦国時代の戦乱で荒廃していた寺を慶長3(1598)年に開基したとされています。この鷹場標石はその長久寺の境内に残っています。昭和53年三鷹市指定文化財。,三鷹市スポーツと文化部生涯学習課,,,,JR中央線三鷹駅南口より「調布飛行場前」行きバス「大沢台小学校前」、「車返団地」行きバス「大沢十字路」下車すぐ,,史跡,史跡,史跡,139.5379838,35.68046798
鷹場標石（野崎）,たかばひょうせき（のざき）,三鷹市野崎二丁目13-5,0422-29-9862,0422-29-9040,,市内に3基ある完形の鷹場標石のひとつです。昭和53年三鷹市指定文化財。,三鷹市スポーツと文化部生涯学習課,,,,"JR中央線三鷹駅南口より徒歩約20分
JR中央線三鷹駅から小田急バス「榊原記念病院」行き「野崎」下車徒歩約5分",,史跡,史跡,史跡,139.5477101,35.68507782
森林太郎墓,もりりんたろうはか,"三鷹市下連雀四丁目18-20
禅林寺境内",0422-29-9862,0422-29-9040,http://www.zenrinji.jp/,「余ハ石見人森林太郎トシテ死セント欲ス」の遺言どおり、本名のみが刻まれています。向島の弘福寺にありましたが、関東大震災後、回葬されました。昭和55年三鷹市指定文化財。,三鷹市スポーツと文化部生涯学習課,,,,"JR中央線三鷹駅南口より徒歩10分
JR中央線三鷹駅南口より小田急バス「八幡前」下車すぐ",あり,史跡,史跡,史跡,139.5601558,35.69427769
太宰治墓,だざいおさむはか,"三鷹市下連雀四丁目18-20
禅林寺墓地内",0422-29-9862,0422-29-9040,http://www.zenrinji.jp/,三鷹が臨終の地となった太宰の墓は、本人の願いどおり森鴎外の墓の近くに建てられました。毎年6月19日の桜桃忌には多くの人が集まります。昭和55年三鷹市指定文化財。,三鷹市スポーツと文化部生涯学習課,,,,"JR中央線三鷹駅南口より徒歩10分
JR中央線三鷹駅南口より小田急バス「八幡前」下車すぐ",あり,史跡,史跡,史跡,139.559997,35.6942717
いちょう,いちょう,三鷹市下連雀四丁目18-20　禅林寺境内,0422-29-9862,0422-29-9040,http://www.zenrinji.jp/,昭和60年三鷹市指定文化財。,三鷹市スポーツと文化部生涯学習課,,,,"JR中央線三鷹駅南口より徒歩10分
JR三鷹駅南口より小田急バス「八幡前」下車すぐ",あり,自然・公園,自然・公園,自然・公園,139.5601558,35.69427769
なんじゃもんじゃの木,なんじゃもんじゃのき,三鷹市野崎二丁目13番地内,0422-29-9862,0422-29-9040,,なんじゃもんじゃとは、その地に自生しない見慣れない樹木につけられました。この木はヒトツバタゴという珍しい樹木で樹齢100年を超えています。平成22年三鷹市登録文化財。,三鷹市スポーツと文化部生涯学習課,,,,"JR中央線三鷹駅南口より徒歩約20分
JR中央線三鷹駅から小田急バス「榊原記念病院」行き「野崎」下車徒歩約5分",,史跡,史跡,史跡,139.54829,35.68535732
柴田勝家兜埋納伝承地,しばたかついえかぶとまいのうでんしょうち,三鷹市新川三丁目20-17,0422-29-9862,0422-29-9040,,元和元(1615)年、大阪の陣の武勲によりこの地を拝領した柴田勝重が、祖父の兜を水神の森に埋めたと伝えられています。平成24年三鷹市登録文化財。,三鷹市スポーツと文化部生涯学習課,,,,JR中央線三鷹駅南口より小田急バス「野ヶ谷」「晃華学園東」行き「杏林大学病院入口」下車徒歩約3分,,史跡,史跡,史跡,139.5701195,35.67770315
