自治体名,施策担当部署,電話番号
東京都,住宅政策本部　民間住宅部 マンション課,03-5320-5007
千代田区,（公財）まちみらい千代田   住宅まちづくりグループ,03-3233-3223
中央区,都市整備部 住宅課 計画指導係,03-3546-5466
港区,街づくり支援部 住宅課 マンション建替え支援担当・住宅支援係,03-3578-2332
新宿区,都市計画部 住宅課 居住支援係,03-5273-3567
文京区,都市計画部 地域整備課　まちづくり担当,03-5803-1375
台東区,都市づくり部 住宅課 マンション施策担当,03-5246-9028
墨田区,都市計画部 住宅課 計画担当,03-5608-6215
江東区,都市整備部 住宅課 住宅指導係,03-3647-9473
品川区,都市環境部 住宅課 住宅運営担当,03-5742-6776
目黒区,都市整備部 住宅課 居住支援係,03-5722-9878
大田区,まちづくり推進部 建築調整課 住宅担当,03-5744-1416
世田谷区,都市整備政策部 居住支援課 居住支援担当,03-5432-2504
渋谷区,都市整備部　住宅政策課 住環境整備係,03-3463-3548
中野区,都市基盤部 住宅課　住宅政策係,03-3228-5581
杉並区,都市整備部 住宅課 空家対策係,03-3312-2111（3547）
豊島区,都市整備部 住宅課 マンショングループ,03-3981-1385
北区,まちづくり部 住宅課 住宅計画係,03-3908-9201
荒川区,防災都市づくり部 住まい街づくり課 住宅係,03-3802-4454
板橋区,都市整備部 住宅政策課 住宅政策推進係 分譲マンション担当,03-3579-2730
練馬区,建築・開発担当部  住宅課 管理係,03-5984-1289
足立区,都市建設部 建築室 住宅課 住宅計画係,03-3880-5963
葛飾区,都市整備部 住環境整備課 企画管理係,03-5654-8352
江戸川区,都市開発部 建築指導課　耐震化促進係,03-5662-6389
八王子市,まちなみ整備部 住宅政策課　民間住宅担当,042ｰ620-7260
立川市,市民生活部 住宅課 住宅対策係,042-528-4384
武蔵野市,都市整備部 住宅対策課,0422-60-1976
三鷹市,都市整備部 都市計画課 住宅政策係,0422-45-1151（2812）
青梅市,都市整備部 住宅課 住宅政策係,0428-22-1111（2533）
府中市,都市整備部 住宅課 支援係,042-335-4458
昭島市,都市計画部 都市計画課 住宅係,042-544-4413
調布市,都市整備部 住宅課 住宅支援係,042-481-7545
町田市,都市づくり部 住宅課,042-724-4269
小金井市,都市整備部 まちづくり推進課 住宅係,042-387-9861
小平市,都市開発部 地域整備支援課 地域整備支援担当,042-341-1211
日野市,まちづくり部 都市計画課 住宅政策係,042-514-8371
東村山市,まちづくり部　都市計画・住宅課 開発指導係,"042-393-5111
(3711)"
国分寺市,まちづくり部 まちづくり推進課 住宅対策担当,042-325-0111（453）
国立市,都市整備部 都市計画課 都市計画係,042-576-2111（361）
福生市,都市建設部 まちづくり計画課 計画グループ,042-551-1511（2812）
狛江市,都市建設部 まちづくり推進課 住宅担当,03-3430-1359
東大和市,まちづくり部　都市づくり課 地域整備係,042-563-2111（1262）
清瀬市,都市整備部　都市計画課 都市計画係,042-497-2093
東久留米市,都市建設部 都市計画課   住宅開発指導担当,042-470-7782
武蔵村山市,都市整備部 都市計画課 開発・住宅係,042-565-1111（278）
多摩市,都市整備部 都市計画課 住宅担当,042-338-6817
稲城市,都市建設部　まちづくり再生課 住所整理・団地再生係,042-378-2111　（324）
羽村市,まちづくり部 建築課 維持管理係,042-555-1111
あきる野市,都市整備部 都市計画課 住宅係,042-558-2026
西東京市,まちづくり部 住宅課 住宅係,042-438-4052
