 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,584 ","13,685,612 ","8,799 ","69,914,452 ",415 ,"10,394,897 ","2,040 ","51,889,187 ","1,169 ","3,290,715 ","6,759 ","18,025,265 "
公共計,869 ,"4,943,000 ","4,648 ","25,686,160 ",153 ,"2,194,352 ",797 ,"11,202,959 ",716 ,"2,748,648 ","3,851 ","14,483,201 "
ドルフィン,3 ,"1,746 ",25 ,"14,944 ",-,-,-,-,3 ,"1,746 ",25 ,"14,944 "
芝浦ふ頭,26 ,"66,643 ",149 ,"376,039 ",-,-,-,-,26 ,"66,643 ",149 ,"376,039 "
芝浦物揚場,26 ,"11,960 ",119 ,"54,740 ",-,-,-,-,26 ,"11,960 ",119 ,"54,740 "
日の出ふ頭,4 ,"1,396 ",35 ,"24,115 ",-,-,-,-,4 ,"1,396 ",35 ,"24,115 "
竹芝ふ頭,114 ,"323,206 ",664 ,"1,711,839 ",-,-,-,-,114 ,"323,206 ",664 ,"1,711,839 "
品川岸壁,141 ,"1,603,778 ",718 ,"8,148,626 ",73 ,"713,567 ",374 ,"3,727,095 ",68 ,"890,211 ",344 ,"4,421,531 "
 品川コンテナ,73 ,"675,876 ",379 ,"3,537,222 ",70 ,"672,522 ",358 ,"3,508,185 ",3 ,"3,354 ",21 ,"29,037 "
 品川外貿,3 ,"41,045 ",16 ,"218,910 ",3 ,"41,045 ",16 ,"218,910 ",-,-,-,-
 品川内貿,65 ,"886,857 ",323 ,"4,392,494 ",-,-,-,-,65 ,"886,857 ",323 ,"4,392,494 "
晴海ふ頭,1 ,"1,598 ",10 ,"49,760 ",-,-,1 ,"22,472 ",1 ,"1,598 ",9 ,"27,288 "
月島ふ頭,25 ,"7,527 ",111 ,"33,391 ",-,-,-,-,25 ,"7,527 ",111 ,"33,391 "
漁業基地,1 ,"1,886 ",2 ,"2,872 ",-,-,-,-,1 ,"1,886 ",2 ,"2,872 "
