"年月[西暦]","調査項目","設問","課題","選択肢","回答数[件]","構成比[%]"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＳＤＧｓ（持続可能な開発目標）","全く知らない(この調査で知った)","41","31.8"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＳＤＧｓ（持続可能な開発目標）","内容を聞いたことがある","20","15.5"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＳＤＧｓ（持続可能な開発目標）","内容は知っている","28","21.7"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＳＤＧｓ（持続可能な開発目標）","対応を検討している","13","10.1"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＳＤＧｓ（持続可能な開発目標）","すでに実行している","23","17.8"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＳＤＧｓ（持続可能な開発目標）","無回答","4","3.1"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＥＳＧ","全く知らない(この調査で知った)","34","26.4"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＥＳＧ","内容を聞いたことがある","31","24.0"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＥＳＧ","内容は知っている","27","20.9"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＥＳＧ","対応を検討している","14","10.9"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＥＳＧ","すでに実行している","18","14.0"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","ＥＳＧ","無回答","5","3.9"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","食品ロス（食品廃棄物）","全く知らない(この調査で知った)","4","3.1"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","食品ロス（食品廃棄物）","内容を聞いたことがある","16","12.4"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","食品ロス（食品廃棄物）","内容は知っている","78","60.5"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","食品ロス（食品廃棄物）","対応を検討している","8","6.2"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","食品ロス（食品廃棄物）","すでに実行している","19","14.7"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","食品ロス（食品廃棄物）","無回答","4","3.1"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","海洋プラスチックごみ（マイクロプラスチック）","全く知らない(この調査で知った)","4","3.1"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","海洋プラスチックごみ（マイクロプラスチック）","内容を聞いたことがある","12","9.3"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","海洋プラスチックごみ（マイクロプラスチック）","内容は知っている","78","60.5"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","海洋プラスチックごみ（マイクロプラスチック）","対応を検討している","16","12.4"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","海洋プラスチックごみ（マイクロプラスチック）","すでに実行している","16","12.4"
"202003","環境に関する取組","Q4. 貴組織における以下の課題の認知、取組状況について、当てはまるものをお選びください。（○はそれぞれ１つ）","海洋プラスチックごみ（マイクロプラスチック）","無回答","3","2.3"

"港区の環境に関する事業者アンケート調査結果・単純集計表・環境に関する取組Q4","Ver202003",,,,,
