年次（和暦）,年次（西暦）,社会動態／転入,社会動態／転出,自然動態／出生,自然動態／死亡,移動指数,移動率(％),移動者数に対する割合（％)／転入,移動者数に対する割合（％)／転出,移動者総数,10月1日現在住民基本台帳人口
昭和58年中,1983年中,100,100,100,100,100,8.7,49.6,50.4,998754,11538302
昭和59年中,1984年中,98.2,96.5,99.4,101,97.3,8.4,50,50,972133,11605260
昭和60年中,1985年中,98,95.4,95.6,102.7,96.7,8.3,50.3,49.7,965565,11678973
昭和61年中,1986年中,98.3,97.9,92.4,104.3,98.1,8.3,49.7,50.3,979473,11743428
昭和62年中,1987年中,95.9,105.3,89.8,105.3,100.6,8.5,47.2,52.8,1004903,11756523
昭和63年中,1988年中,92,104.7,85.8,108.8,98.4,8.4,46.4,53.6,983172,11729428
平成元年中,1989年中,91.8,102.4,80.9,112,97.2,8.3,46.9,53.1,970685,11709398
平成2年中,1990年中,91.5,100,79.1,116.6,95.8,8.2,47.4,52.6,956673,11693477
平成3年中,1991年中,90.4,96.2,78.7,117.3,93.3,8,48,52,931839,11694052
平成4年中,1992年中,87.7,96.5,76.9,120.9,92.1,7.9,47.2,52.8,920224,11683185
平成5年中,1993年中,85.7,97.9,75.1,124.9,91.8,7.9,46.3,53.7,917167,11643378
平成6年中,1994年中,84.8,95.5,77.7,125.1,90.2,7.8,46.6,53.4,901051,11607137
平成7年中,1995年中,86.9,92.2,74.4,131.6,89.6,7.7,48.1,51.9,894430,11592359
平成8年中,1996年中,87.1,87.1,74.6,128,87.1,7.5,49.6,50.4,870053,11604177
平成9年中,1997年中,88,83.3,74.8,131.5,85.6,7.3,50.9,49.1,855202,11641165
平成10年中,1998年中,88.9,81.3,75.6,134,85.1,7.3,51.8,48.2,849492,11691277
平成11年中,1999年中,88.2,79.5,74.9,142.3,83.8,7.1,52.2,47.8,836986,11744762
平成12年中,2000年中,89.7,77.6,76.7,140.2,83.6,7.1,53.2,46.8,834991,11814109
平成13年中,2001年中,90.9,75.7,75.2,140.8,83.2,7,54.1,45.9,831319,11895235
平成14年中,2002年中,89.4,73.7,76.2,141.2,81.5,6.8,54.4,45.6,813800,11988676
,,,,,,,,,,,
人口の動き（平成14年中）,,,,,,,,,,,
第７表　変動要因別人口指数の推移／(参考) 移動指数､移動率の推移（昭和58年～平成14年）,,,,,,,,,,,
注１）昭和58年=100,,,,,,,,,,,
注２）移動率とは、10月1日現在の住民基本台帳人口に対する移動者総数の割合をいう。,,,,,,,,,,,
注３）移動者総数とは、転入、転出の合計である。,,,,,,,,,,,
