年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
令和元,2019,0,13000,東京都,Tokyo-to,3135649,605996,12886,364005,8428,71416,1230,75635,789
令和2,2020,0,13000,東京都,Tokyo-to,3150528,616580,13350,372579,8758,67767,1138,75671,795
令和3,2021,0,13000,東京都,Tokyo-to,3156397,629632,13768,385502,9225,71148,1188,76201,813
令和3,2021,1,13100,区部,All ku,2069712,422181,9147,264461,6184,49558,827,47150,517
令和3,2021,2,13101,千代田区,Chiyoda-ku,11431,2324,48,1455,35,248,5,261,1
令和3,2021,2,13102,中央区,Chuo-ku,25598,5235,152,3209,100,753,18,494,7
令和3,2021,2,13103,港区,Minato-ku,45036,9335,196,5694,129,568,11,1077,7
令和3,2021,2,13104,新宿区,Shinjuku-ku,68718,14289,267,9020,184,1750,36,1536,14
令和3,2021,2,13105,文京区,Bunkyo-ku,44292,8686,205,5662,130,1057,17,930,10
令和3,2021,2,13106,台東区,Taito-ku,46066,10173,212,6146,151,973,15,1096,8
令和3,2021,2,13107,墨田区,Sumida-ku,61593,11985,277,7636,191,1700,27,1535,21
令和3,2021,2,13108,江東区,Koto-ku,114185,21694,473,12523,312,1958,28,2437,31
令和3,2021,2,13109,品川区,Shinagawa-ku,82946,15514,358,10272,254,1531,39,1726,18
令和3,2021,2,13110,目黒区,Meguro-ku,56058,12288,237,7855,170,1640,20,1309,9
令和3,2021,2,13111,大田区,Ota-ku,166916,30737,758,22364,538,4561,88,2938,47
令和3,2021,2,13112,世田谷区,Setagaya-ku,187605,41054,778,26933,528,5375,59,3564,30
令和3,2021,2,13113,渋谷区,Shibuya-ku,43877,9363,241,5726,152,621,9,1057,14
令和3,2021,2,13114,中野区,Nakano-ku,68448,13648,246,8929,171,1739,20,1427,12
令和3,2021,2,13115,杉並区,Suginami-ku,121399,25324,500,15838,342,4087,88,2789,26
令和3,2021,2,13116,豊島区,Toshima-ku,57741,11659,189,7271,135,1125,13,1342,8
令和3,2021,2,13117,北区,Kita-ku,87567,18946,390,11246,253,1781,18,2250,26
令和3,2021,2,13118,荒川区,Arakawa-ku,50412,9528,227,5999,146,1248,19,1235,24
令和3,2021,2,13119,板橋区,Itabashi-ku,132717,26657,517,15782,344,2506,37,2977,27
令和3,2021,2,13120,練馬区,Nerima-ku,163093,35717,733,22006,512,4159,75,4333,41
令和3,2021,2,13121,足立区,Adachi-ku,170778,36447,833,21093,536,3808,60,4952,60
令和3,2021,2,13122,葛飾区,Katsushika-ku,114776,23400,512,14669,347,3333,63,2911,32
令和3,2021,2,13123,江戸川区,Edogawa-ku,148460,28178,798,17133,524,3037,62,2974,44
令和3,2021,1,13200,市部,All shi,1059937,202779,4529,118652,2983,21148,356,27953,293
令和3,2021,2,13201,八王子市,Hachioji-shi,153549,29314,594,15841,391,3435,49,3712,40
令和3,2021,2,13202,立川市,Tachikawa-shi,45077,8805,213,5152,139,989,19,1247,12
令和3,2021,2,13203,武蔵野市,Musashino-shi,33214,6684,148,4162,102,722,13,972,8
令和3,2021,2,13204,三鷹市,Mitaka-shi,41597,8066,199,5018,129,912,24,1042,10
令和3,2021,2,13205,青梅市,Ome-shi,39579,6242,157,3029,92,531,10,1358,13
令和3,2021,2,13206,府中市,Fuchu-shi,58174,11182,278,6559,184,1043,26,1368,10
令和3,2021,2,13207,昭島市,Akishima-shi,29970,5642,140,3229,91,617,10,1040,11
令和3,2021,2,13208,調布市,Chofu-shi,51833,10674,225,6284,164,874,9,1209,9
令和3,2021,2,13209,町田市,Machida-shi,116473,22275,455,13746,334,2464,38,2862,32
令和3,2021,2,13210,小金井市,Koganei-shi,26823,5428,101,3257,75,629,7,712,7
令和3,2021,2,13211,小平市,Kodaira-shi,45986,9462,224,5418,136,915,13,1139,19
令和3,2021,2,13212,日野市,Hino-shi,46790,9563,185,5399,130,852,12,1309,11
令和3,2021,2,13213,東村山市,Higashimurayama-shi,40438,8005,223,4851,149,897,21,1238,16
令和3,2021,2,13214,国分寺市,Kokubunji-shi,28199,5611,121,3420,84,637,17,575,8
令和3,2021,2,13215,国立市,Kunitachi-shi,18326,3836,94,2220,57,378,9,473,5
令和3,2021,2,13218,福生市,Fussa-shi,15273,2510,60,1418,33,211,4,523,5
令和3,2021,2,13219,狛江市,Komae-shi,20258,4465,87,2809,53,453,7,468,6
令和3,2021,2,13220,東大和市,Higashiyamato-shi,23504,4598,87,2602,53,285,5,682,5
