品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,令和3年平均 2021 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米,Non-glutinous rice,国内産，精米，単一原料米(産地，品種及び産年が同一のもの)，袋入り(5kg入り)，コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""Koshihikari""",1袋,1 bag,,2127,2181,2182,2176,2142,2179,2175,2131,2115,2055,2077,2053,2059
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,434,436,435,432,435,433,436,434,435,433,430,435,428
食料,Food,穀類,Cereals,3,カップ麺,Cup noodles,中華タイプ，内容量78g，「カップヌードル」,"Chinese type， net 78g， ""Cup Noodle""",1個,1 cup,,161,161,161,161,160,158,162,162,163,159,163,163,158
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,455,432,425,432,434,424,436,447,439,464,481,524,519
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ，丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,,105,111,109,93,87,106,95,100,115,122,103,116,99
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか，丸,Sagittated calamary， whole,100g,100g,,162,142,146,143,161,170,167,170,180,180,150,173,168
食料,Food,肉類,Meats,1,牛肉,Beef ,国産品，ロース,Domestic，loin,100g,100g,,913,933,910,922,931,910,930,909,919,892,901,895,909
食料,Food,肉類,Meats,2,豚肉,Pork,もも（黒豚を除く）,Legs (excluding Berkshire),100g,100g,,197,198,200,197,200,197,189,200,194,198,196,198,194
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler， legs,100g,100g,,131,133,132,132,131,131,131,131,128,131,130,130,131
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， ＪＡＳ格付けなし， 普通品,Ham (Loin)， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,,208,208,207,212,205,210,211,208,209,206,205,205,204
