地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,海事職 Maritime services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職 Firefighting services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13200,市部,All shi,24916,16092,1651,-,68,535,1007,2094,108,1862,1398,100,1
1,13201,八王子市,Hachioji-shi,2870,2012,207,-,3,111,85,127,-,-,309,16,-
1,13202,立川市,Tachikawa-shi,1060,752,73,-,-,20,34,96,-,-,82,3,-
1,13203,武蔵野市,Musashino-shi,954,689,68,-,-,16,46,97,-,20,14,4,-
1,13204,三鷹市,Mitaka-shi,998,644,74,-,-,37,36,145,-,-,58,4,-
1,13205,青梅市,Ome-shi,1517,558,61,-,-,4,25,-,-,805,61,2,1
1,13206,府中市,Fuchu-shi,1313,857,88,-,-,27,58,208,-,-,67,8,-
1,13207,昭島市,Akishima-shi,639,480,48,-,-,5,19,20,-,26,38,3,-
1,13208,調布市,Chofu-shi,1297,896,90,-,-,30,46,145,-,-,87,3,-
1,13209,町田市,Machida-shi,2945,1660,150,-,4,57,67,152,-,653,197,5,-
1,13210,小金井市,Koganei-shi,670,401,58,-,-,17,17,130,-,-,45,2,-
1,13211,小平市,Kodaira-shi,960,640,70,-,-,13,30,147,-,-,57,3,-
1,13212,日野市,Hino-shi,1443,731,61,-,61,85,260,145,-,-,84,16,-
1,13213,東村山市,Higashimurayama-shi,790,550,56,-,-,15,22,109,-,-,34,4,-
1,13214,国分寺市,Kokubunji-shi,656,465,50,-,-,12,25,67,-,-,35,2,-
1,13215,国立市,Kunitachi-shi,490,338,42,-,-,12,19,72,-,-,5,2,-
1,13218,福生市,Fussa-shi,385,327,28,-,-,-,15,-,-,-,13,2,-
1,13219,狛江市,Komae-shi,444,303,32,-,-,8,12,64,-,-,23,2,-
1,13220,東大和市,Higashiyamato-shi,464,374,36,-,-,2,14,21,-,-,15,2,-
1,13221,清瀬市,Kiyose-shi,466,335,38,-,-,7,17,41,-,-,26,2,-
1,13222,東久留米市,Higashikurume-shi,589,375,52,-,-,16,23,90,-,-,31,2,-
1,13223,武蔵村山市,Musashimurayama-shi,391,317,39,-,-,3,16,-,-,-,14,2,-
1,13224,多摩市,Tama-shi,843,678,55,-,-,9,36,21,-,13,28,3,-
1,13225,稲城市,Inagi-shi,870,336,43,-,-,3,13,27,108,329,9,2,-
1,13227,羽村市,Hamura-shi,379,310,28,-,-,1,15,-,-,16,7,2,-
1,13228,あきる野市,Akiruno-shi,466,378,36,-,-,4,15,22,-,-,9,2,-
1,13229,西東京市,Nishitokyo-shi,1017,686,68,-,-,21,42,148,-,-,50,2,-
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (令和3年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) SHI ( Apr. 1， 2021 ),,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
地域階層（0:市部　1:区市町村）,,,,,,,,,,,,,,,,
