年度,Fiscal year,保険給付費 Insurance benefits／件数 Cases,保険給付費 Insurance benefits／給付費 Benefits,医療給付費 Medical care benefits／件数 Cases,医療給付費 Medical care benefits／給付費 Benefits,医療費 Medical care expenses,診療費 Consultation fees／計 Total／件数 Cases,診療費 Consultation fees／計 Total／日数 Days,診療費 Consultation fees／計 Total／給付費 Benefits,診療費 Consultation fees／計 Total／医療費 Medical care expenses,診療費 Consultation fees／入院 Inpatient care／件数 Cases,診療費 Consultation fees／入院 Inpatient care／日数 Days,診療費 Consultation fees／入院 Inpatient care／給付費 Benefits,診療費 Consultation fees／入院 Inpatient care／医療費 Medical care expenses,診療費 Consultation fees／入院外 Outpatient care／件数 Cases,診療費 Consultation fees／入院外 Outpatient care／日数 Days,診療費 Consultation fees／入院外 Outpatient care／給付費 Benefits,診療費 Consultation fees／入院外 Outpatient care ／医療費 Medical care expenses,診療費 Consultation fees／歯科 Dental／件数 Cases,診療費 Consultation fees／歯科 Dental／日数 Days,診療費 Consultation fees／歯科 Dental／給付費 Benefits,診療費 Consultation fees／歯科 Dental／医療費 Medical care expenses,薬剤支給 Prescription drugs／件数 Cases,薬剤支給 Prescription drugs／給付費 Benefits,薬剤支給 Prescription drugs／医療費 Medical care expenses,入院時食事療養費・生活療養費（標準負担額差額支給を除く） Meals and living expenses during hospitalization (excluding payment covering the difference with standard copayments)／件数 Cases,入院時食事療養費・生活療養費（標準負担額差額支給を除く） Meals and living expenses during hospitalization (excluding payment covering the difference with standard copayments)／給付費 Benefits,入院時食事療養費・生活療養費（標準負担額差額支給を除く） Meals and living expenses during hospitalization (excluding payment covering the difference with standard copayments)／医療費 Medical care expenses,訪問看護療養費 Home-visit nursing care expenses／件数 Cases,訪問看護療養費 Home-visit nursing care expenses／給付費 Benefits,訪問看護療養費 Home-visit nursing care expenses／医療費 Medical care expenses,入院時食事療養費・生活療養費（標準負担額差額支給） Meals and living expenses during hospitalization (payment of the difference with standard copayments)／件数 Cases,入院時食事療養費・生活療養費（標準負担額差額支給） Meals and living expenses during hospitalization (payment of the difference with standard copayments)／給付費 Benefits,療養費 Medical treatment expenses／件数 Cases,療養費 Medical treatment expenses／給付費 Benefits,移送費 Transport expenses／件数 Cases,移送費 Transport expenses／給付費 Benefits,高額療養費 High-cost medical treatment expenses／入院 Inpatient care／件数 Cases,高額療養費 High-cost medical treatment expenses／入院 Inpatient care／給付費 Benefits,高額療養費 High-cost medical treatment expenses／その他 Others／件数 Cases,高額療養費 High-cost medical treatment expenses／その他 Others／給付費 Benefits,その他の現金給付 Other cash benefits／合計 Total／件数 Cases,その他の現金給付 Other cash benefits／合計 Total／給付費 Benefits,その他の現金給付 Other cash benefits／傷病手当金 Sick/injury leave allowances／件数 Cases,その他の現金給付 Other cash benefits／傷病手当金 Sick/injury leave allowances／給付費 Benefits,その他の現金給付 Other cash benefits／埋葬料 Funeral expenses／件数 Cases,その他の現金給付 Other cash benefits／埋葬料 Funeral expenses／給付費 Benefits,その他の現金給付 Other cash benefits／出産育児一時金 Lump-sum allowances for childbirth and childcare／件数 Cases,その他の現金給付 Other cash benefits／出産育児一時金 Lump-sum allowances for childbirth and childcare／給付費 Benefits,その他の現金給付 Other cash benefits／出産手当金 Birth allowances／件数 Cases,その他の現金給付 Other cash benefits／出産手当金 Birth allowances／給付費 Benefits,世帯合算高額療養費 Total household high-cost medical treatment copayment reimbursement ／件数 Cases,世帯合算高額療養費 Total household high-cost medical treatment copayment reimbursement ／給付費 Benefits,高額介護合算 Total household high-cost medical and long-term care insurance copayment reimbursement ／件数 Cases,高額介護合算 Total household high-cost medical and long-term care insurance copayment reimbursement ／給付費 Benefits
令和元,2019,5614431,70713051,5589609,63905916,82268639,3510857,5406953,48781395,61877921,37512,339833,18422324,20951002,2691820,3717354,23460435,31207309,781525,1349766,6898637,9719610,1872472,13364464,18288532,33705,166235,511106,1671,85516,116716,32,320,196286,1041252,6,429,2827,256832,559,40167,24822,6807135,16906,3411804,354,17700,4703,1972488,2859,1405143,4899,169305,-,-
令和2,2020,6112621,78366217,6083984,71081264,91644933,3856795,5898111,54390396,69228200,38478,332049,19245502,21828046,2953542,4116531,27349728,36425179,864775,1449531,7795166,10974975,2028877,14728772,20086894,33568,162102,499072,4999,285814,385896,19,205,182700,1019862,3,162,2792,247987,662,44093,28637,7284954,21726,4315573,475,23742,3462,1451412,2974,1494227,7137,201870,-,-
令和3,2021,6553405,84329877,6517135,76295177,98751295,4122357,6133903,58669199,74885223,37884,327053,19722561,22337913,3192811,4378193,31045659,41415057,891662,1428657,7900979,11132254,2182814,15730264,21389857,33608,158574,492011,6039,321179,435198,22,260,199094,1093070,1,19,1650,161016,454,28618,36270,8034700,28895,4875891,407,20277,4118,1727828,2850,1410704,4704,132979,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (1) 全国健康保険協会管掌健康保険 b 保険給付費・医療費（令和元～3年度）18-8  HEALTH INSURANCE (1) MANAGED BY JAPAN HEALTH INSURANCE ASSOCIATION b INSURANCE BENEFIT PAYMENTS AND MEDICAL CARE EXPENSES ( Fiscal Years 2019-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注1) 「保険給付費」及び「医療給付費」の件数には，「入院時食事療養費・生活療養費（標準負担額差額支給分を除く）」は含まれていない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1)""Meals and living expenses during hospitalization (excluding payment covering the difference with standard copayments)"" are not included  in the cases of ""insurance benefits"" and ""medical care benefits."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会 Source: Japan Health Insurance Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　金額　千円） (Value in thousands of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
