年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成29,2017,0,総数,Total,13054164,13526161,12659949
平成30,2018,0,総数,Total,14443951,15103097,14402079
令和元,2019,0,総数,Total,14959438,15373303,14614086
令和2,2020,0,総数,Total,15452215,17804410,16133354
令和3,2021,0,総数,Total,15157870,19118380,17210915
令和3,2021,1,一般会計,General account,7425000,11061212,9461704
令和3,2021,1,特別会計,Special accounts,5831659,6077352,5997321
令和3,2021,2,特別区財政調整,Financial adjustments for ku,978718,1091571,1091571
令和3,2021,2,地方消費税清算,Local consumption tax adjustment,2381304,2446308,2441688
令和3,2021,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,372,372,-
令和3,2021,2,国民健康保険事業,National health insurance program,1085832,1144972,1128756
令和3,2021,2,母子父子福祉貸付資金,Single parent welfare loan funds,3612,3612,1642
令和3,2021,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,3833,3833,3553
令和3,2021,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,650,650,398
令和3,2021,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,4
令和3,2021,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,4
令和3,2021,2,と場,Slaughter house,5969,5971,5733
令和3,2021,2,都営住宅等事業,Metropolitan public housing， etc.,174909,183593,148053
令和3,2021,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,2642,2642,2552
令和3,2021,2,都市開発資金,Urban development funds,1023,1023,27
令和3,2021,2,用地,Land acquisition,17775,17786,6641
令和3,2021,2,公債費,Debt services,1173245,1173245,1166291
令和3,2021,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,1675,1675,409
令和3,2021,1,公営企業会計,Public enterprise accounts,1901211,1979815,1751890
令和3,2021,2,病院,Hospital,207451,214922,203979
令和3,2021,2,中央卸売市場,Central Wholesale Market,41917,42985,34779
令和3,2021,2,都市再開発事業,Urban redevelopment,5806,5828,2744
令和3,2021,2,臨海地域開発事業,Waterfront area development ,25637,27080,34868
令和3,2021,2,港湾事業,Port and harbor,5842,5875,4219
令和3,2021,2,交通事業,Transportation,76460,76983,68556
令和3,2021,2,高速電車事業,Railway,289545,291909,241941
令和3,2021,2,電気事業,Electric power,1544,1637,1133
令和3,2021,2,水道事業,Waterworks,501273,524873,454493
令和3,2021,2,工業用水道事業,Industrial waterworks,8216,8216,6068
令和3,2021,2,下水道事業,Sewerage,737520,779508,699110
,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成29～令和3年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2017-2021 ) ( EXPENDITURE ),,,,,,,
注 1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note: 1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
