年,月,日,Month,Day,Year,回数 N-th time,人口 Population 1),選挙当日有権者数 Eligible voters as of election day／総数 Total,選挙当日有権者数 Eligible voters as of election day／男 Male,選挙当日有権者数 Eligible voters as of election day／女 Female,投票者数 Voters／総数 Total,投票者数 Voters／男 Male,投票者数 Voters／女 Female,投票率 Voter turnout (%)
平成23,4,10,Apr.,10,2011,17,13080718,10505848,5167465,5338383,6072604,2896964,3175640,57.8
平成24,12,16,Dec.,16,2012,18,13136914,10619652,5219233,5400419,6647744,3270040,3377704,62.6
平成26,2,9,Feb.,9,2014,19,13205631,10685343,5244839,5440504,4930251,2436670,2493581,46.14
平成28,7,31,July,31,2016,20,13502271,11083306,5431190,5652116,6620407,3160220,3460187,59.73
令和2,7,5,July,5,2020,21,13882913,11290229,5506181,5784048,6209940,2941870,3268070,55
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,
22-2  選挙別人口，有権者数及び投票率 (4) 都知事選挙 （平成23～令和2年） 22-2  POPULATION， ELECTORATE， AND VOTER TURNOUT BY ELECTION (4) ELECTION OF THE TOKYO GOVERNOR ( 2011-2020 ),,,,,,,,,,,,,,
公職選挙法の改正により，平成28年6月19日の後行われる選挙から，選挙権年齢が満18歳以上に引き下げされた。 ,,,,,,,,,,,,,,
With the amendment of the Public Offices Election Act， the minimum voting age was lowered to 18 for elections after June 19， 2016.,,,,,,,,,,,,,,
注1) 人口は，住民基本台帳人口である。,,,,,,,,,,,,,,
Note: 1) Population data from the Basic Resident Register.,,,,,,,,,,,,,,
資料：都選挙管理委員会事務局選挙課 Source: Tokyo Metropolitan Election Administration Commission,,,,,,,,,,,,,,
