年度末,End of fiscal year,地域階層,地域コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数2 Number of sewage treatment plants 2 2) ,終末処理場数1 Number of sewage treatment plants 1,普及率 (B/A) Sewerage system coverage (%)
令和元,2019,0,13000,東京都,Tokyo-to,13843843,13806957,109770,106023,13806905,109770,105941,7,27,100
令和2,2020,0,13000,東京都,Tokyo-to,13818472,13782607,109793,106556,13782593,109793,106024,7,26,100
令和3,2021,0,13000,東京都,Tokyo-to,13780876,13746549,109833,106702,13746024,109833,106232,7,26,100
令和3,2021,1,13100,区部,All ku,9532279,9522769,56396,56234,9522769,56396,56234,-,13,100
令和3,2021,2,13101,千代田区,Chiyoda-ku,67276,67276,1102,1102,67276,1102,1102,-,-,100
令和3,2021,2,13102,中央区,Chuo-ku,172193,172193,903,903,172193,903,903,-,-,100
令和3,2021,2,13103,港区,Minato-ku,258783,258594,1986,1970,258594,1986,1970,-,1,100
令和3,2021,2,13104,新宿区,Shinjuku-ku,340877,340877,1798,1798,340877,1798,1798,-,1,100
令和3,2021,2,13105,文京区,Bunkyo-ku,227218,227218,1138,1138,227218,1138,1138,-,-,100
令和3,2021,2,13106,台東区,Taito-ku,204431,204431,856,856,204431,856,856,-,-,100
令和3,2021,2,13107,墨田区,Sumida-ku,276800,276800,1195,1195,276800,1195,1195,-,-,100
令和3,2021,2,13108,江東区,Koto-ku,527085,525435,3432,3402,525435,3432,3402,-,2,100
令和3,2021,2,13109,品川区,Shinagawa-ku,404405,404021,2051,2045,404021,2051,2045,-,-,100
令和3,2021,2,13110,目黒区,Meguro-ku,278415,278415,1440,1440,278415,1440,1440,-,-,100
令和3,2021,2,13111,大田区,Ota-ku,729423,729095,4825,4798,729095,4825,4798,-,1,100
令和3,2021,2,13112,世田谷区,Setagaya-ku,917145,916638,5726,5709,916638,5726,5709,-,-,100
令和3,2021,2,13113,渋谷区,Shibuya-ku,228906,228906,1511,1511,228906,1511,1511,-,-,100
令和3,2021,2,13114,中野区,Nakano-ku,332432,332432,1566,1566,332432,1566,1566,-,1,100
令和3,2021,2,13115,杉並区,Suginami-ku,570925,570591,3338,3332,570591,3338,3332,-,-,100
令和3,2021,2,13116,豊島区,Toshima-ku,283595,283595,1299,1299,283595,1299,1299,-,-,100
令和3,2021,2,13117,北区,Kita-ku,351390,351390,1836,1836,351390,1836,1836,-,1,100
令和3,2021,2,13118,荒川区,Arakawa-ku,215361,215361,887,887,215361,887,887,-,1,100
令和3,2021,2,13119,板橋区,Itabashi-ku,567091,567018,2997,2994,567018,2997,2994,-,1,100
令和3,2021,2,13120,練馬区,Nerima-ku,738131,737889,4684,4677,737889,4684,4677,-,-,100
令和3,2021,2,13121,足立区,Adachi-ku,689258,685812,4787,4778,685812,4787,4778,-,2,100
令和3,2021,2,13122,葛飾区,Katsushika-ku,462537,461309,2996,2961,461309,2996,2961,-,1,100
令和3,2021,2,13123,江戸川区,Edogawa-ku,688602,687473,4043,4037,687473,4043,4037,-,1,100
令和3,2021,1,13200,市部,All shi,4190432,4167682,51415,48734,4167157,51415,48264,7,11,99
令和3,2021,2,13201,八王子市,Hachioji-shi,561457,557847,8739,8445,557847,8739,8445,1,1,99
令和3,2021,2,13202,立川市,Tachikawa-shi,185201,185201,2278,2175,185201,2278,2175,-,1,100
令和3,2021,2,13203,武蔵野市,Musashino-shi,148300,148300,1073,1073,148300,1073,1073,-,-,100
令和3,2021,2,13204,三鷹市,Mitaka-shi,190295,190295,1650,1650,190295,1650,1650,-,1,100
