年度,Fiscal year,個人保険 Individual Insurance 1)／件数 Number,個人保険 Individual Insurance 1)／金額 Value,団体保険 Group Insurance 1)／団体数 Number,団体保険 Group Insurance 1)／被保険者数 Persons insured,団体保険 Group Insurance 1)／金額 Value,個人年金保険 Individual Annuity Insurance／件数 Number,個人年金保険 Individual Annuity Insurance／金額 Value,,,,,,,,,,,,,,,,,,
平成29,2017,1856114,9039248,613,2147924,1724283,132834,864762,,,,,,,,,,,,,,,,,,
平成30,2018,2042946,10207000,775,751113,2517890,145576,957632,,,,,,,,,,,,,,,,,,
令和元,2019,1827838,7486037,677,691813,2175348,123826,858631,,,,,,,,,,,,,,,,,,
令和2,2020,1471494,6526078,494,856890,2261686,78102,590096,,,,,,,,,,,,,,,,,,
令和3,2021,1578692,7167411,593,1402245,2666864,97093,749163,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-4  生命保険会社契約高 (1) 新契約 (平成29～令和3年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (1) NEW POLICIES ( Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 個人保険及び団体保険の金額表示は主要保障金額である。,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Values for individual and group insurance are based on the main coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
