年次,Year,地域階層,地域コード,地域,District,福祉事務所 Welfare offices／事務所数 Offices,福祉事務所 Welfare offices／地区担当員数 Caseworkers,民生委員 Local welfare commissioners (volunteers)／定員数 Maximum number,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／総数 Total,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／男 Male,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／女 Female
平成29,2017,0,13000,東京都,Tokyo-to,63,2314,10776,10080,2501,7579
平成30,2018,0,13000,東京都,Tokyo-to,63,2338,10776,10140,2523,7617
平成31,2019,0,13000,東京都,Tokyo-to,63,2338,10776,10139,2504,7635
令和2,2020,0,13000,東京都,Tokyo-to,63,2416,10814,9996,2744,7252
令和3,2021,0,13000,東京都,Tokyo-to,63,2442,10814,10066,2499,7567
令和3,2021,1,13100,区部,All ku,32,1892,7517,7061,1664,5397
令和3,2021,2,13101,千代田区,Chiyoda-ku,1,8,52,51,16,35
令和3,2021,2,13102,中央区,Chuo-ku,1,13,120,105,25,80
令和3,2021,2,13103,港区,Minato-ku,1,24,165,148,49,99
令和3,2021,2,13104,新宿区,Shinjuku-ku,1,92,302,292,63,229
令和3,2021,2,13105,文京区,Bunkyo-ku,1,21,151,143,39,104
令和3,2021,2,13106,台東区,Taito-ku,1,75,213,200,72,128
令和3,2021,2,13107,墨田区,Sumida-ku,1,69,208,182,56,126
令和3,2021,2,13108,江東区,Koto-ku,1,70,327,281,69,212
令和3,2021,2,13109,品川区,Shinagawa-ku,1,45,325,296,62,234
令和3,2021,2,13110,目黒区,Meguro-ku,1,28,231,218,36,182
令和3,2021,2,13111,大田区,Ota-ku,1,145,507,492,98,394
令和3,2021,2,13112,世田谷区,Setagaya-ku,5,97,654,621,81,540
令和3,2021,2,13113,渋谷区,Shibuya-ku,1,32,198,190,41,149
令和3,2021,2,13114,中野区,Nakano-ku,1,67,311,291,48,243
令和3,2021,2,13115,杉並区,Suginami-ku,1,71,433,391,88,303
令和3,2021,2,13116,豊島区,Toshima-ku,1,68,258,233,38,195
令和3,2021,2,13117,北区,Kita-ku,1,91,323,306,79,227
令和3,2021,2,13118,荒川区,Arakawa-ku,1,47,216,207,58,149
令和3,2021,2,13119,板橋区,Itabashi-ku,3,172,537,516,106,410
令和3,2021,2,13120,練馬区,Nerima-ku,4,165,577,571,133,438
令和3,2021,2,13121,足立区,Adachi-ku,1,209,558,515,161,354
令和3,2021,2,13122,葛飾区,Katsushika-ku,1,101,407,391,108,283
令和3,2021,2,13123,江戸川区,Edogawa-ku,1,182,444,421,138,283
令和3,2021,1,13200,市部,All shi,26,532,3097,2816,766,2050
令和3,2021,2,13201,八王子市,Hachioji-shi,1,64,453,441,142,299
令和3,2021,2,13202,立川市,Tachikawa-shi,1,40,158,152,39,113
令和3,2021,2,13203,武蔵野市,Musashino-shi,1,18,110,96,17,79
令和3,2021,2,13204,三鷹市,Mitaka-shi,1,26,127,112,20,92
令和3,2021,2,13205,青梅市,Ome-shi,1,22,151,145,62,83
令和3,2021,2,13206,府中市,Fuchu-shi,1,32,176,172,46,126
令和3,2021,2,13207,昭島市,Akishima-shi,1,18,85,85,22,63
令和3,2021,2,13208,調布市,Chofu-shi,1,26,163,154,68,86
令和3,2021,2,13209,町田市,Machida-shi,1,33,257,204,48,156
令和3,2021,2,13210,小金井市,Koganei-shi,1,14,84,69,10,59
令和3,2021,2,13211,小平市,Kodaira-shi,1,23,137,119,20,99
令和3,2021,2,13212,日野市,Hino-shi,1,18,134,126,29,97
令和3,2021,2,13213,東村山市,Higashimurayama-shi,1,20,117,94,23,71
令和3,2021,2,13214,国分寺市,Kokubunji-shi,1,9,79,72,21,51
令和3,2021,2,13215,国立市,Kunitachi-shi,1,12,56,51,13,38
令和3,2021,2,13218,福生市,Fussa-shi,1,10,52,46,15,31
令和3,2021,2,13219,狛江市,Komae-shi,1,10,58,51,12,39
令和3,2021,2,13220,東大和市,Higashiyamato-shi,1,14,61,55,16,39
令和3,2021,2,13221,清瀬市,Kiyose-shi,1,15,51,48,12,36
令和3,2021,2,13222,東久留米市,Higashikurume-shi,1,15,80,58,15,43
令和3,2021,2,13223,武蔵村山市,Musashimurayama-shi,1,13,62,52,11,41
令和3,2021,2,13224,多摩市,Tama-shi,1,25,112,89,23,66
令和3,2021,2,13225,稲城市,Inagi-shi,1,10,65,64,17,47
令和3,2021,2,13227,羽村市,Hamura-shi,1,7,52,44,5,39
令和3,2021,2,13228,あきる野市,Akiruno-shi,1,8,70,70,33,37
令和3,2021,2,13229,西東京市,Nishitokyo-shi,1,30,147,147,27,120
令和3,2021,1,13300,郡部,All gun,1,9,98,95,32,63
令和3,2021,1,13350,島部,All islands,4,9,102,94,37,57
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,
18-11  地域別福祉事務所数及び民生委員数 （平成29～令和3年） 18-11  WELFARE OFFICES AND LOCAL WELFARE COMMISSIONERS (VOLUNTEERS) BY DISTRICT ( 2017-2021 ),,,,,,,,,,,
各年4月1日現在。  ,,,,,,,,,,,
Figures are as of  Apr.1 of the year noted.,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,
