年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成29,2017,歳入,Revenue,総数,Total,6954000,7226993,6964118
平成30,2018,歳入,Revenue,総数,Total,7046000,7572458,7515641
令和元,2019,歳入,Revenue,総数,Total,7461000,7804519,7671733
令和2,2020,歳入,Revenue,総数,Total,7354000,9747452,8688613
令和3,2021,歳入,Revenue,総数,Total,7425000,11061212,9747377
令和3,2021,歳入,Revenue,都税,Metropolitan taxes,5044998,5606775,5847910
令和3,2021,歳入,Revenue,地方譲与税,Local transfer tax,44790,50791,53343
令和3,2021,歳入,Revenue,助成交付金,Subsidies and grants,34,34,35
令和3,2021,歳入,Revenue,地方特例交付金,Special local grants,19874,19874,28097
令和3,2021,歳入,Revenue,特別交付金,Special grants,2999,2999,2897
令和3,2021,歳入,Revenue,分担金及負担金,Beneficiary contribution,21113,22663,15887
令和3,2021,歳入,Revenue,使用料及手数料,Charges and fees,87422,87422,76913
令和3,2021,歳入,Revenue,国庫支出金,National treasury disbursements,381665,3434644,2491560
令和3,2021,歳入,Revenue,財産収入,Revenue from property,41952,39246,34279
令和3,2021,歳入,Revenue,寄附金,Contributions,61,61,723
令和3,2021,歳入,Revenue,繰入金,Funds transferred,835731,928874,289541
令和3,2021,歳入,Revenue,諸収入,Miscellaneous,356758,366324,480250
令和3,2021,歳入,Revenue,都債,Metropolitan bonds,587601,299844,224279
令和3,2021,歳入,Revenue,繰越金,Balance brought forward,1,201661,201661
平成29,2017,歳出,Expenditure,総数,Total,6954000,7226993,6693202
平成30,2018,歳出,Expenditure,総数,Total,7046000,7572458,7234822
令和元,2019,歳出,Expenditure,総数,Total,7461000,7804519,7444627
令和2,2020,歳出,Expenditure,総数,Total,7354000,9747452,8486952
令和3,2021,歳出,Expenditure,総数,Total,7425000,11061212,9461704
令和3,2021,歳出,Expenditure,議会費,Metropolitan assembly,6152,5653,5149
令和3,2021,歳出,Expenditure,総務費,General services,223166,272261,240007
令和3,2021,歳出,Expenditure,徴税費,Tax collection,73114,72236,70636
令和3,2021,歳出,Expenditure,生活文化費,Citizens and cultural affairs,27635,29519,26747
令和3,2021,歳出,Expenditure,スポーツ振興費,Sports promotion,412220,451197,300380
令和3,2021,歳出,Expenditure,都市整備費,Urban development,120090,105526,87929
令和3,2021,歳出,Expenditure,環境費,Environmental protection,53812,63357,56687
令和3,2021,歳出,Expenditure,福祉保健費,Welfare and public health,1258929,2157186,1781243
令和3,2021,歳出,Expenditure,産業労働費,Industry and labor ,526328,2912096,2157808
令和3,2021,歳出,Expenditure,土木費,Civil engineering works,564635,518545,412747
令和3,2021,歳出,Expenditure,港湾費,Port and harbor,107454,101909,73333
令和3,2021,歳出,Expenditure,教育費,Education,863695,854568,816299
令和3,2021,歳出,Expenditure,学務費,School affairs,235683,233114,221824
令和3,2021,歳出,Expenditure,警察費,Police,652176,642744,623294
令和3,2021,歳出,Expenditure,消防費,Fire fighting,251067,248825,244016
令和3,2021,歳出,Expenditure,公債費,Debt services,332250,332250,327142
令和3,2021,歳出,Expenditure,諸支出金,Miscellaneous,1711594,2059234,2016463
令和3,2021,歳出,Expenditure,予備費,Reserve funds,5000,991,-
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成29～令和3年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2017-2021 ),,,,,,,,
注) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,,
Note: The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
