年次,Year,調査世帯数 Num. of households surveyed,世帯人員 Num. of persons per household,有業人員 Num. of earners per household,世帯主平均年齢 Average age of household head,生計支出 Living expenses,生計支出 Living expenses／消費支出 Consumption expenditures,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／穀類 Cereals,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／魚介類 Fish & shellfish,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／肉類 Meat,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／乳卵類 Dairy products & eggs,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／野菜・海藻 Vegetables & seaweeds,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／果物 Fruits,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／油脂・調味料 Oils， fats & seasonings,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／菓子類 Cakes & candies,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／調理食品 Cooked food,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／飲料 Beverages,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／酒類 Alcoholic beverages,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／外食 Meals outside the home,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing／家賃地代 Rents for dwelling & land,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing／設備修繕・維持 Repairs & maintenance,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／電気代 Electricity,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／ガス代 Gas,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／他の光熱 Other fuel & light,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／上下水道料 Water & sewerage charges,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家庭用耐久財 Household durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／室内装備・装飾品 Interior furnishings & decorations,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／寝具類 Bedding,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事雑貨 Domestic utensils,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事用消耗品 Domestic non-durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事サービス Domestic services,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／和服 Japanese clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／洋服 Clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／シャツ・セーター類 Shirts & sweaters,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／下着類 Underwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／生地・糸類 Cloth & thread,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／他の被服 Other clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／履物類 Footwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／被服関連サービス Services related to clothing,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／医薬品 Medicines,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／健康保持用摂取品 Health fortification,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／保健医療用品・器具 Medical supplies & appliances,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／保健医療サービス Medical services,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／交通 Public transportation,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／自動車等関係費 Private transportation,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／通信 Communication,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／授業料等 School fees,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／教科書・学習参考教材 School textbooks & reference books for study,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／補習教育 Tutorial fees,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽用耐久財 Recreational durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽用品 Recreational goods,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／書籍・他の印刷物 Books & other reading materials,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽サービス Recreational services,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／諸雑費 Miscellaneous,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／こづかい Pocket money,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／交際費 Social expenses,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／仕送り金 Remittance,生計支出 Living expenses／土地家屋購入 Purchase of house and land
平成29,2017,728,2.94,1.28,60.2,330949,327903,85446,6465,6535,7806,4286,10438,3448,3694,5867,11373,4610,3590,17335,23960,14454,9506,21024,9585,5849,319,5271,12153,4099,1084,880,2408,2820,862,14135,130,5993,2747,1105,160,1025,1909,1066,15518,2647,1495,2464,8913,36746,8814,15192,12741,19626,15285,227,4113,37292,2452,7268,3978,23595,62002,25956,9951,22802,3294,3046
平成30,2018,717,2.92,1.34,59.7,323328,322314,86107,6645,6299,7805,4127,10552,3437,3638,6123,11652,4895,3221,17714,23945,14782,9163,21383,10121,5765,308,5190,10722,3431,576,784,2304,2804,823,13654,120,5923,2544,1111,126,971,1847,1012,16097,2621,1300,2492,9684,35656,9201,13620,12835,20417,15467,186,4763,36071,2214,6958,3810,23089,58264,25614,9108,21541,2001,1013
平成31･令和元,2019,703,2.92,1.31,60.8,330278,326563,87921,6769,6282,7693,4173,10027,3469,3637,6500,12166,4973,3575,18658,23613,13606,10008,21274,10138,5887,335,4914,12296,4141,798,980,2499,3010,869,14047,198,5992,2707,1065,174,1032,1835,1044,16717,2939,1315,2745,9718,36545,9911,14168,12465,19284,14120,215,4949,37513,2568,7539,3930,23477,57353,25810,8531,20335,2677,3716
令和2,2020,689,2.94,1.32,59.4,331138,319428,90238,7116,6797,9050,4805,11355,3815,4380,6937,12826,5402,4232,13522,27590,16273,11317,21508,10114,5847,266,5283,13578,4581,717,948,2809,3667,856,11365,283,4639,2043,1025,161,811,1439,966,17767,3016,1451,3346,9954,34165,5688,15056,13421,19167,14293,279,4594,31569,3508,7647,3918,16496,52480,24795,8014,16736,2934,11710
令和3,2021,674,2.91,1.36,59.6,340536,322669,90453,6846,6841,8897,4600,10682,3772,4200,7237,13896,5643,4628,13211,26599,14505,12094,20196,9174,5444,265,5313,13735,4625,984,1063,2774,3439,851,11007,156,4488,2136,1060,121,791,1548,707,18384,2975,1305,3233,10872,34635,6062,15850,12724,19093,14281,282,4531,32384,3199,7776,3688,17722,56182,28199,7119,15951,4913,17868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 14  家計 14  FAMILY INCOME AND EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-1  １世帯当たり年平均１か月間の用途別生計支出（全世帯）（平成29～令和3年） 14-1 MONTHLY AVERAGE OF LIVING EXPENSES BY USE PER HOUSEHOLD ( ALL HOUSEHOLDS ) ( 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 平成31年・令和元年からは、調査対象に農林漁家世帯を含めている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: From 2019， agricultural， forestry and fishing households are included in the survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部社会統計課 「都民のくらしむき（東京都生計分析調査）年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　円) (Value in yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
