年度,Fiscal year,個人保険 Individual Insurance 2)／件数 Number,個人保険 Individual Insurance 2)／金額 Value,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance／件数 Number,個人年金保険 Individual Annuity Insurance／金額 Value,,,,,,,,,,,,,,,,,,,
平成29,2017,300294,2398600,-,-,727,6000,,,,,,,,,,,,,,,,,,,
平成30,2018,587470,2631131,-,-,950,7562,,,,,,,,,,,,,,,,,,,
令和元,2019,628662,2652593,-,-,1001,12531,,,,,,,,,,,,,,,,,,,
令和2,2020,480848,1889595,-,-,768,8324,,,,,,,,,,,,,,,,,,,
令和3,2021,578845,2228520,-,-,1042,9561,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-4  生命保険会社契約高 (2) 転換契約 (平成29～令和3年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (2) CONVERTED POLICIES ( Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 転換契約とは，転換による増加分の件数と金額を示す。,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 個人保険の金額表示は主要保障金額である。,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Figures for converted policies are the increase in policy numbers and values as a result of conversion.,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Values for individual insurance are based on the main coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
