項番 Item number,項目,Item,平成30年度 Fiscal year 2018／実数 Value,平成30年度 Fiscal year 2018／構成比 Percentage Distribution (%),平成30年度 Fiscal year 2018／対前年度増加率 Percent changes from previous fiscal year (%),令和元年度 Fiscal year 2019／実数 Value,令和元年度 Fiscal year 2019／構成比 Percentage Distribution (%),令和元年度 Fiscal year 2019／対前年度増加率 Percent changes from previous fiscal year (%)
1,農林水産業,Agriculture， forestry and fishing,52.5,0,-7.3,52.8,0,0.5
2,鉱業,Mining,57.8,0.1,2,56.7,0,-2
3,製造業,Manufacturing,8644.4,7.5,-0.5,8274.5,7.2,-4.3
4,電気・ガス・水道・廃棄物処理業,Electricity， gas and water supply and waste management service,1603.2,1.4,2.7,1730.3,1.5,7.9
5,建設業,Construction,4813.1,4.2,-0.5,4594.4,4,-4.5
6,卸売・小売業,Wholesale and retail trade,25817.7,22.4,2,25464.8,22,-1.4
7,運輸・郵便業,Transport and postal services,4584.8,4,1.5,4496.4,3.9,-1.9
8,宿泊・飲食サービス業,Accommodation and food service activities,2676,2.3,-1.3,2641.4,2.3,-1.3
9,情報通信業,Information and communications,12458.8,10.8,2,12858.5,11.1,3.2
10,金融・保険業,Finance and insurance,8773.3,7.6,2.7,8912,7.7,1.6
11,不動産業,Real estate,13999.6,12.1,1.5,14404.8,12.5,2.9
12,専門・科学技術，業務支援サービス業,Professional， scientific and technical activities,13293.8,11.5,1.8,13397.1,11.6,0.8
13,公務,Public administration,4146.1,3.6,4.3,4192.8,3.6,1.1
14,教育,Education,2902.6,2.5,0.4,2920.6,2.5,0.6
15,保健衛生・社会事業,Human health and social work activities,7041.1,6.1,2.3,7300.3,6.3,3.7
16,その他のサービス,Other service activities,4674,4.1,-0.5,4598.5,4,-1.6
17,小計 (1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16),Sub-total (1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16),115538.7,100.1,1.5,115895.9,100.2,0.3
18,輸入品に課される税・関税,Taxes and duties on imports,932.4,0.8,1.5,949.2,0.8,1.8
19,(控除) 総資本形成に係る消費税,(less) Consumption taxes for gross capital formation,1088.9,0.9,4.4,1162.6,1,6.8
20,都内総生産 (17+18-19),Gross prefectural domestic product (17+18-19),115382.2,100,1.5,115682.4,100,0.3
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS,,,,,,,,
"16-2  経済活動別都内総生産 (名目) (平成30, 令和元年度) 16-2  GROSS PREFECTURAL DOMESTIC PRODUCT CLASSIFIED BY ECONOMIC ACTIVITIES (AT CURRENT PRICES) ( Fiscal Years 2018 and 2019 )",,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,
