年度,Fiscal year,火災保険 Fire Insurance 1)／新契約 Contracts／件数 No. of Policies,火災保険 Fire Insurance 1)／新契約 Contracts／保険金額 (百万円) Insured Amounts (million yen),火災保険 Fire Insurance 1)／新契約 Contracts／保険料 (千円) Premiums Written (thousand yen),火災保険 Fire Insurance 1)／支払 Claims／件数 No. of Claims,火災保険 Fire Insurance 1)／支払 Claims／保険金 (千円) Claims Paid (thousand yen),地震保険 Earthquake Insurance／新契約 Contracts／件数 No. of Policies,地震保険 Earthquake Insurance／新契約 Contracts／保険金額 (百万円) Insured Amounts (million yen),地震保険 Earthquake Insurance／新契約 Contracts／保険料 (千円) Premiums Written (thousand yen),地震保険 Earthquake Insurance／保有 Policies in Force／件数 No. of Policies ,地震保険 Earthquake Insurance／保有 Policies in Force／保険金額 (百万円) Insured Amounts (million yen),,,,,,,,,,,,,,,
平成28,2016,…,…,…,…,…,1363009,11406064,51832928,2587064,23046343,,,,,,,,,,,,,,,
平成29,2017,2393365,119326070,113474317,88322,47915600,1296720,10602659,52936707,2635839,23759447,,,,,,,,,,,,,,,
平成30,2018,2399575,130361098,124255027,135241,84450577,1338253,11120295,61247184,2697866,24601916,,,,,,,,,,,,,,,
令和元,2019,2370974,139054267,140496372,154651,115202358,1328141,11098587,66187227,2748861,25381775,,,,,,,,,,,,,,,
令和2,2020,2282601,138729589,142892119,112917,79135140,1315772,11088614,70293745,2785895,26143689,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-5  火災及び自動車保険等状況 (1) 火災及び地震保険 (平成28～令和2年度) 15-5  FIRE AND AUTOMOBILE INSURANCE (1) FIRE AND EARTHQUAKE INSURANCE ( Fiscal Years 2016-2020 ),,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 火災保険については，平成29年度よりすべての保険期間の契約に集計対象を変更したため，平成28年度までは1年契約を対象に集計した数値を掲載していたが，「第70回統計年鑑（平成30年）」より，すべての保険期間の契約を対象に集計したものに変更した。,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 「新契約」または「保有」の「件数」は証券件数を表す。,,,,,,,,,,,,,,,,,,,,,,,,,,
3) 「支払」の「件数」は証券単位の事故件数を表す。,,,,,,,,,,,,,,,,,,,,,,,,,,
4) 「保険料」は異動・解約にかかる保険料を加減していない。,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Until fiscal 2016， fire insurance figures were tabulated for one-year policies. Due to the change in tabulation to cover all policy periods from fiscal 2017， insurance policies for all periods have been reflected from the 70th edition (2018) of the year book.,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) ""No. of Policies"" under ""Contracts"" and ""Policies in Force"" is the number of insurance policies. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"3) ""No. of Claims"" under ""Claims"" is the number of incidents covered by policy.",,,,,,,,,,,,,,,,,,,,,,,,,,
"4) ""Premiums Written"" represents premiums not adjusted due to changes and cancellations of contracts.",,,,,,,,,,,,,,,,,,,,,,,,,,
資料：損害保険料率算出機構 「損害保険料率算出機構統計集」 Source: General Insurance Rating Organization of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
