年,月,日,Month,Day,Year,回数 N-th time,人口 Population 1),選挙当日有権者数 Eligible voters as of election day,投票者数 Voters 2),議員定数 Number of seats,議員1人当たり人口 Population per representative,議員1人当たり有権者数 Eligible voters per representative,投票率 Voter turnout (%)
平成21,8,30,Aug.,30,2009,45,13003742,10601391,7035805,42,309613,252414,66.37
平成24,12,16,Dec.,16,2012,46,13136914,10720874,6668474,42,312784,255259,62.2
平成26,12,14,Dec.,14,2014,47,13298118,10850600,5898676,42,316622,258348,54.36
平成29,10,22,Oct.,22,2017,48,13626195,11276090,6048376,42,324433,268478,53.64
令和3,10,31,Oct.,31,2021,49,13818291,11486835,6571541,42,329007,273496,57.21
,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,
22-2  選挙別人口，有権者数及び投票率 (1) 衆議院議員選挙 (平成21～令和3年) 22-2  POPULATION， ELECTORATE， AND VOTER TURNOUT BY ELECTION (1) ELECTION OF MEMBERS OF THE HOUSE OF REPRESENTATIVES ( 2009-2021 ),,,,,,,,,,,,,
公職選挙法の改正により，平成28年6月19日の後行われる選挙から，選挙権年齢が満18歳以上に引き下げされた。 ,,,,,,,,,,,,,
With the amendment of the Public Offices Election Act， the minimum voting age was lowered to 18 for elections after June 19， 2016.,,,,,,,,,,,,,
注1) 人口は，住民基本台帳人口である。,,,,,,,,,,,,,
2) 投票者数は小選挙区における数，また議員定数は小選挙区定数と比例代表選挙区定数とを合計した数である。,,,,,,,,,,,,,
Note: 1) Population data from the Basic Resident Register.,,,,,,,,,,,,,
2) Number of voters is that of single-seat constituencies， and number of seats is the sum of single-seat constituencies and proportional representation constituencies.,,,,,,,,,,,,,
資料：都選挙管理委員会事務局選挙課 Source: Tokyo Metropolitan Election Administration Commission,,,,,,,,,,,,,
