年度,Fiscal year,月次 ,Month,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数 Total,雇用保険支給金額 Benefits paid／男 Male,雇用保険支給金額 Benefits paid／女 Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成29,2017,総数,Total,35447,14549,20898,57318403,25863197,31455206,134751
平成30,2018,総数,Total,35678,14805,20873,59319945,27023390,32296555,138553
令和元,2019,総数,Total,37613,16064,21549,64630559,30365658,34264901,143191
令和2,2020,総数,Total,50928,22326,28601,89752303,42590283,47162019,146861
令和3,2021,総数,Total,45290,20369,24921,79328434,38466191,40862243,145963
令和3,2021,4,Apr.,46493,21250,25243,7071270,3466336,3604933,152093
令和3,2021,5,May,44769,20002,24767,6140667,2962863,3177804,137163
令和3,2021,6,June,50056,22430,27626,7637010,3712871,3924139,152569
令和3,2021,7,July,50194,22218,27976,7209106,3447537,3761568,143624
令和3,2021,8,Aug.,51200,22514,28686,7633834,3650871,3982963,149098
令和3,2021,9,Sept.,48784,21666,27118,7294921,3518373,3776548,149535
令和3,2021,10,Oct.,46144,20669,25475,6595955,3156607,3439348,142942
令和3,2021,11,Nov.,44296,19950,24346,6473654,3143474,3330179,146145
令和3,2021,12,Dec.,42553,19332,23221,5565682,2718050,2847631,130794
令和4,2022,1,Jan.,41587,19015,22572,6607764,3244026,3363737,158890
令和4,2022,2,Feb.,38634,17681,20953,5158290,2534251,2624038,133516
令和4,2022,3,Mar.,38775,17703,21072,5940275,2910926,3029349,153198
,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　7  労働 7  LABOR,,,,,,,,,,
7-4  雇用保険  (一般) 支給状況  (平成29～令和3年度）7-4  PAYMENT OF ( GENERAL ) EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2017-2021 ),,,,,,,,,,
注) 年度別「受給者実人員」は月平均である。,,,,,,,,,,
Note: Fiscal year “Beneficiaries” are monthly averages.,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,
（単位　金額　千円）(In thousands of yen),,,,,,,,,,
