年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成28,2016,0,13000,東京都,Tokyo-to,482656,22213,21498,2803,1660,11573,11573,85650
平成29,2017,0,13000,東京都,Tokyo-to,486563,22082,19163,2688,1980,10314,10359,88168
平成30,2018,0,13000,東京都,Tokyo-to,488171,22648,21872,2605,1798,10748,10723,90630
令和元,2019,0,13000,東京都,Tokyo-to,488905,22872,23163,2790,1805,10561,10521,93171
令和2,2020,0,13000,東京都,Tokyo-to,488492,20792,21965,2480,1795,10032,9957,95490
令和2,2020,1,13100,区部,All ku,336085,13938,14472,1675,1311,6923,7118,59730
令和2,2020,2,13101,千代田区,Chiyoda-ku,2437,90,87,13,4,56,48,253
令和2,2020,2,13102,中央区,Chuo-ku,3732,182,98,35,19,115,135,559
令和2,2020,2,13103,港区,Minato-ku,7922,308,332,47,33,167,205,1087
令和2,2020,2,13104,新宿区,Shinjuku-ku,13618,498,535,81,46,368,400,1663
令和2,2020,2,13105,文京区,Bunkyo-ku,6348,271,271,36,22,132,143,1083
令和2,2020,2,13106,台東区,Taito-ku,9812,333,282,41,34,183,204,1036
令和2,2020,2,13107,墨田区,Sumida-ku,9141,467,523,49,37,203,230,1780
令和2,2020,2,13108,江東区,Koto-ku,19016,798,714,75,81,341,345,3502
令和2,2020,2,13109,品川区,Shinagawa-ku,14395,528,545,65,47,238,258,2104
令和2,2020,2,13110,目黒区,Meguro-ku,7826,314,269,39,27,111,127,1351
令和2,2020,2,13111,大田区,Ota-ku,28470,1155,942,153,82,508,498,4735
令和2,2020,2,13112,世田谷区,Setagaya-ku,24792,1077,1244,152,116,511,542,4720
令和2,2020,2,13113,渋谷区,Shibuya-ku,6788,354,288,31,27,160,183,954
令和2,2020,2,13114,中野区,Nakano-ku,10514,509,474,74,69,301,327,1678
令和2,2020,2,13115,杉並区,Suginami-ku,16260,753,753,88,62,315,338,2847
令和2,2020,2,13116,豊島区,Toshima-ku,9980,413,454,49,40,188,242,1410
令和2,2020,2,13117,北区,Kita-ku,17372,566,549,70,63,262,260,2649
令和2,2020,2,13118,荒川区,Arakawa-ku,9502,334,419,28,36,157,159,1425
令和2,2020,2,13119,板橋区,Itabashi-ku,21812,864,778,122,73,477,464,4163
令和2,2020,2,13120,練馬区,Nerima-ku,24412,1033,1026,127,101,475,456,5258
