年度,Fiscal year,配水量 Amount／計 Total,配水量 Amount／三園 Misono,配水量 Amount／玉川 Tamagawa,一日最大 Maximum per day／年月日 Date,一日最大 Maximum per day／水量 Amount,一日最小 Minimum per day／年月日 Date,一日最小 Minimum per day／水量 Amount,一日平均 Average amount per day
平成29,2017,10054900,8350200,1704700,7/25/2017,34600,1/1/2018,15800,27548
平成30,2018,9909900,8160700,1749200,7/18/2018,34600,1/1/2019,15300,27150
令和元,2019,9263900,8285200,978700,8/6/2019,32700,1/1/2020,15600,25311
令和2,2020,7313900,6779000,534900,8/27/2020,26800,1/1/2021,12000,20038
令和3,2021,5218900,3655900,1563000,8/3/2021,20400,2/20/2022,5900,14298
,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,
6-4  工業用水道の配水量 （平成29～令和3年度） 6-4 INDUSTRIAL WATER SUPPLIED ( Fiscal Years 2017-2021 ),,,,,,,,,
資料：都水道局総務部企画調整課 Source: Bureau of Waterworks， TMG,,,,,,,,,
（単位　立方メ－トル）(In cubic meters),,,,,,,,,
