地域階層,地域コード,項番 Item number,地域,District,総数 Total 1) ,結核 Tuberculosis,生活習慣病 Lifestyle-related diseases／悪性新生物 Malignant neoplasm,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted)肝臓がん Liver cancer,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted) 前立腺がん Prostate cancer,生活習慣病 Lifestyle-related diseases／循環器疾患 Cardiovascular disease,生活習慣病 Lifestyle-related diseases／その他 Others,生活習慣病 Lifestyle-related diseases／その他 Others／(再掲)(Relisted) 骨粗しょう症 Osteoporosis,その他 Others,,,,,
0,13000,0,総数,Tokyo-to,1201357,1007427,90818,75,44856,22014,78315,10263,2783,,,,,
1,13100,1,区部,All Ku,802572,725384,57267,-,27826,8678,8460,6673,2783,,,,,
1,13200,2,市部,All shi,386051,277147,28003,-,16267,12288,68613,2348,-,,,,,
1,13300,3,郡部,All gun,8257,2575,5229,75,692,-,453,453,-,,,,,
1,13350,4,島部,All islands,4477,2321,319,-,71,1048,789,789,-,,,,,
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,
19-5  地域保健活動 (1) 健康診断 (令和2年度) 19-5  LOCAL PUBLIC HEALTH CARE ACTIVITIES (1) HEALTH EXAMINATIONS ( Fiscal Year 2020 )　,,,,,,,,,,,,,,,,,,
注 1) 高齢者の医療の確保に関する法律に基づく特定健康診査，健康増進法第19条の２に基づく健康診査，地域保健・健康増進事業報告 「母子保健（健康 診査）」に該当するもの及び歯科健診を除く。,,,,,,,,,,,,,,,,,,
"Note: 1) Excludes special health examinations based on the Act on Assurance of Medical Care for Elderly People， health examinations based on Article 19-2 of the Health Promotion Act， those covered in the ""maternal and child health section (health examinations)"" of the Report on Regional Public Health Services and Health Promotion Services， and dental examinations.",,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,,,,,,
