年度,Fiscal year,自賠責保険 Compulsory Automobile Liability Insurance／契約 Contracts／台数 No. of Vehicles,自賠責保険 Compulsory Automobile Liability Insurance／契約 Contracts／保険料 (千円) Premiums Written (thousand yen) 1),自賠責保険 Compulsory Automobile Liability Insurance／支払 Claims／件数 No. of Claims,自賠責保険 Compulsory Automobile Liability Insurance／支払 Claims／保険金 (千円) Claims Paid (thousand yen),任意自動車保険 Voluntary Automobile Insurance／契約 Contracts／台数 No. of Vehicles  2),任意自動車保険 Voluntary Automobile Insurance／契約 Contracts／保険料 (千円) Premiums Written (thousand yen),任意自動車保険 Voluntary Automobile Insurance／支払 Claims／件数 No. of Claims,任意自動車保険 Voluntary Automobile Insurance／支払 Claims／保険金 (千円) Claims Paid (thousand yen),,,,,,,,,,,,,,,,,
平成28,2016,2322474,63125434,71287,50775441,3612379,237159314,316010,121911803,,,,,,,,,,,,,,,,,
平成29,2017,2310697,58269183,71287,49874759,3839088,249947388,321462,128331999,,,,,,,,,,,,,,,,,
平成30,2018,2299925,58161412,69051,47495654,3986011,245141481,313000,123795074,,,,,,,,,,,,,,,,,
令和元,2019,2261740,57351400,63778,45269918,3925106,243657542,301525,126746727,,,,,,,,,,,,,,,,,
令和2,2020,2280424,47317704,53099,40032268,3812539,245907844,258904,113518648,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-5  火災及び自動車保険等状況  (2) 自動車保険 a 自動車保険収支 (平成28～令和2年度) 15-5  FIRE AND AUTOMOBILE INSURANCE (2) AUTOMOBILE INSURANCE a AUTOMOBILE INSURANCE PREMIUMS AND CLAIMS ( Fiscal Years 2016-2020 ),,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 保険料は、異動・解約による追加・返戻保険料を加減した金額である。,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 契約台数は、新契約の台数である。,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Premiums written is the amount adjusted for additional and refunded premiums due to policy change or cancellation.,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Number of vehicles under Contracts is the number of newly insured vehicles.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：損害保険料率算出機構 「自動車保険の概況」 Source: General Insurance Rating Organization of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
