年次,Year,区分階層,検察庁,Public Prosecutor's Office,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,処理 Handled／総数 Total,処理 Handled／起訴 Prosecuted,処理 Handled／不起訴 Dismissed,処理 Handled／中止 Suspended,処理 Handled／移送 Transferred,処理 Handled／家裁に送致 Referred to Family Court,未済 Pending
平成29,2017,0,総数,Total,133254,4351,128903,129719,30618,74205,226,19253,5417,3535
平成30,2018,0,総数,Total,131597,3535,128062,128054,30649,72936,153,19269,5047,3543
平成31･令和元,2019,0,総数,Total,119936,3543,116393,115855,28133,66832,129,16321,4440,4081
令和2,2020,0,総数,Total,110468,4081,106387,105542,25876,61075,116,14504,3971,4926
令和3,2021,0,総数,Total,112474,4926,107548,107588,26328,61426,99,15937,3798,4886
令和3,2021,1,東京地方検察庁,Tokyo District Public Prosecutor's Office,63405,3971,59434,59583,10143,38442,83,7117,3798,3822
令和3,2021,2,本庁,Main Office,46161,2964,43197,43144,8115,27379,61,5194,2395,3017
令和3,2021,2,立川支部,Tachikawa Branch ,17244,1007,16237,16439,2028,11063,22,1923,1403,805
令和3,2021,1,区検察庁,Local Public Prosecutor's Office,49069,955,48114,48005,16185,22984,16,8820,-,1064
令和3,2021,2,東京,Tokyo,39811,839,38972,38851,12084,18871,15,7881,-,960
令和3,2021,2,八丈島,Hachijojima ,32,-,32,30,5,7,-,18,-,2
令和3,2021,2,伊豆大島,Izu-oshima ,9,-,9,8,1,2,-,5,-,1
令和3,2021,2,新島,Niijima,13,-,13,12,-,2,-,10,-,1
令和3,2021,2,八王子,Hachioji ,915,4,911,911,423,456,-,32,-,4
令和3,2021,2,立川,Tachikawa,6090,40,6050,6058,2682,2579,-,797,-,32
令和3,2021,2,武蔵野,Musashino,1161,48,1113,1125,474,607,-,44,-,36
令和3,2021,2,青梅,Ome ,362,14,348,348,176,164,1,7,-,14
令和3,2021,2,町田,Machida,676,10,666,662,340,296,-,26,-,14
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-4  検察事件の検察庁別受理， 処理人員（平成29～令和3年） 20-4 CASES ( PERSONS ) RECEIVED/HANDLED BY THE PUBLIC PROSECUTOR'S OFFICE BY OFFICE ( 2017-2021 ),,,,,,,,,,,,,,
注) 自動車による過失致死傷等被疑事件の人員を含み，時効再起事件の人員を含まない。,,,,,,,,,,,,,,
Note: Includes persons suspected of negligent driving resulting in deaths and injuries， but does not include persons in cases dismissed due to statute of limitations.,,,,,,,,,,,,,,
資料：法務省 「検察統計」 Source: Ministry of Justice,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
