地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,その他教育職 Other Educational services,臨時職員 Temporary employees
0,13100,区部,All ku,63425,37708,1998,75,619,1987,13974,-,5977,1034,53,-
1,13101,千代田区,Chiyoda-ku,1163,762,35,2,13,27,141,-,87,96,-,-
1,13102,中央区,Chuo-ku,1636,936,50,3,28,46,284,-,190,97,2,-
1,13103,港区,Minato-ku,2225,1382,66,3,12,56,412,-,209,80,5,-
1,13104,新宿区,Shinjuku-ku,2806,1565,96,5,19,99,689,-,257,73,3,-
1,13105,文京区,Bunkyo-ku,1966,1075,59,3,36,65,485,-,172,71,-,-
1,13106,台東区,Taito-ku,1922,1388,46,3,11,65,246,-,102,61,-,-
1,13107,墨田区,Sumida-ku,1876,1236,73,3,12,50,336,-,140,25,1,-
1,13108,江東区,Koto-ku,2667,1450,96,4,17,89,661,-,259,90,1,-
1,13109,品川区,Shinagawa-ku,2711,1487,81,2,24,88,726,-,231,69,3,-
1,13110,目黒区,Meguro-ku,2048,1121,77,3,46,61,542,-,173,24,1,-
1,13111,大田区,Ota-ku,4279,2411,142,3,46,128,1097,-,442,8,2,-
1,13112,世田谷区,Setagaya-ku,5507,3312,149,4,51,147,1197,-,589,55,3,-
1,13113,渋谷区,Shibuya-ku,2022,1150,57,4,12,67,410,-,296,24,2,-
1,13114,中野区,Nakano-ku,2087,1307,73,4,17,71,420,-,180,10,5,-
1,13115,杉並区,Suginami-ku,3498,1854,116,4,32,123,953,-,310,100,6,-
1,13116,豊島区,Toshima-ku,2021,1252,77,3,19,69,439,-,149,12,1,-
1,13117,北区,Kita-ku,2793,1543,88,3,12,87,848,-,182,30,-,-
1,13118,荒川区,Arakawa-ku,1787,1181,60,2,21,67,311,-,106,38,1,-
1,13119,板橋区,Itabashi-ku,3691,2229,133,4,37,125,801,-,348,14,-,-
1,13120,練馬区,Nerima-ku,4480,2626,101,3,54,144,1038,-,486,28,-,-
1,13121,足立区,Adachi-ku,3463,2475,123,3,36,118,543,-,149,11,5,-
1,13122,葛飾区,Katsushika-ku,2989,1623,77,4,20,87,779,-,380,7,12,-
1,13123,江戸川区,Edogawa-ku,3788,2343,123,3,44,108,616,-,540,11,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (2) 区 (令和3年4月1日)  22-5  GOVERNMENT EMPLOYEES (2) KU ( Apr. 1， 2021 ),,,,,,,,,,,,,,,
資料：都総務局行政部区政課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:区部　1:区市町村）,,,,,,,,,,,,,,,
