年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県・市等支給対象者 Covered by prefecture， cities， etc.／計 Total,都道府県・市等支給対象者 Covered by prefecture， cities， etc.／計 Total／全部支給 Full payment,都道府県・市等支給対象者 Covered by prefecture， cities， etc.／計 Total／一部支給 Partial payment,都道府県・市等支給対象者 Covered by prefecture， cities， etc.／停止 Discontinued,国支給対象者 Covered by national government／計 Total,国支給対象者 Covered by national government／計 Total／全部支給 Full payment,国支給対象者 Covered by national government／計 Total／一部支給 Partial payment,国支給対象者 Covered by national government／停止 Discontinued
平成29,2017,0,13000,東京都,Tokyo-to,74679,38002,36677,17551,74678,38002,36676,17551,1,-,1,-
平成30,2018,0,13000,東京都,Tokyo-to,72246,43119,29127,18167,72245,43118,29127,18167,1,1,-,-
令和元,2019,0,13000,東京都,Tokyo-to,68960,40588,28372,19017,68960,40588,28372,19017,-,-,-,-
令和2,2020,0,13000,東京都,Tokyo-to,67094,38559,28535,19454,67094,38559,28535,19454,-,-,-,-
令和3,2021,0,13000,東京都,Tokyo-to,64794,37011,27783,19479,64794,37011,27783,19479,-,-,-,-
令和3,2021,1,13100,区部,All ku,41401,23747,17654,13373,41401,23747,17654,13373,-,-,-,-
令和3,2021,2,13101,千代田区,Chiyoda-ku,175,89,86,86,175,89,86,86,-,-,-,-
令和3,2021,2,13102,中央区,Chuo-ku,591,348,243,247,591,348,243,247,-,-,-,-
令和3,2021,2,13103,港区,Minato-ku,884,551,333,388,884,551,333,388,-,-,-,-
令和3,2021,2,13104,新宿区,Shinjuku-ku,1247,766,481,422,1247,766,481,422,-,-,-,-
令和3,2021,2,13105,文京区,Bunkyo-ku,531,274,257,338,531,274,257,338,-,-,-,-
令和3,2021,2,13106,台東区,Taito-ku,817,481,336,215,817,481,336,215,-,-,-,-
令和3,2021,2,13107,墨田区,Sumida-ku,1372,798,574,399,1372,798,574,399,-,-,-,-
令和3,2021,2,13108,江東区,Koto-ku,2360,1325,1035,878,2360,1325,1035,878,-,-,-,-
令和3,2021,2,13109,品川区,Shinagawa-ku,1359,670,689,668,1359,670,689,668,-,-,-,-
令和3,2021,2,13110,目黒区,Meguro-ku,720,383,337,307,720,383,337,307,-,-,-,-
令和3,2021,2,13111,大田区,Ota-ku,2942,1584,1358,1169,2942,1584,1358,1169,-,-,-,-
令和3,2021,2,13112,世田谷区,Setagaya-ku,2614,1395,1219,1125,2614,1395,1219,1125,-,-,-,-
令和3,2021,2,13113,渋谷区,Shibuya-ku,659,373,286,219,659,373,286,219,-,-,-,-
令和3,2021,2,13114,中野区,Nakano-ku,1016,583,433,326,1016,583,433,326,-,-,-,-
令和3,2021,2,13115,杉並区,Suginami-ku,1513,797,716,631,1513,797,716,631,-,-,-,-
令和3,2021,2,13116,豊島区,Toshima-ku,979,544,435,289,979,544,435,289,-,-,-,-
令和3,2021,2,13117,北区,Kita-ku,1456,794,662,350,1456,794,662,350,-,-,-,-
令和3,2021,2,13118,荒川区,Arakawa-ku,1063,609,454,299,1063,609,454,299,-,-,-,-
