年次,Year,地域階層,地域コード,地域,District,病院 Hospital／総数 Total,病院 Hospital／精神科病院 Psychiatric hospital,病院 Hospital／一般病院 General hospital,病院 Hospital／(再掲 Relisted)／救急告示病院 Designated emergency hospital,病院 Hospital／(再掲 Relisted)／療養病床を有するもの Hospital with long-term care beds,一般診療所 General  clinic,歯科診療所 Dental clinic,
平成28,2016,0,13000,東京都,Tokyo-to,651,50,601,305,256,13184,10658,
平成29,2017,0,13000,東京都,Tokyo-to,647,50,597,312,252,13257,10632,
平成30,2018,0,13000,東京都,Tokyo-to,647,49,598,311,251,13429,10672,
令和元,2019,0,13000,東京都,Tokyo-to,638,49,589,307,248,13707,10670,
令和2,2020,0,13000,東京都,Tokyo-to,638,50,588,309,237,13889,10642,
令和2,2020,1,13100,区部,All ku,419,12,407,226,148,10720,8283,
令和2,2020,2,13101,千代田区,Chiyoda-ku,15,-,15,5,1,506,332,
令和2,2020,2,13102,中央区,Chuo-ku,4,-,4,1,-,658,455,
令和2,2020,2,13103,港区,Minato-ku,12,-,12,8,-,814,582,
令和2,2020,2,13104,新宿区,Shinjuku-ku,13,-,13,12,1,663,426,
令和2,2020,2,13105,文京区,Bunkyo-ku,10,-,10,7,2,288,253,
令和2,2020,2,13106,台東区,Taito-ku,8,1,7,5,5,251,236,
令和2,2020,2,13107,墨田区,Sumida-ku,13,-,13,8,4,231,195,
令和2,2020,2,13108,江東区,Koto-ku,18,-,18,11,5,419,306,
令和2,2020,2,13109,品川区,Shinagawa-ku,15,-,15,7,5,484,347,
令和2,2020,2,13110,目黒区,Meguro-ku,9,-,9,9,3,326,280,
令和2,2020,2,13111,大田区,Ota-ku,27,1,26,15,12,612,539,
令和2,2020,2,13112,世田谷区,Setagaya-ku,27,-,27,15,10,901,752,
令和2,2020,2,13113,渋谷区,Shibuya-ku,17,-,17,6,6,622,426,
令和2,2020,2,13114,中野区,Nakano-ku,8,-,8,6,4,315,248,
令和2,2020,2,13115,杉並区,Suginami-ku,20,-,20,9,9,511,425,
令和2,2020,2,13116,豊島区,Toshima-ku,14,-,14,12,4,471,312,
令和2,2020,2,13117,北区,Kita-ku,19,2,17,10,6,285,236,
令和2,2020,2,13118,荒川区,Arakawa-ku,12,-,12,4,7,187,130,
令和2,2020,2,13119,板橋区,Itabashi-ku,40,-,40,22,23,385,343,
令和2,2020,2,13120,練馬区,Nerima-ku,18,2,16,7,8,569,451,
令和2,2020,2,13121,足立区,Adachi-ku,57,5,52,27,18,431,373,
令和2,2020,2,13122,葛飾区,Katsushika-ku,22,1,21,9,8,360,274,
令和2,2020,2,13123,江戸川区,Edogawa-ku,21,-,21,11,7,431,362,
令和2,2020,1,13200,市部,All shi,214,38,176,81,86,3112,2326,
令和2,2020,2,13201,八王子市,Hachioji-shi,38,7,31,12,16,379,288,
令和2,2020,2,13202,立川市,Tachikawa-shi,8,-,8,5,3,173,123,
令和2,2020,2,13203,武蔵野市,Musashino-shi,8,-,8,5,3,214,151,
令和2,2020,2,13204,三鷹市,Mitaka-shi,8,1,7,3,3,142,101,
