年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店営業 Eateries,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,菓子製造業 Confectioners,豆腐製造業 Tofu manufacturers,麺類製造業 Noodle manufacturers,そうざい製造業 Prepared food manufacturers,乳類販売業 Dairy product sales,弁当販売業 Bento sales,野菜果物販売業 Vegetable & fruit sales,米穀類販売業 Rice grain sales,コンビニエンスストア Convenience store,百貨店・総合スーパー Department stores and general merchandise supermarkets,集団給食施設 Mass feeding facilities
令和3,2021,0,13000,,東京都,Tokyo-to,192905,10072,9097,22004,390,727,4402,13578,1800,2411,554,6343,2497,5320
令和3,2021,1,13100,,区部,All ku,158102,7837,7071,16581,272,526,3770,9960,1550,1984,394,4807,1666,3556
令和3,2021,2,13101,1,千代田区,Chiyoda-ku,8732,318,231,665,5,29,274,743,221,24,6,289,38,73
令和3,2021,2,13102,2,中央区,Chuo-ku,11003,487,481,911,8,37,523,549,148,89,13,209,49,116
令和3,2021,2,13103,3,港区,Minato-ku,15771,439,201,1332,8,30,764,366,188,46,11,395,70,120
令和3,2021,2,13104,4,新宿区,Shinjuku-ku,14356,368,246,945,10,23,334,442,110,108,30,399,99,196
令和3,2021,2,13105,5,文京区,Bunkyo-ku,3732,155,147,451,6,14,61,319,88,54,13,126,41,112
令和3,2021,2,13106,6,台東区,Taito-ku,7783,264,191,783,11,29,159,212,59,58,27,190,53,88
令和3,2021,2,13107,7,墨田区,Sumida-ku,4777,256,219,525,7,24,78,321,72,71,11,143,54,102
令和3,2021,2,13108,8,江東区,Koto-ku,5907,276,781,771,16,21,131,169,159,175,16,335,79,232
令和3,2021,2,13109,9,品川区,Shinagawa-ku,5745,268,188,569,9,28,142,356,41,61,18,240,64,129
令和3,2021,2,13110,10,目黒区,Meguro-ku,4231,176,130,527,7,10,114,258,23,53,12,118,36,150
令和3,2021,2,13111,11,大田区,Ota-ku,7650,504,546,843,12,32,104,896,83,287,17,294,107,253
令和3,2021,2,13112,12,世田谷区,Setagaya-ku,8902,603,498,1548,20,29,172,823,69,161,31,266,133,326
令和3,2021,2,13113,13,渋谷区,Shibuya-ku,10444,282,172,1074,4,29,190,249,81,60,19,269,81,80
令和3,2021,2,13114,14,中野区,Nakano-ku,3933,137,109,389,12,9,69,127,16,34,16,177,58,112
令和3,2021,2,13115,15,杉並区,Suginami-ku,5771,303,259,757,15,15,84,365,35,85,18,191,70,235
令和3,2021,2,13116,16,豊島区,Toshima-ku,6913,333,260,679,14,26,113,431,43,78,16,226,90,96
令和3,2021,2,13117,17,北区,Kita-ku,4052,256,213,427,21,20,48,331,14,53,13,129,47,115
令和3,2021,2,13118,18,荒川区,Arakawa-ku,2334,161,130,260,9,14,47,200,19,43,15,96,34,94
令和3,2021,2,13119,19,板橋区,Itabashi-ku,4744,573,522,565,11,21,56,835,9,85,12,14,7,32
令和3,2021,2,13120,20,練馬区,Nerima-ku,4663,322,286,676,17,16,59,449,16,76,19,212,129,286
令和3,2021,2,13121,21,足立区,Adachi-ku,6124,541,511,720,21,28,93,655,21,107,17,158,120,224
令和3,2021,2,13122,22,葛飾区,Katsushika-ku,4653,332,284,527,19,24,68,425,20,73,21,150,78,196
令和3,2021,2,13123,23,江戸川区,Edogawa-ku,5882,483,466,637,10,18,87,439,15,103,23,181,129,189
令和3,2021,1,13200,,市部,All shi,33239,2132,1916,5131,113,188,541,3492,241,401,154,1509,807,1704
令和3,2021,2,13201,1,八王子市,Hachioji-shi,4865,313,292,738,11,35,75,512,22,42,23,207,96,254
令和3,2021,2,13202,2,立川市,Tachikawa-shi,2599,135,109,325,5,10,47,208,26,23,15,96,35,77
令和3,2021,2,13203,3,武蔵野市,Musashino-shi,2474,100,86,329,2,3,34,179,22,23,10,73,35,67
令和3,2021,2,13204,4,三鷹市,Mitaka-shi,1064,80,67,199,6,5,20,145,12,20,1,62,32,74
令和3,2021,2,13205,5,青梅市,Ome-shi,1481,83,72,248,7,9,31,114,4,17,8,52,35,69
令和3,2021,2,13206,6,府中市,Fuchu-shi,2134,126,133,316,9,9,34,266,9,21,7,110,40,107
令和3,2021,2,13207,7,昭島市,Akishima-shi,888,71,69,120,2,7,12,122,2,8,5,49,22,36
令和3,2021,2,13208,8,調布市,Chofu-shi,1732,124,111,271,4,20,24,184,22,22,3,84,37,85
令和3,2021,2,13209,9,町田市,Machida-shi,2992,194,176,479,14,10,67,331,40,37,18,136,102,171
令和3,2021,2,13210,10,小金井市,Koganei-shi,803,59,49,178,3,2,18,84,6,12,7,41,18,63
