年度末,End of fiscal year,保有車両数 No. of Vehicles Registered,対人賠償 Bodily Injury Liability／付保台数 No. of Vehicles Insured,対人賠償 Bodily Injury Liability／普及率 Diffusion Rate (%),対物賠償 Property Damage Liability／付保台数 No. of Vehicles Insured,対物賠償 Property Damage Liability／普及率 Diffusion Rate (%),搭乗者傷害 Passengers' Personal Accident／付保台数 No. of Vehicles Insured,搭乗者傷害 Passengers' Personal Accident／普及率 Diffusion Rate (%),車両 Damage to Own Vehicle／付保台数 No. of Vehicles Insured,車両 Damage to Own Vehicle／普及率 Diffusion Rate (%),,,,,,,,,,,,,,,,
平成28,2016,4419010,3448451,78,3461643,78.3,1396074,31.6,1966645,44.5,,,,,,,,,,,,,,,,
平成29,2017,4419478,3459713,78.3,3473813,78.6,1342263,30.4,1980604,44.8,,,,,,,,,,,,,,,,
平成30,2018,4414981,3466752,78.5,3482566,78.9,1315199,29.8,2001111,45.3,,,,,,,,,,,,,,,,
令和元,2019,4409797,3497631,79.3,3513885,79.7,1291449,29.3,2012335,45.6,,,,,,,,,,,,,,,,
令和2,2020,4408196,3466423,78.6,3482444,79,1274047,28.9,2028363,46,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-5  火災及び自動車保険等状況 (2) 自動車保険 ｂ任意自動車保険普及率 (平成28～令和2年度末) 15-5  FIRE AND AUTOMOBILE INSURANCE (2) AUTOMOBILE  INSURANCE b PENETRATION RATE OF VOLUNTARY AUTOMOBILE INSURANCE ( End of Fiscal Years 2016-2020 ),,,,,,,,,,,,,,,,,,,,,,,,,,
注) 保有車両数および付保台数は、原動機付自転車を除く。,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The number of vehicles registered and the number of vehicles insured exclude motorized bicycles.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：損害保険料率算出機構 「自動車保険の概況」 Source: General Insurance Rating Organization of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
