年度,Fiscal year,徴収決定額 Premium decided,収納済額 Premium received,不納欠損額 Deficit from uncollectable accounts,収納未済額 Premium unreceived,雇用保険印紙売上金 Sales of revenue stamps,受給者実人員 Beneficiaries,支給金額 Benefits paid,
平成29,2017,2,2,-,-,"54,990",950,"580,242",
平成30,2018,54,54,-,-,"48,365",846,"530,494",
令和元,2019,0,0,-,-,"48,539",899,"627,446",
令和2,2020,0,0,-,-,"49,120",875,"620,869",
令和3,2021,0,0,-,-,"51,854",863,"571,114",
,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　7  労働 7  LABOR,,,,,,,,,
7-5  雇用保険 (日雇) 徴収及び支給状況 (平成29～令和3年度) 7-5  COLLECTION AND PAYMENT OF  EMPLOYMENT INSURANCE (DAY LABORERS) ( Fiscal Years 2017-2021 ),,,,,,,,,
注) 「受給者実人員」は月平均である。「支給金額」以外の金額については，単位未満を切り捨ててある。,,,,,,,,,
Note: “Beneficiaries” are monthly averages. Other than “Benefits paid”， figures under thousand are rounded down.,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau          ,,,,,,,,,
（単位　金額　千円）(In thousands of yen),,,,,,,,,
