年次及び種類,Year and kind,月末,End of month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／汎用機械工業 General-purpose machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
令和3,2021,2,Feb.,82.9,113.7,121.6,109.2,65.4,98.4,117.9,39.9,22.1,58.9,95.3,73,128.7,69.9,1.9,90,162.1,60.6,109,13.1,109.3,128.1,3.7,135.7
令和3,2021,3,Mar.,81.9,110.2,119.1,109.9,58.1,110.7,93.3,37.6,13.6,59.7,98.5,75.2,127.5,75.9,2.4,93.1,146.7,48.1,112,13.2,109.5,134,15.5,144.3
令和3,2021,4,Apr.,81,105.6,119.5,108,60.3,106.4,103.3,35.5,21.4,60.3,90.9,75.5,126.8,76.9,2.1,87,153.6,57.6,109.6,13.2,106.3,154.5,13.5,135.4
令和3,2021,5,May,80.5,107.3,120.7,107.3,57.1,98.9,99.9,33.9,32.8,56.1,89.8,77.1,127.1,78.5,1.7,92.2,149.9,43.8,111,13,104.3,158.9,11.5,140.8
令和3,2021,6,June,83.1,108.5,122,107,64.8,167.1,99.4,36.2,32.6,53.3,95.8,74.1,127.7,74.8,2.2,92.3,152,75.3,114.6,12.7,104.2,134.4,12.3,155
令和3,2021,7,July,84.6,105.6,126.3,105,61.1,178,108.3,29.1,35.4,51.7,94.5,72.9,128.6,93.9,2.6,96,151.2,52.2,117.7,12.4,103.2,143.1,18.6,168
令和3,2021,8,Aug.,82.3,101.7,127.3,102.8,57.7,198.4,96.9,26,40.3,51,99.1,71.9,125.8,91,3.6,111.4,152.6,46.3,115.7,12.1,103.5,131.9,15.4,162.8
令和3,2021,9,Sept.,78.4,102,129.9,99.7,54.5,187.8,75.7,29.5,39.3,48.5,104.3,69.6,123,76.5,3.8,91.3,162.6,63.1,99.7,12,103.2,135.9,19.6,120.9
令和3,2021,10,Oct.,79.7,100.4,130.5,97.8,60.6,185.9,99.4,31.3,36,43.8,108.4,74.9,124.1,75.7,3.7,87.2,168.7,62.8,89.4,11.9,102.3,141.9,10.9,94.4
令和3,2021,11,Nov.,84.1,103.3,131.5,97.4,74.1,205.3,147.5,30.5,35,42.4,99.4,88.8,121.3,75.8,3.8,84,166.4,63.1,89.3,12,99.6,141.1,10.6,92.9
令和3,2021,12,Dec.,80.3,105.2,130.9,97.3,65.5,195.6,103.5,34.1,30.7,49.7,94.4,79.9,121.4,74,3.2,78.9,160.1,57.9,94.3,11.8,97.5,145.7,10.7,107.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 11   工業 11  MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2　工業指数 (２)　生産者製品在庫指数  (平成27～令和3年) 11-２  INDUSTRIAL INDICES (2)  INDICES OF PRODUCER'S INVENTORY OF FINISHED GOODS  ( 2015-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)  ウェイト………平成 27年の在庫額,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  算   式………固定ウェイトによる加重算術平均式,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)　Weight  ……… Inventory value in 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)　Formula……… Weighted arithmetic mean by fixed weight,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済みである。,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の当該年末値であり，月別の値は当該月末値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Yearly figures are the year-end figures of original monthly indices， and monthly figures are as of the end of the month. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「東京都工業指数年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
(平成 27年平均＝100.0) (2015  Average=100.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
