年度末,End of fiscal year,事業所数 Establishments／総数 Total,事業所数 Establishments／(再掲) (Relisted)／任意適用 Voluntary coverage,事業所数 Establishments／(再掲) (Relisted)／育児休業あり Childcare leave available,被保険者数 Insured persons／総数 Total,被保険者数 Insured persons／男子 Male,被保険者数 Insured persons／女子 Female,被保険者数 Insured persons／(再掲) (Relisted)／任意適用 Voluntary coverage,被保険者数 Insured persons／(再掲) (Relisted)／任意継続 Voluntary continuous coverage,被保険者数 Insured persons／(再掲) (Relisted)／高齢受給者(一般) Elderly recipients (general) ,被保険者数 Insured persons／(再掲) (Relisted)／高齢受給者(一定以上所得者) Elderly recipients (with incomes exceeding set limits),被扶養者数 Number of dependents／総数 Total,被扶養者数 Number of dependents／男子 Male,被扶養者数 Number of dependents／女子 Female,被扶養者数 Number of dependents／(再掲) (Relisted)／義務教育就学前  Under compulsory school age,被扶養者数 Number of dependents／(再掲) (Relisted)／高齢受給者(一般) Elderly recipients (general),被扶養者数 Number of dependents／(再掲) (Relisted)／高齢受給者(一定以上所得者) Elderly recipients (with incomes exceeding set limits),扶養率 Proportion of dependents,標準報酬月額の平均 Average standard monthly remuneration／平均 Average,標準報酬月額の平均 Average standard monthly remuneration／男子 Male,標準報酬月額の平均 Average standard monthly remuneration／女子 Female
令和元,2019,384818,8128,13668,3679167,2014918,1664249,22616,13748,71456,31088,1825404,623418,1201986,336155,39323,5568,49.6,316109,365710,256056
令和2,2020,403299,8559,14422,3737747,2033516,1704231,23581,14124,81947,31091,1830253,629901,1200352,333201,41916,5864,49,312938,360945,255656
令和3,2021,424973,9064,15008,3870166,2084141,1786025,24842,14277,85913,32506,1850346,644491,1205855,334058,41357,6019,47.8,319035,368241,261614
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (1) 全国健康保険協会管掌健康保険 a 適用状況 (令和元～3年度末) 18-8  HEALTH INSURANCE (1) MANAGED BY JAPAN HEALTH INSURANCE ASSOCIATION a COVERAGE ( End of Fiscal Years 2019-2021 ) ,,,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。  ,,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year.,,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会 Source: Japan Health Insurance Association ,,,,,,,,,,,,,,,,,,,,,
（単位　金額　円）(Value in yen),,,,,,,,,,,,,,,,,,,,,
