年次,Year,月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases  by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
平成29,2017,総数,Total,1712,2129114,190,135,197,27,354,160,66,147,43,375,18,1274,139,8,101,33,122,2,-,2,31
平成30,2018,総数,Total,1531,505224,160,135,191,23,287,165,67,111,46,329,17,1120,120,9,92,19,109,11,-,8,43
平成31･令和元,2019,総数,Total,1580,379313,180,133,191,23,288,185,56,129,53,330,12,1175,116,11,106,36,94,6,1,3,32
令和2,2020,総数,Total,1392,239239,130,88,140,19,260,150,71,154,59,310,11,1022,106,6,89,32,108,5,-,5,19
令和3,2021,総数,Total,1126,405147,125,87,107,30,200,131,67,85,45,236,13,779,124,7,84,20,79,6,-,3,24
令和3,2021,1,Jan.,73,9525,10,3,9,2,7,8,4,1,5,21,3,55,6,1,2,3,3,2,-,-,1
令和3,2021,2,Feb.,104,18060,9,5,10,3,31,13,9,6,3,15,-,75,8,1,8,2,8,1,-,1,-
令和3,2021,3,Mar.,123,73172,13,11,9,3,15,14,6,15,4,32,1,89,12,1,8,2,7,-,-,-,4
令和3,2021,4,Apr.,101,22386,11,9,9,3,12,13,4,9,6,23,2,67,13,-,11,3,4,-,-,-,3
令和3,2021,5,May,103,121758,13,8,6,2,20,9,7,9,4,25,-,76,15,1,4,2,4,-,-,-,1
令和3,2021,6,June,102,11388,15,6,13,2,18,15,6,12,6,8,1,71,17,-,5,2,5,1,-,-,1
令和3,2021,7,July,85,14689,9,4,11,1,20,8,3,7,1,20,1,65,6,-,8,1,5,-,-,-,-
令和3,2021,8,Aug.,86,24052,9,6,11,4,17,12,5,4,2,14,2,57,9,2,9,2,2,1,-,-,4
令和3,2021,9,Sept.,92,22484,6,9,10,4,15,8,7,3,4,24,2,56,13,-,9,1,9,-,-,1,3
令和3,2021,10,Oct.,86,10366,7,7,6,1,15,9,3,9,3,26,-,53,7,-,9,2,11,-,-,1,3
令和3,2021,11,Nov.,86,37955,8,10,6,3,14,13,8,4,6,14,-,54,9,-,7,-,13,1,-,-,2
令和3,2021,12,Dec.,85,39312,15,9,7,2,16,9,5,6,1,14,1,61,9,1,4,-,8,-,-,-,2
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 （平成29年～令和3年） 15-10  COMPANY BANKRUPTCIES ( 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画調整課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,,,
