項目階層,項目,Item,平成30年度 Fiscal year 2018／実数 Value,平成30年度 Fiscal year 2018／構成比 Percentage Distribution (%),平成30年度 Fiscal year 2018／対前年度増加率 Percent changes from previous fiscal year (%),令和元年度 Fiscal year 2019／実数 Value,令和元年度 Fiscal year 2019／構成比 Percentage Distribution (%),令和元年度 Fiscal year 2019／対前年度増加率 Percent changes from previous fiscal year (%)
0,都民雇用者報酬,Prefectural compensation of employees,40575.9,49.7,2.6,40635.5,50.4,0.1
1,賃金・俸給,Wages and salaries,32995.8,40.4,2.6,32806.4,40.7,-0.6
1,雇主の社会負担,Employers' social contributions,7580.1,9.3,2.7,7829.1,9.7,3.3
3,雇主の現実社会負担,Employers' actual social contributions,7648.9,9.4,1.7,7826,9.7,2.3
3,雇主の帰属社会負担,Employers' imputed social contributions,-68.8,-0.1,52.3,3.1,0,104.5
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),9390.2,11.5,6.9,8759.1,10.9,-6.7
3,受取,Receivable,9631.8,11.8,6.5,8962.9,11.1,-6.9
3,支払,Payable,241.6,0.3,-5.2,203.8,0.3,-15.6
1,一般政府（地方政府等）,Local government and local social security funds,14.7,0,1931.5,18.7,0,27.1
3,受取,Receivable,132,0.2,3.6,127.3,0.2,-3.6
3,支払,Payable,117.3,0.1,-8.5,108.5,0.1,-7.5
1,家計,Households,9329.7,11.4,6.7,8697.1,10.8,-6.8
2,利子,Interest,1179.4,1.4,8.7,1319.9,1.6,11.9
3,受取,Receivable,1297.8,1.6,7.6,1410,1.7,8.6
3,支払 (消費者負債利子),Payable (consumer debt interest),118.4,0.1,-2.3,90.1,0.1,-24
2,配当 (受取）,Dividends， receivable,3182.3,3.9,22.5,2365.7,2.9,-25.7
2,その他の投資所得 (受取),Other investment income， receivable,2891.8,3.5,2.5,2882.3,3.6,-0.3
2,賃貸料 (受取),Rent， receivable,2076.1,2.5,-7.3,2129.1,2.6,2.6
1,対家計民間非営利団体,Private non-profit institutions serving households,45.8,0.1,5.9,43.3,0.1,-5.4
3,受取,Receivable,51.7,0.1,6.2,48.5,0.1,-6.1
3,支払,Payable,5.9,0,8.5,5.2,0,-11.6
0,企業所得,Entrepreneurial income,31630.4,38.8,-0.5,31241,38.7,-1.2
1,民間法人企業,Private corporations,24225.5,29.7,-0.3,24098.4,29.9,-0.5
1,公的企業,Public corporations,2600,3.2,0,2346,2.9,-9.8
1,個人企業,Private unincorporated enterprises ,4804.8,5.9,-1.3,4796.6,5.9,-0.2
3,農林水産業,Agriculture， forestry and fishing,6.9,0,-45.7,8.4,0,23.1
3,その他の産業 (非農林水・非金融),Others,1888,2.3,-2.8,1884.9,2.3,-0.2
3,持ち家,Imputed service of owner-occupied dwellings,2910,3.6,-0.1,2903.2,3.6,-0.2
0,都民所得（要素費用表示）,Prefectural income (at factor cost),81596.5,100,1.9,80635.6,100,-1.2
0,生産・輸入品に課される税（控除）補助金（地方政府）,Local taxes on production and imports less local government subsidies,3614.8,4.4,3.5,3633.1,4.5,0.5
0,都民所得（第１次所得バランス）,Prefectural income (primary income balance),85211.3,104.4,1.9,84268.8,104.5,-1.1
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS,,,,,,,,
"16-3  都民所得の分配 (名目) (平成30, 令和元年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2018 and 2019 )",,,,,,,,
注） 「地方政府等」は、地方政府と地方社会保障基金である。,,,,,,,,
"Note: “Local governments, etc.” are local governments and local social security funds.",,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
