年度,Fiscal year,予防接種 Vaccination／ジフテリア 百日咳 破傷風混合 Diphtheria-pertussis-tetanus,予防接種 Vaccination／ジフテリア 百日咳 破傷風 急性灰白髄炎混合 Diphtheria-pertussis-tetanus-polio,予防接種 Vaccination／ジフテリア破傷風混合 Diphtheria-tetanus,予防接種 Vaccination／急性灰白髄炎 Polio,予防接種 Vaccination／麻しん風しん Measles and rubella,予防接種 Vaccination／日本脳炎 Japanese encephalitis,予防接種 Vaccination／ヒブ Haemophilus influenza type B,予防接種 Vaccination／小児用肺炎球菌 Pediatric pneumococcal disease,予防接種 Vaccination／ヒトパピローマウイルス感染症  Human papillomavirus infection,予防接種 Vaccination／水痘 Vari-cella (Chickenpox),予防接種 Vaccination／B型肝炎 Hepatitis B,結核予防 Tuberculosis prevention／B.C.G接種 B.C.G vaccination,結核予防 Tuberculosis prevention／エックス線撮影 X-ray examination,保健師家庭訪問延世帯数 Total households visited by public health nurses,栄養相談指導 Nutrition guidance,環境衛生監視 Environmental sanitation inspection,食品衛生 Food sanitation／監視 Inspection,食品衛生 Food sanitation／収去 Sampling 1),狂犬病予防 Rabies prevention／登録犬頭数 (鑑札交付数) Number of registered dogs (Licenses issued) 2),狂犬病予防 Rabies prevention／注射 (済票交付数) Vaccination (Proof of vaccination tags issued),保健所数  Number of public health centers
平成29,2017,…,439982,66673,4845,206745,425155,436316,437248,894,211630,327656,108372,1732386,113403,510294,27330,630321,46864,516306,380028,31
平成30,2018,…,433803,71692,1951,208748,471227,428450,429601,2320,212442,314365,106780,1876984,114190,493729,26105,676161,48199,512220,377960,31
令和元,2019,62,420535,71917,376,205679,451713,406340,416289,5157,205399,305844,103609,1946440,113665,427869,26643,599587,47971,510902,373678,31
令和2,2020,41,411931,85083,158,207667,461401,413361,405165,21869,209043,298668,102378,1627710,133391,157771,19300,499384,36610,510511,368103,31
令和3,2021,37,379874,75295,118,196842,260895,378222,377738,65213,186500,280783,93527,1385188,95319,215393,17463,348274,41055,519234,379711,31
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,
19-5  地域保健活動 (2) 予防接種等 (平成29～令和3年度) 19-5  LOCAL PUBLIC HEALTH CARE ACTIVITIES (2) VACCINATIONS， etc. ( Fiscal Years 2017-2021 )　,,,,,,,,,,,,,,,,,,,,,,
注 1) 食品機動監視班等によるもの ,,,,,,,,,,,,,,,,,,,,,,
2) 狂犬病予防の登録犬頭数は，各年度3月31日現在,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Conducted by the TMG's food inspection team， etc. ,,,,,,,,,,,,,,,,,,,,,,
2) The number of dogs registered for rabies prevention as of March 31 of each year.,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of  Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,
