年度,Fiscal year,地域階層,地域コード,地域,District,ポンプ所揚水量 Water pumped at pumping station／総数 Total 1) (1000m3),ポンプ所揚水量 Water pumped at pumping station／中継送水量 Water relayed (1000m3),ポンプ所揚水量 Water pumped at pumping station／放水量 Water discharged (1000m3),下水処理量 Treated sewage (1000m3),汚泥量 Sludge (1000m3),脱水汚泥量 Dehydrated sludge (t),汚泥焼却量 Incinerated sludge (t),処理区域面積 Sewage treatment area (ha)
令和元,2019,0,,総数,Total,833856,732737,96386,2085635,73210,1231173,1192894,97763
令和2,2020,0,,総数,Total,759074,692043,63681,1993632,71938,1163464,1126530,98260
令和3,2021,0,,総数,Total,804920,709472,92108,2035977,72648,1153724,1124637,98398
令和3,2021,1,13100,区部,All ku,802968,707520,92108,1668878,61071,877621,848540,56234
令和3,2021,1,,流域下水道,Regional sewerage system,1952,1952,-,367099,11577,276103,276097,42164
,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,
6-8  下水の処理状況（令和元～3年度） 6-8  SEWAGE TREATMENT ( Fiscal Years 2019-2021 ),,,,,,,,,,,,,
この表は都下水道局の事業実績である。,,,,,,,,,,,,,
Data here are business figures of the Bureau of Sewerage， TMG.,,,,,,,,,,,,,
注 1) 総数には，雨水貯留量も含む。               ,,,,,,,,,,,,,
2) 流域下水道「野川処理区」の下水は，森ヶ崎水再生センター（区部）へ導入している。,,,,,,,,,,,,,
Note: 1) Includes volume of stored rainwater.　,,,,,,,,,,,,,
"2) Sewage of the regional sewerage system ""Nogawa treatment district"" is sent to Morigasaki Water Reclamation Center (all ku).",,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課 Source: Bureau of Sewerage， TMG      ,,,,,,,,,,,,,
地域階層（0:総数　1:区部・流域下水道）,,,,,,,,,,,,,
