年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成30,2018,0,13000,,東京都,Tokyo-to,4413965,4138509,3381330,102120,89292,564083,1684,246332,29122,3505288,801653,307852,973138,81450,81450
令和元,2019,0,13000,,東京都,Tokyo-to,4439794,4169472,3403442,94651,96985,572666,1728,236807,33513,3533685,813222,303202,1024703,79496,79496
令和2,2020,0,13000,,東京都,Tokyo-to,4280679,4022935,3187197,98579,108809,626423,1927,221201,36542,3350292,875849,251449,1076084,77016,77016
令和2,2020,1,13100,,区部,All ku　,3122551,2927255,2450184,37574,72055,367442,-,158754,36542,2544820,522341,247227,643921,15240,15240
令和2,2020,2,13101,1,千代田区,Chiyoda-ku ,21131,20112,14464,563,578,4507,-,1019,-,…,…,…,…,…,…
令和2,2020,2,13102,2,中央区,Chuo-ku,49596,43451,33092,-,1908,8450,-,4678,1467,…,…,…,…,…,…
令和2,2020,2,13103,3,港区,Minato-ku ,77476,70950,50876,1431,2056,16586,-,5423,1103,…,…,…,…,…,…
令和2,2020,2,13104,4,新宿区,Shinjuku-ku,92478,86572,66349,1670,2911,15642,-,5261,645,…,…,…,…,…,…
令和2,2020,2,13105,5,文京区,Bunkyo-ku ,58421,53931,41348,1508,1337,9738,-,4007,484,…,…,…,…,…,…
令和2,2020,2,13106,6,台東区,Taito-ku ,55038,49334,39454,603,1689,7588,-,4324,1380,…,…,…,…,…,…
令和2,2020,2,13107,7,墨田区,Sumida-ku,69231,64810,51758,1643,2552,8857,-,4333,87,…,…,…,…,…,…
令和2,2020,2,13108,8,江東区,Koto-ku,127762,112271,91022,-,3568,17681,-,11890,3600,…,…,…,…,…,…
令和2,2020,2,13109,9,品川区,Shinagawa-ku,103176,94774,70458,2805,3816,17694,-,7735,666,…,…,…,…,…,…
令和2,2020,2,13110,10,目黒区,Meguro-ku,75430,63755,50814,2354,3052,7535,-,11590,84,…,…,…,…,…,…
令和2,2020,2,13111,11,大田区,Ota-ku,176272,162612,128704,2812,4754,26342,-,10973,2687,…,…,…,…,…,…
令和2,2020,2,13112,12,世田谷区,Setagaya-ku,233758,224878,169931,4804,8298,41845,-,6603,2277,…,…,…,…,…,…
令和2,2020,2,13113,13,渋谷区,Shibuya-ku,67310,65230,48695,1995,1741,12799,-,2080,-,…,…,…,…,…,…
令和2,2020,2,13114,14,中野区,Nakano-ku ,81282,66184,55798,236,2340,7810,-,12690,2407,…,…,…,…,…,…
令和2,2020,2,13115,15,杉並区,Suginami-ku,139692,133526,94245,3055,3773,32454,-,4666,1500,…,…,…,…,…,…
令和2,2020,2,13116,16,豊島区,Toshima-ku,70780,66545,52503,277,2484,11281,-,2615,1620,…,…,…,…,…,…
令和2,2020,2,13117,17,北区,Kita-ku,86353,78760,64402,192,2002,12163,-,5105,2488,…,…,…,…,…,…
令和2,2020,2,13118,18,荒川区,Arakawa-ku,53833,42411,40808,189,1267,148,-,9792,1630,…,…,…,…,…,…
令和2,2020,2,13119,19,板橋区,Itabashi-ku,137900,121725,103621,-,3703,14401,-,12223,3951,…,…,…,…,…,…
令和2,2020,2,13120,20,練馬区,Nerima-ku,176798,166463,123586,5425,5476,31976,-,9258,1077,…,…,…,…,…,…
令和2,2020,2,13121,21,足立区,Adachi-ku,167009,153250,129650,351,3872,19377,-,8478,5281,…,…,…,…,…,…
令和2,2020,2,13122,22,葛飾区,Katsushika-ku,113112,107418,81705,2991,3468,19255,-,5352,342,…,…,…,…,…,…
令和2,2020,2,13123,23,江戸川区,Edogawa-ku,165428,155005,123616,2669,5407,23312,-,8655,1767,…,…,…,…,…,…
令和2,2020,,,,継続持込,Carried by enterprise,723287,723287,723287,-,-,-,-,-,-,…,…,…,…,…,…
令和2,2020,1,13200,,市部,All shi,1124577,1062736,713371,59502,34260,253745,1858,61840,-,780414,344846,1088,424360,33900,33900
令和2,2020,2,13201,1,八王子市,Hachioji-shi,157534,151573,109081,5684,2995,33440,373,5961,-,116247,41364,-,54717,6608,6608
令和2,2020,2,13202,2,立川市,Tachikawa-shi,45308,42766,25956,2645,1380,12715,70,2542,-,29276,16420,-,19801,324,324
令和2,2020,2,13203,3,武蔵野市,Musashino-shi,43160,40706,26733,1273,1749,10849,102,2454,-,29009,13973,-,16957,203,203
令和2,2020,2,13204,4,三鷹市,Mitaka-shi,49471,47145,29224,1745,2040,14076,60,2326,-,33531,16944,-,19423,164,164
令和2,2020,2,13205,5,青梅市,Ome-shi,40571,38156,27142,1125,1756,8031,102,2415,-,29366,11014,-,13798,3659,3659
