地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 General injuries,自損行為 Self-inflicted injuries,加害 Assault,急病 Acute illness,転院搬送 Transported to a different hospital,医師搬送 Doctor transport,資器材等輸送 Transport of equipment， etc.,その他 Other responses
0,13000,,総数,Tokyo-to,,743703,39614,3249,3495,19,583,4616,130625,5865,4909,497198,42345,189,558,10438
1,13100,,区部,All ku,,542324,28302,2303,2235,10,427,3485,94298,4197,3918,363980,30796,129,440,7804
2,13101,1,千代田区,Chiyoda-ku,,9657,638,54,30,-,1,140,1792,56,77,6167,570,-,10,122
2,13102,2,中央区,Chuo-ku,,11560,700,52,22,-,21,144,1953,57,77,7393,988,-,-,153
2,13103,3,港区,Minato-ku,,18748,1059,131,80,-,6,205,3304,105,242,12450,878,2,6,280
2,13104,4,新宿区,Shinjuku-ku,,29765,1273,163,117,-,5,206,4875,353,494,20047,1555,-,8,669
2,13105,5,文京区,Bunkyo-ku,,11425,567,43,76,1,1,73,1979,68,58,6798,1598,1,4,158
2,13106,6,台東区,Taito-ku,,16340,824,70,42,-,9,94,2970,109,207,11129,621,-,-,265
2,13107,7,墨田区,Sumida-ku,,16375,840,70,49,-,17,104,2741,106,99,10522,1612,-,10,205
2,13108,8,江東区,Koto-ku,,28163,1598,95,191,-,38,295,4663,185,162,18952,1465,91,10,418
2,13109,9,品川区,Shinagawa-ku ,,20339,1013,100,83,1,12,164,3726,110,95,13661,1097,1,3,273
2,13110,10,目黒区,Meguro-ku,,13367,708,73,56,-,4,86,2545,89,67,8798,752,-,16,173
2,13111,11,大田区,Ota-ku ,,38446,2099,140,153,2,39,308,6935,258,203,25772,2042,11,14,470
2,13112,12,世田谷区,Setagaya-ku,,41962,2324,199,294,-,16,212,7597,316,238,27738,2347,3,115,563
2,13113,13,渋谷区,Shibuya-ku,,17328,973,93,72,-,8,180,2979,116,207,11557,835,15,15,278
2,13114,14,中野区,Nakano-ku,,18116,719,78,47,1,7,66,3026,155,128,12818,790,-,11,270
2,13115,15,杉並区,Suginami-ku,,25904,1429,108,128,1,24,131,4925,218,152,17281,971,2,86,448
2,13116,16,豊島区,Toshima-ku,,18872,804,100,73,1,10,121,3188,172,195,13057,854,-,5,292
2,13117,17,北区,Kita-ku,,20988,807,88,63,-,17,97,3679,166,110,14468,1233,-,7,253
2,13118,18,荒川区,Arakawa-ku ,,12625,524,39,32,-,14,59,2169,105,74,8408,1010,-,34,157
2,13119,19,板橋区,Itabashi-ku,,31434,1575,117,113,-,26,136,5308,244,146,21494,1788,-,28,459
2,13120,20,練馬区,Nerima-ku,,35595,1861,109,126,2,21,134,6154,358,186,24459,1711,-,14,460
2,13121,21,足立区,Adachi-ku,,42443,2522,154,150,1,38,240,7008,345,288,28190,2919,1,26,561
2,13122,22,葛飾区,Katsushika-ku,,26852,1464,95,99,-,33,128,4568,210,158,17950,1815,1,11,320
2,13123,23,江戸川区,Edogawa-ku ,,36020,1981,132,139,-,60,162,6214,296,255,24871,1345,1,7,557
3,,,消防事務受託地区,Entrusted districts,,201145,11280,944,1260,9,152,1131,36326,1667,991,133214,11386,34,118,2633
3,,,その他,Others,※,234,32,2,-,-,4,-,1,1,-,4,163,26,-,1
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （令和3年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2021 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区･その他),,,,,,,,,,,,,,,,,,,,
