年度,Fiscal year,総数 Total／件数 Cases,総数 Total／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／計 Total／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／計 Total／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／入院 Inpatient care／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／入院 Inpatient care／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／入院外 Outpatient care／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／入院外 Outpatient care／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／歯科 Dental／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／歯科 Dental／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／調剤 Prescription drugs／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／調剤 Prescription drugs／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／食事療養 Meals／件数 Cases 1),総数 Total／療養の給付 Medical treatment benefits／食事療養 Meals／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／訪問看護 Home-visit nursing care／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／訪問看護 Home-visit nursing care／金額 Amount,総数 Total／療養費等 Medical treatment expenses， etc.／計 Total／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／計 Total／金額 Amount,総数 Total／療養費等 Medical treatment expenses， etc.／診療費 Consultation fees／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／診療費 Consultation fees／金額 Amount,総数 Total／療養費等 Medical treatment expenses， etc.／食事療養 Meals／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／食事療養 Meals／金額 Amount 2),総数 Total／療養費等 Medical treatment expenses， etc.／移送費 Transfer expenses／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／移送費 Transfer expenses／金額 Amount,総数 Total／療養費等 Medical treatment expenses， etc.／その他 Others／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／その他 Others／金額 Amount,高額療養費 High-cost medical treatment expenses／件数 Cases,高額療養費 High-cost medical treatment expenses／金額 Amount,公営 Public／件数 Cases,公営 Public／金額 Amount,組合 National health insurance association／件数 Cases,組合 National health insurance association／金額 Amount
平成30,2018,66092376,1237223279,64000771,1217441977,697864,398751187,32424609,453875407,8293744,101620642,22445764,237705834,653935,15896062,138790,9592845,2091605,19781302,54212,1043640,1520,-,32,9194,2035841,18728468,1887572,113841889,49834403,985858709,16257973,251364569
令和元,2019,64466922,1230239426,62474581,1211538320,677483,396603334,31492643,451477673,8242469,99883256,21906922,237052162,635654,15575229,155064,10946666,1992341,18701106,56855,1202912,850,-,32,1969,1934604,17496225,1917175,115601639,48336611,976007176,16130311,254232250
令和2,2020,56736194,1164700813,55100358,1148773176,635125,376208768,27592602,423762198,7227973,94297958,19472393,227249914,570425,14645792,172265,12608546,1635836,15927637,53065,1115422,946,-,33,2674,1581792,14809541,1954181,114494791,42406011,923404327,14330183,241296486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (2) 国民健康保険 b 給付決定状況 (療養諸費) (平成30～令和2年度) 18-8  HEALTH INSURANCE (2) NATIONAL HEALTH INSURANCE  b BENEFIT PAYMENTS  ( Medical Treatment Related Expenses ) ( Fiscal Years 2018-2020 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 入院の食事療養に係る件数の再掲である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 「療養費等」の食事療養の金額については，「療養の給付」の食事療養に計上されている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1）Figures in parentheses are a relisting of inpatients receiving meal benefits.　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) The meal expenses of ""medical treatment expenses， etc."" are tabulated under the meals of ""medical treatment benefits.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　金額　千円） (Value in thousands of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
