年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神病床 Psychiatric ,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成27,2015,0,13000,東京都,Tokyo-to,128166,22494,145,510,23524,81493,37267796,1650070,52441970
平成28,2016,0,13000,東京都,Tokyo-to,128351,22412,145,510,23921,81363,37419053,1679734,52349529
平成29,2017,0,13000,東京都,Tokyo-to,128279,22279,145,505,24070,81280,37445832,1695933,51746300
平成30,2018,0,13000,東京都,Tokyo-to,128189,22231,145,501,23965,81347,37427425,1717409,51235645
令和元,2019,0,13000,東京都,Tokyo-to,127422,21967,145,495,23892,80923,37457034,1725836,50844860
令和2,2020,0,13000,東京都,Tokyo-to,125867,21673,145,449,22347,81253,34793569,1519988,43678092
令和2,2020,1,13100,区部,All ku,78817,6506,99,116,12705,59391,20993732,1125962,33113950
令和2,2020,2,13101,千代田区,Chiyoda-ku,2271,27,-,-,50,2194,516254,47237,1613618
令和2,2020,2,13102,中央区,Chuo-ku,1186,-,-,-,-,1186,353576,33600,903445
令和2,2020,2,13103,港区,Minato-ku,3838,49,-,2,-,3787,850366,74904,2624095
令和2,2020,2,13104,新宿区,Shinjuku-ku,5558,119,4,22,25,5388,1380212,110580,3390160
令和2,2020,2,13105,文京区,Bunkyo-ku,5192,131,30,-,118,4913,1313111,108173,3295909
令和2,2020,2,13106,台東区,Taito-ku,1078,85,-,-,297,696,251019,8826,355375
令和2,2020,2,13107,墨田区,Sumida-ku,2393,36,10,-,134,2213,598073,39998,954164
令和2,2020,2,13108,江東区,Koto-ku,3284,129,-,-,532,2623,885317,47580,1409795
令和2,2020,2,13109,品川区,Shinagawa-ku,2848,50,-,-,513,2285,785101,54018,1239952
令和2,2020,2,13110,目黒区,Meguro-ku,2223,48,-,-,119,2056,561214,42626,1010525
令和2,2020,2,13111,大田区,Ota-ku,4896,128,20,-,873,3875,1269961,69505,2275542
令和2,2020,2,13112,世田谷区,Setagaya-ku,5726,1204,10,20,1050,3442,1417711,54436,1520319
令和2,2020,2,13113,渋谷区,Shibuya-ku,3042,30,-,2,964,2046,781274,40941,1361061
令和2,2020,2,13114,中野区,Nakano-ku,1694,-,-,-,310,1384,423246,22038,652648
令和2,2020,2,13115,杉並区,Suginami-ku,2723,-,-,-,928,1795,789314,36706,864765
令和2,2020,2,13116,豊島区,Toshima-ku,1647,-,-,-,337,1310,430011,16716,458060
令和2,2020,2,13117,北区,Kita-ku,2593,202,-,-,496,1895,773243,28124,967035
令和2,2020,2,13118,荒川区,Arakawa-ku,1429,-,-,-,350,1079,399722,18588,487010
令和2,2020,2,13119,板橋区,Itabashi-ku,9720,1895,20,12,2425,5368,2786980,99543,2681385
令和2,2020,2,13120,練馬区,Nerima-ku,3039,976,-,-,716,1347,899441,32795,954525
令和2,2020,2,13121,足立区,Adachi-ku,6864,1180,-,-,1477,4207,1988056,53397,1723362
令和2,2020,2,13122,葛飾区,Katsushika-ku,2757,217,5,36,373,2126,785464,39333,1203300
令和2,2020,2,13123,江戸川区,Edogawa-ku,2816,-,-,22,618,2176,755066,46298,1167900
令和2,2020,1,13200,市部,All shi,46563,15107,44,333,9368,21711,13654643,392182,10483922
令和2,2020,2,13201,八王子市,Hachioji-shi,8051,3785,8,-,1633,2625,2526995,57553,1490281
令和2,2020,2,13202,立川市,Tachikawa-shi,1587,38,6,-,166,1377,446057,31781,599045
令和2,2020,2,13203,武蔵野市,Musashino-shi,1121,-,20,-,128,973,330575,23083,489062
令和2,2020,2,13204,三鷹市,Mitaka-shi,2903,1223,-,-,227,1453,844510,30193,838631
令和2,2020,2,13205,青梅市,Ome-shi,4555,2442,4,-,1430,679,1375496,14172,434320
令和2,2020,2,13206,府中市,Fuchu-shi,3517,850,-,60,240,2367,951446,49184,907597
令和2,2020,2,13207,昭島市,Akishima-shi,1788,258,-,30,495,1005,478772,12974,399880
令和2,2020,2,13208,調布市,Chofu-shi,1551,771,-,-,279,501,438405,7520,324437
令和2,2020,2,13209,町田市,Machida-shi,3976,1502,-,-,895,1579,1253170,24083,817964
令和2,2020,2,13210,小金井市,Koganei-shi,1140,508,-,-,384,248,360564,4286,127924
令和2,2020,2,13211,小平市,Kodaira-shi,2309,699,6,-,561,1043,693708,20857,514381
令和2,2020,2,13212,日野市,Hino-shi,1210,346,-,-,416,448,373348,7668,246520
令和2,2020,2,13213,東村山市,Higashimurayama-shi,2247,670,-,8,318,1251,588147,13328,438633
令和2,2020,2,13214,国分寺市,Kokubunji-shi,251,-,-,-,209,42,81983,955,25102
令和2,2020,2,13215,国立市,Kunitachi-shi,66,-,-,-,-,66,17398,1955,79467
令和2,2020,2,13218,福生市,Fussa-shi,688,-,-,-,96,592,169174,7597,226379
令和2,2020,2,13219,狛江市,Komae-shi,717,20,-,27,136,534,180599,10027,334404
令和2,2020,2,13220,東大和市,Higashiyamato-shi,412,-,-,-,-,412,120759,6359,83748
令和2,2020,2,13221,清瀬市,Kiyose-shi,2047,255,-,208,634,950,565367,12089,359368
令和2,2020,2,13222,東久留米市,Higashikurume-shi,330,183,-,-,-,147,102081,3531,167866
令和2,2020,2,13223,武蔵村山市,Musashimurayama-shi,839,-,-,-,216,623,247133,8783,302034
令和2,2020,2,13224,多摩市,Tama-shi,2221,816,-,-,250,1155,638397,19837,450194
令和2,2020,2,13225,稲城市,Inagi-shi,911,302,-,-,319,290,254260,5678,133975
令和2,2020,2,13227,羽村市,Hamura-shi,246,-,-,-,186,60,81353,419,12596
令和2,2020,2,13228,あきる野市,Akiruno-shi,578,113,-,-,100,365,152393,5001,201672
令和2,2020,2,13229,西東京市,Nishitokyo-shi,1302,326,-,-,50,926,382553,13269,478442
令和2,2020,1,13300,郡部,All gun,433,60,-,-,274,99,136605,1272,31878
令和2,2020,2,13303,瑞穂町,Mizuho-machi,120,-,-,-,120,-,41605,230,5261
令和2,2020,2,13305,日の出町,Hinode-machi,270,60,-,-,154,56,90222,815,14984
令和2,2020,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
令和2,2020,2,13308,奥多摩町,Okutama-machi,43,-,-,-,-,43,4778,227,11633
令和2,2020,1,13350,島部,All islands,54,-,2,-,-,52,8589,572,48342
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-3  種類別病床数及び患者延数 (平成28～令和2年度) 19-3  NUMBER OF BEDS AND PATIENTS BY TYPE OF CARE ( Fiscal Years 2016-2020 ),,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
