年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成28,2016,0,13000,東京都,Tokyo-to,232042,203562,206968,10260,41900,198906,5,5561,572,293066
平成29,2017,0,13000,東京都,Tokyo-to,232949,204021,208090,9578,44342,200759,6,5464,566,291644
平成30,2018,0,13000,東京都,Tokyo-to,232496,202499,207880,8878,45884,200510,4,5163,624,288618
令和元,2019,0,13000,東京都,Tokyo-to,231697,200625,207129,8246,47542,201819,5,4823,658,285391
令和2,2020,0,13000,東京都,Tokyo-to,231610,200512,207410,7647,48777,202093,6,4421,715,282699
令和2,2020,1,13100,区部,All ku,172839,150391,155686,5235,36940,152114,4,3062,570,207982
令和2,2020,2,13101,千代田区,Chiyoda-ku,577,453,447,5,121,513,-,3,2,619
令和2,2020,2,13102,中央区,Chuo-ku,1029,837,871,19,219,851,-,12,4,1155
令和2,2020,2,13103,港区,Minato-ku,1727,1490,1495,38,456,1480,0,29,3,1995
令和2,2020,2,13104,新宿区,Shinjuku-ku,8908,7785,7729,151,1523,7308,1,67,32,10058
令和2,2020,2,13105,文京区,Bunkyo-ku,1921,1618,1690,19,495,1583,0,11,6,2124
令和2,2020,2,13106,台東区,Taito-ku,7611,6597,6664,72,1388,6114,-,41,33,8175
令和2,2020,2,13107,墨田区,Sumida-ku,6381,5768,5865,201,1650,6035,0,119,29,7699
令和2,2020,2,13108,江東区,Koto-ku,7684,6812,6940,232,1828,6740,0,153,31,9436
令和2,2020,2,13109,品川区,Shinagawa-ku,4561,3817,4077,85,1092,4195,-,57,13,5239
令和2,2020,2,13110,目黒区,Meguro-ku,2400,2043,2077,35,568,2227,-,18,3,2729
令和2,2020,2,13111,大田区,Ota-ku,13284,11313,12140,407,3009,12474,0,249,54,15895
令和2,2020,2,13112,世田谷区,Setagaya-ku,8844,7526,7982,179,1859,6585,-,112,26,10238
令和2,2020,2,13113,渋谷区,Shibuya-ku,2693,2334,2365,37,577,2109,-,23,4,2966
令和2,2020,2,13114,中野区,Nakano-ku,6867,6022,6205,96,1205,5062,-,65,27,7673
令和2,2020,2,13115,杉並区,Suginami-ku,6429,5625,5859,104,1258,5944,-,60,6,7235
令和2,2020,2,13116,豊島区,Toshima-ku,6039,5176,5364,61,1170,5604,0,38,8,6636
令和2,2020,2,13117,北区,Kita-ku,7667,6586,6955,137,1940,6713,0,119,31,9045
令和2,2020,2,13118,荒川区,Arakawa-ku,5167,4565,4674,142,1116,4414,0,93,24,6074
令和2,2020,2,13119,板橋区,Itabashi-ku,14369,12191,12978,599,2674,11715,1,364,48,18118
令和2,2020,2,13120,練馬区,Nerima-ku,13382,11858,12190,506,2874,12944,0,336,25,16850
令和2,2020,2,13121,足立区,Adachi-ku,18989,16952,16936,821,4492,17940,1,391,68,24312
令和2,2020,2,13122,葛飾区,Katsushika-ku,10715,9094,9607,441,2442,8866,0,214,32,13481
令和2,2020,2,13123,江戸川区,Edogawa-ku,15595,13933,14576,850,2986,14698,0,489,60,20231
令和2,2020,1,13200,市部,All shi,57627,49190,50909,2376,11537,48966,1,1338,143,73235
令和2,2020,2,13201,八王子市,Hachioji-shi,7480,6257,6387,258,1434,5810,0,163,20,9412
令和2,2020,2,13202,立川市,Tachikawa-shi,3885,3358,3534,141,855,3550,0,79,12,4906
令和2,2020,2,13203,武蔵野市,Musashino-shi,1664,1488,1482,36,279,1581,-,19,5,1882
令和2,2020,2,13204,三鷹市,Mitaka-shi,2537,2160,2259,62,525,2382,-,44,4,3041
令和2,2020,2,13205,青梅市,Ome-shi,2173,1725,1788,136,344,1586,0,65,4,2923
令和2,2020,2,13206,府中市,Fuchu-shi,4108,3636,3696,215,773,3884,0,117,15,5260
令和2,2020,2,13207,昭島市,Akishima-shi,1738,1428,1477,73,453,1499,-,26,9,2175
令和2,2020,2,13208,調布市,Chofu-shi,2617,2208,2323,56,517,2445,-,26,3,3135
令和2,2020,2,13209,町田市,Machida-shi,5795,4909,5241,319,1162,4590,-,192,16,7728
令和2,2020,2,13210,小金井市,Koganei-shi,1594,1344,1410,24,254,1160,0,13,1,1776
令和2,2020,2,13211,小平市,Kodaira-shi,2382,2099,2122,106,499,2300,0,65,8,3044
令和2,2020,2,13212,日野市,Hino-shi,2149,1895,1875,83,426,1943,0,60,5,2743
令和2,2020,2,13213,東村山市,Higashimurayama-shi,2494,2108,2155,101,511,1835,-,67,6,3189
令和2,2020,2,13214,国分寺市,Kokubunji-shi,983,828,852,39,177,751,-,13,3,1176
令和2,2020,2,13215,国立市,Kunitachi-shi,931,812,845,39,173,825,-,14,2,1169
令和2,2020,2,13218,福生市,Fussa-shi,912,2726,2848,136,626,2660,0,89,4,1118
令和2,2020,2,13219,狛江市,Komae-shi,1016,766,812,32,228,836,-,15,2,1167
令和2,2020,2,13220,東大和市,Higashiyamato-shi,1368,895,937,17,241,911,-,10,1,1876
令和2,2020,2,13221,清瀬市,Kiyose-shi,1635,1180,1204,81,295,1171,0,43,2,2163
令和2,2020,2,13222,東久留米市,Higashikurume-shi,1704,1429,1483,70,388,1479,0,49,6,2224
