地域,District,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,平成27年 2015,平成28年 2016,平成29年 2017,平成30年 2018,平成31・令和元年 2019,令和2年 2020,令和3年 2021
総数,Total,525,512,488,471,440,461,443,433,425,410,380,368,349,325,311
区部,All ku,43,41,39,39,37,39,40,38,37,36,34,32,31,28,27
多摩地区,Tama area,482,471,449,433,404,423,403,395,388,374,346,336,318,297,283
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,
19-13  地下水揚水量の推移 (平成19～令和3年) 19-13  CHANGES IN QUANTITY OF PUMPED UNDERGROUND WATER ( 2007-2021 ）,,,,,,,,,,,,,,,,
注 1) 条例で定める揚水施設（原則，動力を用いる全て。ただし，平成28年6月30日以前に設置された揚水施設は出力が300ワットを超える）が対象。,,,,,,,,,,,,,,,,
2) 一日平均地下水揚水量は，年間の地下水揚水量を暦日数で割った値。,,,,,,,,,,,,,,,,
Note: 1) In principle， figures cover all powered groundwater pumping facilities regulated by Tokyo metropolitan ordinance (for pumping systems installed prior to June 30， 2016， only those with a power output exceeding 300 Watts are included.),,,,,,,,,,,,,,,,
2) The average daily amount of underground water pumped is calculated by dividing the yearly amount of pumped groundwater by the number of days in that year.,,,,,,,,,,,,,,,,
資料：都環境局自然環境部水環境課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,,
 (単位  千m3／日）(Unit: 1000m3/day),,,,,,,,,,,,,,,,
