地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,海事職 Maritime services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職海事職 Firefighting and maritime services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13300,郡部,All gun,566,464,41,-,5,7,27,-,-,6,13,3,-
1,13303,瑞穂町,Mizuho-machi,225,193,18,-,-,-,5,-,-,6,1,2,-
1,13305,日の出町,Hinode-machi,157,138,13,-,-,-,-,-,-,-,5,1,-
1,13307,檜原村,Hinohara-mura,59,44,4,-,1,2,6,-,-,-,2,-,-
1,13308,奥多摩町,Okutama-machi,125,89,6,-,4,5,16,-,-,-,5,-,-
0,13350,島部,All islands,943,507,36,5,13,24,67,96,66,96,33,-,-
1,13361,大島町,Oshima-machi,166,101,8,-,-,1,5,21,23,6,1,-,-
1,13362,利島村,Toshima-mura,25,15,-,-,1,-,2,4,-,3,-,-,-
1,13363,新島村,Niijima-mura,120,76,4,5,1,7,12,10,-,-,5,-,-
1,13364,神津島村,Kozushima-mura,79,58,4,-,1,3,9,4,-,-,-,-,-
1,13381,三宅村,Miyake-mura,115,63,4,-,2,4,12,6,16,8,-,-,-
1,13382,御蔵島村,Mikurajima-mura,20,9,1,-,1,-,2,-,-,1,6,-,-
1,13401,八丈町,Hachijo-machi,268,103,11,-,-,2,6,31,27,78,10,-,-
1,13402,青ヶ島村,Aogashima-mura,25,14,-,-,1,-,1,3,-,-,6,-,-
1,13421,小笠原村,Ogasawara-mura,125,68,4,-,6,7,18,17,-,-,5,-,-
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,,
22-5  職員数 (4) 町村 (令和3年4月1日) 22-5  GOVERNMENT EMPLOYEES (4) MACHI AND MURA ( Apr. 1， 2021 ),,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
地域階層（0:郡部・島部　1:区市町村）,,,,,,,,,,,,,,,,
