年,月,日,Month,Day,Year,回数 N-th time,人口 Population 1),選挙当日有権者数 Eligible voters as of election day,投票者数 Voters,議員定数 Number of seats,議員1人当たり人口 Population per representative,議員1人当たり有権者数 Eligible voters per representative,投票率 Voter turnout (%)
平成22,7,11,July,11,2010,22,13061958,10620508,6234137,5,2612392,2124102,58.7
平成25,7,21,July,21,2013,23,13184153,10777333,5767098,5,2636831,2155467,53.51
平成28,7,10,July,10,2016,24,13502271,11157991,6415554,6,2250379,1859665,57.5
令和元,7,21,July,21,2019,25,13813464,11396789,5900049,6,2302244,1899465,51.77
令和4,7,10,July,10,2022,26,14036078,11454822,6477709,6,2339346,1909137,56.55
,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,
22-2  選挙別人口，有権者数及び投票率 (2) 参議院 (東京都選出) 議員選挙 (平成22～令和4年) 22-2  POPULATION， ELECTORATE， AND VOTER TURNOUT BY ELECTION (2) ELECTION OF MEMBERS OF THE HOUSE OF COUNCILLORS (TOKYO CONSTITUENCY)  ( 2010-2022 ),,,,,,,,,,,,,
公職選挙法の改正により，平成28年6月19日の後行われる選挙から，選挙権年齢が満18歳以上に引き下げされた。 ,,,,,,,,,,,,,
With the amendment of the Public Offices Election Act， the minimum voting age was lowered to 18 for elections after June 19， 2016.,,,,,,,,,,,,,
注1) 人口は，住民基本台帳人口である。,,,,,,,,,,,,,
Note: 1) Population data from the Basic Resident Register.,,,,,,,,,,,,,
資料：都選挙管理委員会事務局選挙課 Source: Tokyo Metropolitan Election Administration Commission,,,,,,,,,,,,,
