男女別階層,男女,Gender,年齢別階層,年齢(歳),Age(years old),総数 Total,脳血管疾患 Cerebro-vascular disease,悪性新生物〈腫瘍〉Malignant neoplasm,心疾患 Heart disease,肺炎 Pneumonia ,肝疾患 Liver disease,老衰 Senility,不慮の事故 Unforeseen accident,自殺 Suicide,その他の全死因 All other causes of death
0,総数 ,Total,0,総数,Total,127649,8913,35508,19002,5865,1938,13951,2830,2135,37507
0,総数 ,Total,1,0～14,0-14,282,5,24,6,1,-,-,11,13,222
0,総数 ,Total,1,15～19,15-19,115,-,12,4,-,-,-,7,67,25
0,総数 ,Total,1,20～24,20-24,256,2,18,6,-,-,-,7,183,40
0,総数 ,Total,1,25～29,25-29,291,2,14,7,1,3,-,22,179,63
0,総数 ,Total,1,30～34,30-34,322,12,58,15,1,1,-,24,136,75
0,総数 ,Total,1,35～39,35-39,497,37,101,29,5,23,-,23,152,127
0,総数 ,Total,1,40～44,40-44,781,61,222,68,12,52,-,27,171,168
0,総数 ,Total,1,45～49,45-49,1538,145,488,161,11,121,-,51,215,346
0,総数 ,Total,1,50～54,50-54,2454,212,864,297,26,170,-,81,220,584
0,総数 ,Total,1,55～59,55-59,3052,209,1223,365,34,179,-,70,182,790
0,総数 ,Total,1,60～64,60-64,3908,271,1663,504,50,229,3,89,108,991
0,総数 ,Total,1,65～69,65-69,6052,370,2781,741,136,201,13,118,102,1590
0,総数 ,Total,1,70～74,70-74,12169,830,5393,1583,352,261,118,258,145,3229
0,総数 ,Total,1,75～79,75-79,14522,1031,5633,1911,567,210,354,346,111,4359
0,総数 ,Total,1,80～,80 and over,81409,5726,17014,13305,4669,488,13463,1696,151,24897
0,総数 ,Total,1,不詳,Unreported,1,-,-,-,-,-,-,-,-,1
1,男 ,Male,0,総数,Total,66583,4551,20423,9579,3472,1352,3853,1629,1329,20395
1,男 ,Male,1,0～14,0-14,165,3,13,4,-,-,-,10,7,128
1,男 ,Male,1,15～19,15-19,66,-,6,4,-,-,-,6,37,13
1,男 ,Male,1,20～24,20-24,143,2,11,4,-,-,-,4,97,25
1,男 ,Male,1,25～29,25-29,167,2,7,5,1,3,-,16,96,37
1,男 ,Male,1,30～34,30-34,191,8,20,12,-,1,-,18,83,49
1,男 ,Male,1,35～39,35-39,328,29,46,22,4,14,-,19,105,89
1,男 ,Male,1,40～44,40-44,452,40,71,54,9,34,-,19,104,121
1,男 ,Male,1,45～49,45-49,994,97,216,135,9,94,-,36,147,260
1,男 ,Male,1,50～54,50-54,1592,145,393,258,21,140,-,52,138,445
1,男 ,Male,1,55～59,55-59,2055,158,661,298,28,152,-,47,144,567
1,男 ,Male,1,60～64,60-64,2761,206,1022,409,41,187,1,70,69,756
1,男 ,Male,1,65～69,65-69,4209,268,1796,591,93,159,8,84,56,1154
1,男 ,Male,1,70～74,70-74,8443,572,3566,1184,278,207,73,184,87,2292
1,男 ,Male,1,75～79,75-79,9248,658,3596,1180,408,133,188,220,66,2799
1,男 ,Male,1,80～,80 and over,35768,2363,8999,5419,2580,228,3583,844,93,11659
1,男 ,Male,1,不詳,Unreported,1,-,-,-,-,-,-,-,-,1
1,女 ,Female,0,総数,Total,61066,4362,15085,9423,2393,586,10098,1201,806,17112
1,女 ,Female,1,0～14,0-14,117,2,11,2,1,-,-,1,6,94
1,女 ,Female,1,15～19,15-19,49,-,6,-,-,-,-,1,30,12
1,女 ,Female,1,20～24,20-24,113,-,7,2,-,-,-,3,86,15
1,女 ,Female,1,25～29,25-29,124,-,7,2,-,-,-,6,83,26
1,女 ,Female,1,30～34,30-34,131,4,38,3,1,-,-,6,53,26
1,女 ,Female,1,35～39,35-39,169,8,55,7,1,9,-,4,47,38
1,女 ,Female,1,40～44,40-44,329,21,151,14,3,18,-,8,67,47
1,女 ,Female,1,45～49,45-49,544,48,272,26,2,27,-,15,68,86
1,女 ,Female,1,50～54,50-54,862,67,471,39,5,30,-,29,82,139
1,女 ,Female,1,55～59,55-59,997,51,562,67,6,27,-,23,38,223
1,女 ,Female,1,60～64,60-64,1147,65,641,95,9,42,2,19,39,235
1,女 ,Female,1,65～69,65-69,1843,102,985,150,43,42,5,34,46,436
1,女 ,Female,1,70～74,70-74,3726,258,1827,399,74,54,45,74,58,937
1,女 ,Female,1,75～79,75-79,5274,373,2037,731,159,77,166,126,45,1560
1,女 ,Female,1,80～,80 and over,45641,3363,8015,7886,2089,260,9880,852,58,13238
1,女 ,Female,1,不詳,Unreported,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-4  年齢(5歳階級)，主要死因別死亡数 (令和3年) 19-4  DEATHS BY AGE ( FIVE-YEAR GROUPS ) AND PRINCIPAL CAUSES ( 2021 ),,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,
年齢階層（0:総数　1:各年齢）,,,,,,,,,,,,,,,
