年度,Fiscal year,個人保険 Individual Insuranc 2)／件数 Number,個人保険 Individual Insurance 2)／金額 Value,団体保険 Group Insurance 2)／団体数 Number,団体保険 Group Insurance 2)／被保険者数 Persons insured,団体保険 Group Insurance 2)／金額 Value,個人年金保険 Individual Annuity Insurance 1)／件数 Number,個人年金保険 Individual Annuity Insurance 1)／金額 Value,,,,,,,,,,,,,,,,,,
平成29,2017,19761820,108898380,17668,177148583,257281220,2107608,12838049,,,,,,,,,,,,,,,,,,
平成30,2018,20573702,109083331,17518,172761172,261557653,2118441,12878993,,,,,,,,,,,,,,,,,,
令和元,2019,21290639,107447291,17387,169680469,265337800,2128533,12852742,,,,,,,,,,,,,,,,,,
令和2,2020,21494163,105989750,17174,168759851,270608172,2073772,12757341,,,,,,,,,,,,,,,,,,
令和3,2021,21941163,107717484,17120,165347614,270228668,2028964,12652648,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-4  生命保険会社契約高 (3) 保有契約 (平成29～令和3年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (3) POLICIES IN FORCE ( Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 年金開始前 (金額は年金支払い開始時における年金原資)。,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 個人保険及び団体保険の金額表示は主要保障金額である。,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Prior to the start of annuity payments (amount of annuity funds at the start of the payments).,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Values for individual and group insurance are based on the main coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
