年度,Fiscal year,被保険者数 Insured persons／総数 Total 1),被保険者数 Insured persons／男子 Male 1),被保険者数 Insured persons／女子 Female 1),被扶養者数 Dependents／総数 Total 1),被扶養者数 Dependents／男子 Male 1),被扶養者数 Dependents／女子 Female 1),保険給付費 Insurance benefits／件数 Cases,保険給付費 Insurance benefits／給付費 Benefits,医療給付費 Medical care benefits／件数 Cases,医療給付費 Medical care benefits／給付費 Benefits,医療費 Medical care expense,その他の現金給付費 Other cash  benefits／件数 Cases,その他の現金給付費 Other cash  benefits／給付費  Benefits,診療費 Consultation fees／件数 Cases,診療費 Consultation fees／給付費  Benefits,診療費 Consultation fees／医療費 Medical care expenses,薬剤支給 Prescription drugs benefits／件数 Cases,薬剤支給 Prescription drugs benefits／給付費 Benefits,薬剤支給 Prescription drugs benefits／医療費 Medical care expenses
令和元,2019,4247,3999,248,1450,446,1004,1218,20705,1211,17454,21894,7,3251,722,14044,17099,402,2664,3738
令和2,2020,3966,3713,253,1290,393,897,1190,20737,1182,17885,22260,8,2852,695,14197,17004,383,2821,3947
令和3,2021,4131,3853,278,1337,414,923,1168,16411,1156,14022,17840,12,2390,714,10783,13521,386,2502,3496
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (3) 法第3条第2項被保険者分 a 適用状況 (令和元～3年度) 18-8  HEALTH INSURANCE (3) PERSONS INSURED UNDER ARTICLE 3， CLAUSE 2 OF THE HEALTH INSURANCE ACT a COVERAGE ( Fiscal Years 2019-2021 ),,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。 ,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year. ,,,,,,,,,,,,,,,,,,,,
注 1) 3月末現在の数値である。 ,,,,,,,,,,,,,,,,,,,,
Note: 1) Figures are as of the end of March of each year.,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会 Source: Japan Health Insurance Association     ,,,,,,,,,,,,,,,,,,,,
（単位　金額　千円） (Value in thousands of yen),,,,,,,,,,,,,,,,,,,,
