年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成27,2015,総数 ,Total,23811,112,23699,20,34,23645,10176,9604,572,9624,13469,606
平成28,2016,総数 ,Total,27014,91,26923,26,47,26850,10196,9663,533,9689,16654,580
平成29,2017,総数 ,Total,27376,92,27284,14,106,27164,9716,9238,478,9252,17448,584
平成30,2018,総数 ,Total,26685,125,26560,5,241,26314,9202,8788,414,8793,17112,655
令和元,2019,総数 ,Total,26650,161,26489,483,174,25832,8114,7681,432,8165,17718,607
令和2,2020,総数 ,Total,24769,123,24645,166,105,24374,8566,8360,206,8526,15808,311
令和2,2020,燃えがら ,Cinder,2,0,2,-,0,2,2,2,0,2,0,0
令和2,2020,汚でい ,Sludge,17577,17,17560,4,3,17554,1961,1915,46,1919,15592,49
令和2,2020,廃油 ,Waste oil,22,2,20,0,0,20,8,8,0,8,12,1
令和2,2020,廃酸 ,Waste acid,11,0,11,0,0,11,4,4,0,4,7,0
令和2,2020,廃アルカリ ,Waste alkaline,4,-,4,0,0,4,1,1,0,1,2,0
令和2,2020,廃プラスチック類 ,Waste plastics,302,10,292,1,2,289,231,213,18,214,58,19
令和2,2020,紙くず ,Paper scrap,49,5,44,3,0,41,39,37,1,41,2,1
令和2,2020,木くず ,Wood scrap,342,2,340,7,0,332,325,321,4,328,8,4
令和2,2020,繊維くず ,Textile scrap,3,0,3,0,-,3,3,3,0,3,0,0
令和2,2020,動植物性残さ ,Plant and animal scraps,67,7,60,1,-,60,19,19,0,20,40,0
令和2,2020,ゴムくず ,Rubber scrap,0,-,0,-,-,0,0,0,-,0,-,-
令和2,2020,金属くず ,Metal scrap,214,65,148,40,0,108,108,107,1,147,0,1
令和2,2020,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,615,8,607,1,55,551,539,525,14,526,12,69
令和2,2020,鉱さい ,Slag,33,-,33,-,-,33,33,28,6,28,-,6
令和2,2020,がれき類 ,Rubble,5048,6,5042,108,2,4932,4931,4878,53,4986,1,55
令和2,2020,ばいじん ,Dust,7,-,7,-,2,6,6,6,0,6,-,2
令和2,2020,動物の糞尿 ,Animal excretions,38,0,38,0,0,38,10,9,0,10,28,0
令和2,2020,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,混合廃棄物 ,Mixed waste,306,0,305,0,3,302,302,255,48,255,0,51
令和2,2020,その他の廃棄物 ,Other waste,48,0,48,0,31,18,18,10,8,10,0,39
令和2,2020,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,0,-,0,-,0,0,0,0,-,0,-,0
令和2,2020,特別管理産業廃棄物 ,Specially controlled industrial waste,76,1,74,0,7,67,24,16,7,16,44,14
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成28～令和2年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2016-2020 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部計画課 「東京都産業廃棄物経年変化実態調査報告書」 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
