年次,Year,原因,Cause,発生件数 Accidents total,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成29,2017,総数,Total,32576,37958,134,697,37127
平成30,2018,総数,Total,32449,37434,124,1092,36218
平成31･令和元,2019,総数,Total,30288,34713,118,1210,33385
令和2,2020,総数,Total,25466,28857,128,1178,27551
令和3,2021,総数,Total,27434,30796,103,1478,29215
令和3,2021,信号無視,Ignoring traffic light signals,836,1010,9,107,894
令和3,2021,通行区分違反,Lane violation,69,82,3,15,64
令和3,2021,最高速度違反,Speed violation,11,15,7,2,6
令和3,2021,横断等禁止違反,Crossing， etc. violation,65,69,4,35,30
令和3,2021,車間距離不保持,Tailgating,63,76,-,2,74
令和3,2021,進路変更禁止違反,Lane change violation ,79,90,3,40,47
令和3,2021,通行妨害,Obstruction of traffic ,1,1,-,-,1
令和3,2021,追越違反,Overtaking violation,26,31,-,5,26
令和3,2021,右折違反,Right turn violation,23,28,-,4,24
令和3,2021,左折違反,Left turn violation,33,38,-,9,29
令和3,2021,優先通行妨害等,Obstruction of priority lanes， etc.,185,221,5,117,99
令和3,2021,交差点安全進行義務違反,Violation of duty to use caution at intersections,3714,4032,11,250,3771
令和3,2021,歩行者妨害等,Obstruction of pedestrians， etc.,902,921,14,109,798
令和3,2021,横断自転車妨害等,Obstruction of crossing bicycles， etc.,214,219,-,4,215
令和3,2021,徐行場所違反,Slow down violation ,55,61,-,3,58
令和3,2021,指定場所一時不停止等,Stop sign， etc. violation,894,1016,4,88,924
令和3,2021,酒酔い運転,Driving while intoxicated,20,23,6,1,16
令和3,2021,過労・薬物,Driving while drowsy or under the influence of drugs,60,89,1,6,82
令和3,2021,安全運転義務違反,Violation of safe driving obligations,19339,21887,35,622,21230
令和3,2021,安全不確認ドア開放等,Opening of door without checking for safety， etc.,233,238,-,18,220
令和3,2021,その他,Others,545,573,1,38,534
令和3,2021,調査不能,Cause undetermined,67,76,-,3,73
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,
20-13  車両がわの事故原因による人身事故発生件数及び死傷者数 （平成29～令和3年） 20-13 TRAFFIC ACCIDENTS CAUSED BY VEHICLES RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2017-2021 ),,,,,,,,
注 1) 発生件数及び死傷者数とも第1当事者からみた数である。,,,,,,,,
2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,
3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,
"Note: 1) ""Accidents total"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,
2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same， the party that suffers less damage is the first party.,,,,,,,,
"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,
