事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,総数,Total,7363,1435,74092,86074,5928,347495,278795
1,保護施設,Public assistance facilities,41,-,-,-,41,2457,2071
2,救護施設,Relief facilities,10,-,-,-,10,911,981
2,更生施設,Rehabilitation facilities,11,-,-,-,11,850,818
2,医療保護施設,Medical facilities for persons requiring public assistance,10,-,…,…,10,…,…
2,授産施設（生活保護法）,Vocational facilities (Public Assistance Act),-,-,-,-,-,-,-
2,宿所提供施設（生活保護法）,Facilities providing accommodation (Public Assistance Act),10,-,-,-,10,696,272
1,老人福祉施設,Welfare facilities for the elderly,358,107,-,-,251,7607,7287
2,養護老人ホーム(一般）,Nursing homes (general),31,-,-,-,31,3311,3161
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,92
2,軽費老人ホーム（A型),Low-cost homes (type A),8,-,-,-,8,600,588
2,軽費老人ホーム（B型),Low-cost homes (type B),1,-,-,-,1,50,47
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),44,-,-,-,44,2136,2008
2,都市型軽費老人ホーム,Urban-style low-cost homes ,82,-,-,-,82,1410,1391
2,老人福祉センター（特A型）,Welfare centers (special type A),-,-,…,…,-,…,…
2,老人福祉センター（A型),Welfare centers (type A),64,25,…,…,39,…,…
2,老人福祉センター（B型),Welfare centers (type B),127,82,…,…,45,…,…
1,障害者支援施設等,Support facilities for persons with impairments， etc.,266,7,136,-,259,8319,6218
2,障害者支援施設,Support facilities  ,95,-,-,-,95,5178,6078
2,地域活動支援センター,Local activity support centers,158,7,136,…,151,2988,…
2,福祉ホーム,Group homes ,13,-,-,-,13,153,140
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,24,5,-,…,19,-,…
2,身体障害者福祉センター（Ａ型）,Welfare centers (type A),2,-,…,…,2,…,…
2,身体障害者福祉センター（Ｂ型）,Welfare centers (type B),7,3,…,…,4,…,…
2,障害者更生センター,Recreation and rehabilitation centers ,-,-,-,…,-,-,…
2,補装具製作施設,Prosthetic device making facilities,2,-,…,…,2,…,…
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,…,…,1,…,…
2,点字図書館,Braille libraries,6,2,…,…,4,…,…
2,点字出版施設,Braille publishing facilities,5,-,…,…,5,…,…
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,…,…,1,…,…
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,78
1,児童福祉施設等,Child welfare facilities， etc.,5225,1311,73821,86074,3914,253905,219327
2,助産施設,Midwifery homes,35,12,196,…,23,373,…
2,乳児院,Infant homes,11,-,-,-,11,527,388
2,母子生活支援施設 3),Living support facilities for single-mother families 3),32,-,-,-,32,639,1155
2,保育所等,Day care centers， etc.,3370,686,72072,83230,2684,236403,203850
2,地域型保育事業所,Community childcare facilities,977,39,162,134,938,11240,10317
2,児童養護施設,Foster homes,56,-,-,-,56,2996,2693
2,障害児入所施設（福祉型）,Facilities for children with impairments (welfare type),9,-,-,-,9,460,365
2,障害児入所施設（医療型）,Facilities for children with impairments (medical care type),12,4,355,19,8,1156,490
2,児童発達支援センター（福祉型）,Child development support centers (welfare type),37,16,639,2462,21,715,1166
2,児童発達支援センター（医療型）,Child development support centers (medical care type),5,4,145,95,1,35,59
2,児童心理治療施設,Child mental care facilities,-,-,-,-,-,-,-
2,児童自立支援施設,Children's self-reliance support facilities,2,2,252,134,-,-,-
2,児童家庭支援センター,Child and family support centers,-,-,…,…,-,…,…
2,小型児童館,Child centers (small size),372,301,…,…,71,…,…
2,児童センター,Child centers,222,162,…,…,60,…,…
2,大型児童館（Ａ型）,Large child centers (type A),-,-,…,…,-,…,…
2,大型児童館（B型）,Large child centers (type B),-,-,…,…,-,…,…
2,大型児童館（C型）,Large child centers (type C),-,-,…,…,-,…,…
2,その他の児童館,Other child centers,-,-,…,…,-,…,…
2,児童遊園,Child play space,85,85,…,…,-,…,…
1,母子・父子福祉施設,Welfare facilities for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子福祉センター,Welfare centers for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子休養ホーム,Recreational facilities for single-mother/father families,-,-,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,1444,5,135,…,1439,74977,43814
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),10,3,104,…,7,207,…
2,宿所提供施設（社会福祉法）,Facilities providing accommodation (Social Welfare Act),157,-,-,…,157,4407,…
2,盲人ホーム,Vocational centers for the visually impaired,4,-,-,…,4,80,…
2,隣保館,Social service facilities,-,-,…,…,-,…,…
2,へき地保健福祉館,Public health and welfare centers in remote areas,-,-,…,…,-,…,…
2,日常生活支援住居施設,  Daily Life Support Housing facilities,-,-,-,-,-,-,-
2,有料老人ホーム,Fee-based nursing homes for the elderly,1273,2,31,…,1271,70283,43814
,(別掲）介護老人福祉施設（特別養護老人ホーム）4),(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly) 4),563,…,…,…,563,49714,47124
,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（令和2年） 18-1  SOCIAL WELFARE FACILITIES ( 2020 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
注 1) 施設数及び定員は基本票（行政情報），在所者数は詳細票（調査票が回収できた施設の状況）の結果である。,,,,,,,,,
2) 総数及び児童福祉施設の「定員」・「在所者数」には母子生活支援施設を含まない。,,,,,,,,,
3) 母子生活支援施設の定員は世帯数である。,,,,,,,,,
4) 介護老人福祉施設（特別養護老人ホーム）は，公営，私営別に集計していないため，私営部分に公営，私営を合算した数値を掲載している。,,,,,,,,,
Note: 1) The number of facilities and capacities are based on the basic records (government information)， and the number of residents is based on detailed records (facilities that responded to a survey). ,,,,,,,,,
"2) Living support facilities for single-mother families are not included in the total number of social welfare facilities or the child welfare facility ""capacity""  and ""number of service users.""",,,,,,,,,
3) The capacity of living support facilities for single-mother families is expressed in number of households.,,,,,,,,,
"4) Because figures for long-term care facilities for the elderly (special nursing homes for the elderly) are not tabulated separately as public or private， data are combined in the ""private"" column.   ",,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,
事業階層(0:総数　1:保護施設・老人福祉施設・障害者支援施設等・身体障害者社会参加支援施設・婦人保護施設・児童福祉施設・母子・父子福祉施設・その他の社会福祉施設 2:各事業施設),,,,,,,,,
