年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／介護医療院の従事者 Long-term care medical institution personnel 1),医師数 Physicians／医療施設・介護老人保健施設・介護医療院以外の従事者 Personnel other than those in medical institutions， long-term care health facilities and long-term care medical institutions.,医師数 Physicians／その他 Others,医師数 Physicians／不詳/Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成22,2010,0,13000,,東京都,Tokyo-to,39965,37552,355,13004,10741,8894,4558,141,14,127,-,1875,397,-,16054,86033,16822,44356,303.7
平成24,2012,0,13000,,東京都,Tokyo-to,41498,39116,348,13612,11172,8848,5136,155,25,130,-,1833,394,-,16045,90336,15377,44718,313.7
平成26,2014,0,13000,,東京都,Tokyo-to,43297,40769,348,13840,12167,9049,5365,170,21,149,-,1872,486,-,16395,97383,14702,46343,323.4
平成28,2016,0,13000,,東京都,Tokyo-to,44136,41445,339,14297,12278,9101,5430,156,16,140,-,2137,395,3,16639,104744,13476,48813,324
平成30,2018,0,13000,,東京都,Tokyo-to,45392,42497,355,14881,12508,9081,5672,161,20,141,-,2289,442,3,16597,109517,12565,50562,328.4
令和2,2020,0,13000,,東京都,Tokyo-to,48072,45078,331,16097,12624,9573,6453,172,18,154,13,2286,517,6,17245,120049,12063,52842,342.2
令和2,2020,1,13100,,区部,All ku,38391,35799,203,11785,11193,7373,5245,83,8,75,6,2053,444,6,13850,83615,7069,41718,394.4
令和2,2020,2,13101,1,千代田区,Chiyoda-ku,1870,1408,8,498,199,258,445,-,-,-,-,443,19,-,1762,3227,109,4848,2804.4
令和2,2020,2,13102,2,中央区,Chuo-ku,1540,1420,3,631,21,383,382,-,-,-,-,93,27,-,600,3140,114,4708,910.3
令和2,2020,2,13103,3,港区,Minato-ku,3263,2967,5,811,1145,498,508,-,-,-,1,264,31,-,868,5598,145,4065,1252.7
令和2,2020,2,13104,4,新宿区,Shinjuku-ku,5033,4613,6,1032,2553,393,629,2,-,2,-,388,30,-,775,7502,208,2944,1440.5
令和2,2020,2,13105,5,文京区,Bunkyo-ku,4913,4583,1,525,3754,198,105,1,-,1,-,298,30,1,964,6425,60,2139,2046.5
令和2,2020,2,13106,6,台東区,Taito-ku,478,459,5,160,-,170,124,2,-,2,-,9,8,-,329,1298,159,615,226.1
令和2,2020,2,13107,7,墨田区,Sumida-ku,831,805,8,514,1,169,113,2,-,2,-,18,6,-,255,2408,223,771,305.4
令和2,2020,2,13108,8,江東区,Koto-ku,1461,1382,10,594,318,281,179,5,-,5,-,63,10,1,407,3398,288,1413,278.7
令和2,2020,2,13109,9,品川区,Shinagawa-ku,1637,1498,6,410,597,333,152,1,1,-,1,116,21,-,533,3428,206,2028,387.5
令和2,2020,2,13110,10,目黒区,Meguro-ku,1195,1154,5,551,233,234,131,2,-,2,-,15,23,1,393,2600,95,885,414.8
令和2,2020,2,13111,11,大田区,Ota-ku,1932,1842,16,649,500,459,218,1,-,1,1,69,18,1,1038,5403,478,1782,258.3
令和2,2020,2,13112,12,世田谷区,Setagaya-ku,2293,2136,10,1063,51,700,312,15,2,13,-,87,55,-,976,5761,512,2036,243
令和2,2020,2,13113,13,渋谷区,Shibuya-ku,1573,1526,6,730,34,405,351,2,-,2,-,20,24,1,609,3568,130,1373,645
令和2,2020,2,13114,14,中野区,Nakano-ku,675,641,2,305,-,242,92,4,-,4,-,17,12,1,344,1994,183,803,195.7
令和2,2020,2,13115,15,杉並区,Suginami-ku,1053,1009,12,444,1,383,169,3,-,3,-,12,29,-,586,2687,182,1260,178.1
令和2,2020,2,13116,16,豊島区,Toshima-ku,815,788,11,184,4,345,244,1,-,1,-,16,10,-,439,2013,270,1397,270.2
令和2,2020,2,13117,17,北区,Kita-ku,715,690,6,333,2,218,131,2,-,2,-,9,14,-,322,2182,235,1102,201.3
令和2,2020,2,13118,18,荒川区,Arakawa-ku,531,515,7,71,239,139,59,-,-,-,1,8,7,-,177,1360,234,507,244.2
令和2,2020,2,13119,19,板橋区,Itabashi-ku,2558,2459,19,920,1099,295,126,10,1,9,-,81,8,-,479,7256,837,1752,437.7
令和2,2020,2,13120,20,練馬区,Nerima-ku,1215,1156,8,288,247,428,185,14,3,11,-,7,38,-,596,2555,350,1545,161.4
令和2,2020,2,13121,21,足立区,Adachi-ku,980,960,23,428,1,296,212,8,-,8,1,8,3,-,517,4217,938,1433,141
令和2,2020,2,13122,22,葛飾区,Katsushika-ku,933,922,10,284,194,258,176,3,1,2,-,3,5,-,337,2616,483,1052,205.9
令和2,2020,2,13123,23,江戸川区,Edogawa-ku,897,866,16,360,-,288,202,5,-,5,1,9,16,-,544,2979,630,1260,128.5
令和2,2020,1,13200,,市部,All shi,9598,9208,126,4287,1431,2187,1177,84,10,74,7,226,73,-,3360,35945,4828,11046,226.7
