年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B/A) Coverage rate (%) 
平成29,2017,0,13000,,東京都,Tokyo-to,,13785221,130,13723846,13784800,1579458,6,13538380,13750775,1577576,8,16280,12434,1882,116,169186,21591,100
平成30,2018,0,13000,,東京都,Tokyo-to,,13886107,127,13674046,13885696,1578477,6,13544380,13851680,1576584,8,16280,12386,1893,113,113386,21630,100
令和元,2019,0,13000,,東京都,Tokyo-to,,13983631,125,13673829,13983238,1579798,6,13544380,13949512,1577857,8,16280,12191,1941,111,113169,21535,100
令和2,2020,0,13000,,東京都,Tokyo-to,,13958188,123,13675129,13957818,1576944,6,13544380,13922255,1575168,8,16280,12024,1776,109,114469,23539,100
令和3,2021,0,13000,,東京都,Tokyo-to,,13993733,124,14333274,13993381,1557890,6,14184380,13959443,1556070,8,16280,11773,1820,110,132614,22165,100
令和3,2021,1,13100,,区部,All ku,,9680548,10,13850966,9680548,1517774,1,13830000,9673273,1517774,-,-,-,-,9,20966,7275,100
令和3,2021,1,13200,,市部,All shi,,4234352,99,443240,4234209,35608,3,331800,4219319,35608,-,-,-,-,96,111440,14890,100
令和3,2021,2,13201,1,八王子市,Hachioji-shi,※,578940,16,7788,578890,-,-,-,573792,-,-,-,-,-,16,7788,5098,99.99
令和3,2021,2,13202,2,立川市,Tachikawa-shi,※,184343,2,250,184343,-,-,-,184343,-,-,-,-,-,2,250,-,100
令和3,2021,2,13203,3,武蔵野市,Musashino-shi,,148300,6,164590,148300,16586,1,151000,148150,16586,-,-,-,-,5,13590,150,100
令和3,2021,2,13204,4,三鷹市,Mitaka-shi,※,195624,4,7021,195624,-,-,-,193976,-,-,-,-,-,4,7021,1648,100
令和3,2021,2,13205,5,青梅市,Ome-shi,※,132006,5,1195,131997,-,-,-,130817,-,-,-,-,-,5,1195,1180,99.99
令和3,2021,2,13206,6,府中市,Fuchu-shi,※,262610,6,13494,262610,-,-,-,262590,-,-,-,-,-,6,13494,20,100
令和3,2021,2,13207,7,昭島市,Akishima-shi,,114068,6,126322,114067,12728,1,120800,113795,12728,-,-,-,-,5,5522,272,100
令和3,2021,2,13208,8,調布市,Chofu-shi,※,243372,4,12809,243372,-,-,-,243252,-,-,-,-,-,4,12809,120,100
令和3,2021,2,13209,9,町田市,Machida-shi,※,432682,2,-,432663,-,-,-,432663,-,-,-,-,-,2,-,-,100
令和3,2021,2,13210,10,小金井市,Koganei-shi,※,127186,3,11952,127186,-,-,-,127105,-,-,-,-,-,3,11952,81,100
令和3,2021,2,13211,11,小平市,Kodaira-shi,※,198633,10,10190,198633,-,-,-,195224,-,-,-,-,-,10,10190,3409,100
令和3,2021,2,13212,12,日野市,Hino-shi,※,190503,8,599,190503,-,-,-,190207,-,-,-,-,-,8,599,296,100
令和3,2021,2,13213,13,東村山市,Higashimurayama-shi,※,152003,4,1841,152003,-,-,-,151510,-,-,-,-,-,4,1841,493,100
令和3,2021,2,13214,14,国分寺市,Kokubunji-shi,※,130821,3,8050,130821,-,-,-,130821,-,-,-,-,-,3,8050,-,100
令和3,2021,2,13215,15,国立市,Kunitachi-shi,※,76905,3,2950,76905,-,-,-,76905,-,-,-,-,-,3,2950,-,100
令和3,2021,2,13218,16,福生市,Fussa-shi,※,55640,2,-,55640,-,-,-,55640,-,-,-,-,-,2,-,-,100
令和3,2021,2,13219,17,狛江市,Komae-shi,※,84425,-,-,84425,-,-,-,84425,-,-,-,-,-,-,-,-,100
令和3,2021,2,13220,18,東大和市,Higashiyamato-shi,※,83682,-,-,83682,-,-,-,83682,-,-,-,-,-,-,-,-,100
令和3,2021,2,13221,19,清瀬市,Kiyose-shi,※,76155,4,2205,76155,-,-,-,76150,-,-,-,-,-,4,2205,5,100
