会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,978718,1091571,1091571
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,978718,1091571,1091571
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,978718,1091571,1091571
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,978718,1091571,1091571
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,2629814,2685828,2707641
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,2024833,1961902,1982965
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,458909,476496,477246
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,146072,247430,247430
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,2381304,2446308,2441688
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,2381304,2446308,2441688
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,372,372,768
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,9,9,6
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,0,0,0
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,363,363,761
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,372,372,-
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,372,372,-
国民健康保険事業,National health insurance program,0,歳入,Revenue,1085832,1144972,1148993
国民健康保険事業,National health insurance program,1,分担金及負担金,Beneficiary contribution,436530,417666,417666
国民健康保険事業,National health insurance program,1,国庫支出金,National treasury disbursements,290207,317168,330922
国民健康保険事業,National health insurance program,1,療養給付費等交付金,Grants for medical treatment benefits， expenses， etc.,0,0,-
国民健康保険事業,National health insurance program,1,前期高齢者交付金,Grants for the elderly aged 65-74,249213,252196,252196
国民健康保険事業,National health insurance program,1,共同事業交付金,Grants for collaboration insurance program,1982,1982,1958
国民健康保険事業,National health insurance program,1,財産収入,Revenue from property,4,4,2
国民健康保険事業,National health insurance program,1,繰入金,Funds transferred,85945,101692,92180
国民健康保険事業,National health insurance program,1,諸収入,Miscellaneous,182,10040,9846
国民健康保険事業,National health insurance program,1,繰越金,Balance brought forward,21769,44224,44224
国民健康保険事業,National health insurance program,0,歳出,Expenditure,1085832,1144972,1128756
国民健康保険事業,National health insurance program,1,国民健康保険事業費,National health insurance program,1085832,1144972,1128756
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳入,Revenue,3612,3612,9109
母子父子福祉貸付資金,Single parent welfare loan funds,1,事業収入,Operations,3242,3242,3496
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰入金,Funds transferred,139,139,127
母子父子福祉貸付資金,Single parent welfare loan funds,1,諸収入,Miscellaneous,0,0,47
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰越金,Balance brought forward,231,231,5439
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳出,Expenditure,3612,3612,1642
母子父子福祉貸付資金,Single parent welfare loan funds,1,貸付費,Loans,3612,3612,1642
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳入,Revenue,3833,3833,3553
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,財産収入,Revenue from property,46,46,6
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰入金,Funds transferred,3787,3787,3545
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,諸収入,Miscellaneous,0,0,2
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰越金,Balance brought forward,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳出,Expenditure,3833,3833,3553
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,扶養年金費,Annuity,3833,3833,3553
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳入,Revenue,650,650,2112
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,事業収入,Operations,630,630,394
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰入金,Funds transferred,5,5,5
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,諸収入,Miscellaneous,0,0,0
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,都債,Metropolitan debt,-,-,-
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰越金,Balance brought forward,15,15,1714
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳出,Expenditure,650,650,398
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,助成費,Subsidies,650,650,398
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳入,Revenue,52,52,115
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,事業収入,Operations,2,2,2
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰入金,Funds transferred,1,1,-
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,諸収入,Miscellaneous,0,0,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰越金,Balance brought forward,49,49,113
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳出,Expenditure,52,52,4
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,助成費,Subsidies,52,52,4
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳入,Revenue,48,48,181
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,事業収入,Operations,8,8,8
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰入金,Funds transferred,1,1,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,諸収入,Miscellaneous,0,0,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰越金,Balance brought forward,39,39,173
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳出,Expenditure,48,48,4
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,助成費,Subsidies,48,48,4
と場,Slaughter house,0,歳入,Revenue,5969,5971,5733
と場,Slaughter house,1,使用料及手数料,Charges and fees,1369,1369,1343
と場,Slaughter house,1,繰入金,Funds transferred,3793,3793,3555
と場,Slaughter house,1,諸収入,Miscellaneous,57,57,97
と場,Slaughter house,1,都債,Metropolitan bonds,750,751,738
と場,Slaughter house,1,繰越金,Balance brought forward,0,1,-
と場,Slaughter house,0,歳出,Expenditure,5969,5971,5733
と場,Slaughter house,1,と場事業費,Slaughter house operations,5969,5971,5733
都営住宅等事業,Metropolitan public housing， etc.,0,歳入,Revenue,174909,183593,150148
都営住宅等事業,Metropolitan public housing， etc.,1,分担金及負担金,Beneficiary contribution,464,464,317
都営住宅等事業,Metropolitan public housing， etc.,1,使用料及手数料,Charges and fees,67191,67191,65747
都営住宅等事業,Metropolitan public housing， etc.,1,国庫支出金,National treasury disbursements,34113,37748,23006
都営住宅等事業,Metropolitan public housing， etc.,1,財産収入,Revenue from property ,2335,2335,2349
都営住宅等事業,Metropolitan public housing， etc.,1,繰入金,Funds transferred,31356,32061,29555
都営住宅等事業,Metropolitan public housing， etc.,1,諸収入,Miscellaneous,4836,4836,5013
都営住宅等事業,Metropolitan public housing， etc.,1,都債,Metropolitan bonds,34614,38956,22618
都営住宅等事業,Metropolitan public housing， etc.,1,繰越金,Balance brought forward,0,3,1543
都営住宅等事業,Metropolitan public housing， etc.,0,歳出,Expenditure,174909,183593,148053
都営住宅等事業,Metropolitan public housing， etc.,1,都営住宅等事業費,Metropolitan public housing， etc.,174909,183593,148053
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,0,歳入,Revenue,10833,10833,10949
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,保証金収入,Security deposits ,501,501,554
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰入金,Funds transferred,2212,2212,2212
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,諸収入,Miscellaneous,1,1,0
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰越金,Balance brought forward,8119,8119,8184
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,0,歳出,Expenditure,2642,2642,2552
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,返還金,Refunds,642,642,552
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰出金,Funds transferred,2000,2000,2000
都市開発資金,Urban development funds,0,歳入,Revenue,1023,1023,27
都市開発資金,Urban development funds,1,財産収入,Revenue from property,19,19,27
都市開発資金,Urban development funds,1,繰入金,Funds transferred,4,4,-
都市開発資金,Urban development funds,1,諸収入,Miscellaneous,1,1,0
都市開発資金,Urban development funds,1,都債,Metropolitan bonds,1000,1000,-
都市開発資金,Urban development funds,1,繰越金,Balance brought forward,0,0,-
都市開発資金,Urban development funds,0,歳出,Expenditure,1023,1023,27
都市開発資金,Urban development funds,1,用地費,Land acquisition,1023,1023,27
用地,Land acquisition,0,歳入,Revenue,17775,17786,12982
用地,Land acquisition,1,財産収入,Revenue from property,4771,4771,4746
用地,Land acquisition,1,繰入金,Funds transferred,500,500,314
用地,Land acquisition,1,諸収入,Miscellaneous,1,1,0
用地,Land acquisition,1,都債,Metropolitan bonds,8606,8617,1578
用地,Land acquisition,1,繰越金,Balance brought forward,3897,3897,6345
用地,Land acquisition,0,歳出,Expenditure,17775,17786,6641
用地,Land acquisition,1,用地費,Land acquisition,17775,17786,6641
公債費,Debt services,0,歳入,Revenue,1173245,1173245,1166291
公債費,Debt services,1,財産収入,Revenue from property,1488,1488,1560
公債費,Debt services,1,繰入金,Funds transferred,878022,878022,871021
公債費,Debt services,1,諸収入,Miscellaneous,596,596,619
公債費,Debt services,1,都債,Metropolitan bonds,293139,293139,293091
公債費,Debt services,0,歳出,Expenditure,1173245,1173245,1166291
公債費,Debt services,1,公債費,Debt services,1173245,1173245,1166291
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳入,Revenue,3261,3261,3133
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,使用料及手数料,Charges and fees,0,0,-
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰入金,Funds transferred,1113,1113,316
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,諸収入,Miscellaneous,59,59,8
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰越金,Balance brought forward,2089,2089,2809
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,分担金及負担金,Beneficiary contribution,-,-,0
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳出,Expenditure,1675,1675,409
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,臨海都市基盤整備費,Waterfront urban infrastructure development,1675,1675,409
,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-3  特別会計予算，決算額 (令和3年度) 21-3  BUDGETS AND SETTLEMENTS OF THE SPECIAL ACCOUNTS ( Fiscal Year 2021 ),,,,,,,
注) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
Note: The final budget includes the balance brought forward from the previous fiscal year.  ,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:歳入・歳出　1:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
