年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 Temporary restraining order／新受 Newly received,保全命令 Temporary restraining order／既済 Disposed,保全命令 Temporary restraining order／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 Labor tribunal decisions,その他の事件 Other cases／新受 Newly received／借地非訟 Non-contentious tenancy cases,その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 Public notification,その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
令和2,2020,0,,総数,Total,368670,348121,117557,159062,142434,74174,2179,2051,631,45,39,21,4,5,8,510,492,754,610,579,292,20,27,19,5275,5178,2315,279,286,48,84902,83496,3483,5251,5127,446,1210,167,13363,1552,10737,2,168,25833,57501,108407,35366
令和3,2021,0,,総数,Total,398208,405766,109843,173136,176013,71299,1999,2088,542,54,57,18,3,5,6,623,614,763,724,740,276,32,28,23,5080,5682,1713,309,294,63,96583,98153,1913,5160,5159,447,1043,211,15884,1438,9839,2,133,20542,65413,116933,32780
令和3,2021,1,,地方裁判所, District courts,110218,114031,62004,37873,40659,30006,-,-,-,-,-,-,3,5,5,623,614,763,724,740,276,27,26,19,922,936,438,-,-,-,-,-,-,4665,4659,440,1043,211,15629,1438,9839,2,-,10776,26443,66392,30057
令和3,2021,2,1,東京, Tokyo,94866,98324,54443,34272,36868,27681,-,-,-,-,-,-,2,3,4,623,614,763,724,740,276,25,26,17,818,833,429,-,-,-,-,-,-,4489,4500,405,963,198,11975,1072,7986,2,-,9004,22713,54740,24868
令和3,2021,2,2,立川支部, Tachikawa Branch,15352,15707,7561,3601,3791,2325,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,2,-,2,104,103,9,-,-,-,-,-,-,176,159,35,80,13,3654,366,1853,-,-,1772,3730,11652,5189
令和3,2021,1,,簡易裁判所, Summary courts,287990,291735,47839,135263,135354,41293,1999,2088,542,54,57,18,-,-,1,-,-,-,-,-,-,5,2,4,4158,4746,1275,309,294,63,96583,98153,1913,495,500,7,-,-,255,-,-,-,133,9766,38970,50541,2723
令和3,2021,2,1,東京, Tokyo,274873,278286,46543,131536,131402,40507,1758,1829,482,47,49,16,-,-,1,-,-,-,-,-,-,5,2,4,3740,4283,1153,300,284,62,92094,93617,1867,487,492,7,-,-,239,-,-,-,125,7571,36971,46328,2444
令和3,2021,2,2,八丈島, Hachijojima ,42,41,3,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,1,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,26,3,28,1
令和3,2021,2,3,伊豆大島, Izu-oshima ,25,25,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,7,6,1,-,-,-,-,-,-,-,-,-,-,11,3,14,-
令和3,2021,2,4,新島, Niijima,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和3,2021,2,5,八王子, Hachioji ,3528,3700,325,1442,1525,251,39,48,7,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,73,76,20,1,-,1,1013,1028,7,2,2,-,-,-,5,-,-,-,-,436,514,1018,39
令和3,2021,2,6,立川, Tachikawa,3554,3622,359,765,803,198,76,80,20,3,4,2,-,-,-,-,-,-,-,-,-,-,-,-,131,153,30,4,5,-,1302,1329,2,6,6,-,-,-,5,-,-,-,3,672,587,1242,107
